Nama Punggung,Nomor Punggung,Nama Lengkap,Klub,Posisi,Usia,Negara,Penampilan,Penyelamatan,Gol,Tembakan,Tembakan Tepat Sasaran,Assist,Umpan Sukses,Tekel,Intersepsi,Sapuan,Kartu Kuning,Kartu Merah,Pelanggaran,Offside,Umpan Total,Akurasi Passing,Akurasi Tembakan
BAYU AJI,3,BAYU AJI,AREMA FC,BELAKANG,25,Indonesia,4,0.0,0,0.0,0.0,0.0,69.0,4.0,8.0,9.0,2,0,5.0,0.0,76.0,0.9078947368421053,0.0
SYAEFUL A.,4,SYAEFUL ANWAR,AREMA FC,BELAKANG,31,Indonesia,5,0.0,0,1.0,0.0,0.0,99.0,4.0,11.0,8.0,0,0,3.0,0.0,108.0,0.9166666666666666,0.0
THALES LIRA,5,THALES NATANAEL LIRA DE MATOS,AREMA FC,BELAKANG,32,Brazil,29,1.0,2,20.0,10.0,1.0,740.0,26.0,97.0,74.0,6,1,36.0,1.0,853.0,0.8675263774912075,0.5
JULIAN G.,6,SNEYDER JULIAN GUEVARA MUNOZ,AREMA FC,TENGAH,33,Colombia,31,0.0,0,19.0,7.0,2.0,901.0,22.0,73.0,55.0,6,0,21.0,0.0,1053.0,0.855650522317189,0.3684210526315789
TITO H.,7,HAMZAH TITOFANI RIVALDI,AREMA FC,TENGAH,23,Indonesia,16,0.0,1,7.0,5.0,0.0,72.0,5.0,6.0,1.0,2,0,2.0,0.0,95.0,0.7578947368421053,0.7142857142857143
ARKHAN,8,ARKHAN FIKRI,AREMA FC,TENGAH,21,Indonesia,29,0.0,2,18.0,11.0,5.0,1064.0,38.0,54.0,1.0,4,0,32.0,0.0,1313.0,0.8103579588728104,0.6111111111111112
WILIAM M.,10,WILIAM MOREIRA DA SILVA MARCILIO,AREMA FC,TENGAH,29,Brazil,19,0.0,5,27.0,14.0,7.0,455.0,9.0,8.0,0.0,3,0,16.0,3.0,650.0,0.7,0.5185185185185185
LOKOLINGOY,11,CHARLES LOKOLI NGOY,AREMA FC,TENGAH,28,Australia,34,0.0,10,60.0,35.0,5.0,332.0,10.0,8.0,2.0,2,0,39.0,9.0,460.0,0.7217391304347827,0.5833333333333334
MARASABESSY,12,MUHAMMAD RIFAD MARASABESSY,AREMA FC,BELAKANG,26,Indonesia,12,0.0,0,2.0,1.0,0.0,170.0,11.0,14.0,10.0,2,0,10.0,0.0,210.0,0.8095238095238095,0.5
BALINSA,13,SAMUEL GIDEON BALINSA,AREMA FC,TENGAH,26,Indonesia,24,0.0,0,3.0,0.0,1.0,290.0,20.0,34.0,2.0,3,0,15.0,0.0,341.0,0.8504398826979472,0.0
