Nama Punggung,Nomor Punggung,Nama Lengkap,Klub,Posisi,Usia,Negara,Penampilan,Penyelamatan,Gol,Tembakan,Tembakan Tepat Sasaran,Assist,Umpan Sukses,Tekel,Intersepsi,Sapuan,Kartu Kuning,Kartu Merah,Pelanggaran,Offside
MARINGÁ,1,ADILSON AGUERO DOS SANTOS,BALI UNITED FC,P. GAWANG,35,Brazil,29,95,0,0,0,0,369/467,0,2,8,3,0,0,0
AGUNG M.,47,AGUNG MANNAN,DEWA UNITED FC,BELAKANG,27,Indonesia,8,0,0,3,0,1,62/80,10,6,5,3,1,4,1
E. DOLAH,4,YUSEF ELIAS DOLAH,BALI UNITED FC,BELAKANG,32,Thailand,29,0,0,19,5,1,888/1043,35,118,117,8,0,60,0
BAGAS ADI,5,BAGAS ADI NUGROHO,BALI UNITED FC,BELAKANG,28,Indonesia,7,0,0,0,0,0,161/179,6,11,16,0,0,3,0
WILSON,6,BRANDON JAMES WILSON,BALI UNITED FC,TENGAH,28,Australia,31,0,0,16,3,1,910/1085,73,64,40,9,0,68,1
MS. SAIMIMA,7,MOH. SIDIK SAIMIMA,BALI UNITED FC,TENGAH,28,Indonesia,17,0,0,4,0,1,130/168,8,16,4,4,0,21,0
MARUOKA,8,MITSURU MARUOKA,BALI UNITED FC,TENGAH,29,Japan,25,0,2,22,12,1,262/413,14,16,0,0,0,10,2
KOPITOVIC,9,BORIS KOPITOVIC,BALI UNITED FC,DEPAN,30,Montenegro,15,0,6,24,15,1,136/195,4,4,6,6,0,29,8
PRIVAT,10,JEAN MARIE PRIVAT BEFOLO MBARGA,BALI UNITED FC,DEPAN,33,Cameroon,32,0,10,58,33,8,467/712,17,20,39,6,0,29,9
MALAIFANI YR,11,YABES RONI MALAIFANI,BALI UNITED FC,DEPAN,30,Indonesia,20,0,0,10,0,2,322/449,43,26,12,8,1,39,1
NATHAN,15,NATHAN ARI PRAMANA,BALI UNITED FC,DEPAN,19,Indonesia,2,0,0,0,0,0,10/14,1,1,0,1,0,1,0
TAUFIK,45,TAUFIK HIDAYAT,MADURA UNITED FC,BELAKANG,32,Indonesia,28,0,1,11,5,0,828/1000,49,67,45,2,0,18,0
KADEK AGUNG,18,I KADEK AGUNG WIDNYANA PUTRA,BALI UNITED FC,TENGAH,27,Indonesia,30,1,0,8,3,2,602/755,63,76,30,4,0,43,0
JAIME XAVIER,20,JAIMERSON DA SILVA XAVIER,BALI UNITED FC,BELAKANG,35,Brazil,22,0,0,3,1,0,504/565,28,61,35,7,1,21,2
ARTA.W,21,I WAYAN ARTA WIGUNA,BALI UNITED FC,P. GAWANG,19,Indonesia,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0
N. SETIAWAN,22,NOVRI SETIAWAN,BALI UNITED FC,BELAKANG,32,Indonesia,25,0,1,6,4,0,573/724,26,23,19,7,0,35,1
RINALDI,23,DILLAN YABRAN RINALDI,BALI UNITED FC,TENGAH,20.0,Indonesia,1.0,0.0,0.0,0.0,0.0,0.0,1/1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RICKY FAJRIN,24,RICKY FAJRIN SAPUTRA,BALI UNITED FC,BELAKANG,30,Indonesia,28,0,0,5,1,1,859/1088,54,105,50,5,0,34,0
KOMANG TRI,26,KOMANG TRI ARTA WIGUNA,BALI UNITED FC,BELAKANG,24,Indonesia,7,0,0,1,1,0,64/77,2,4,13,0,0,3,0
GEDE SUNU,28,I GEDE SUNU JYESTA WIBAWA,BALI UNITED FC,TENGAH,23,Indonesia,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0
ANDHIKA W.,33,I MADE ANDHIKA PRADANA WIJAYA,BALI UNITED FC,BELAKANG,29,Indonesia,22,0,0,6,0,1,280/411,35,51,27,4,0,24,1
IRFAN JAYA,41,IRFAN JAYA,BALI UNITED FC,DEPAN,29,Indonesia,33,0,8,59,30,4,636/924,20,15,3,3,0,17,2
MAOURI,42,MAOURI ANANDA YVES RAMLI SIMON,BALI UNITED FC,TENGAH,19,Indonesia,1,0,0,0,0,0,3/4,2,0,0,0,0,0,0
PUTU PANJI,43,I PUTU PANJI APRIAWAN,BALI UNITED FC,BELAKANG,17,Indonesia,0,,0,,,,/,,,,0,0,,
KADEK AREL,44,KADEK AREL PRIYATNA,BALI UNITED FC,BELAKANG,20,Indonesia,17,0,0,11,3,1,451/496,19,46,50,2,0,15,1
R. ARJUNA,47,RAHMAT ARJUNA RESKI,BALI UNITED FC,DEPAN,21,Indonesia,31,0,6,23,11,4,275/387,26,19,2,5,0,27,3
JORDAN SETTE,54,JORDAN OKTOSERFIANUS SETTE,BALI UNITED FC,TENGAH,20,Indonesia,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0
MADE TITO,55,I MADE TITO WIRATAMA,BALI UNITED FC,TENGAH,22,Indonesia,11,0,1,13,7,2,204/265,11,13,3,2,0,17,0
KOMANG A.,67,I KOMANG ARYANTARA,BALI UNITED FC,P. GAWANG,20,Indonesia,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0
LUTHFIKAMAL,71,M LUTHFI KAMAL B,BALI UNITED FC,TENGAH,26,Indonesia,18,0,0,2,1,0,109/143,6,12,9,2,0,14,0
NYOMAN ADI,72,I NYOMAN ADI WIRYA TAMA,BALI UNITED FC,DEPAN,22,Indonesia,0,,0,,,,/,,,,0,0,,
KD. LANANG,76,Kadek Lanang Agus Surya Artayana,BALI UNITED FC,BELAKANG,23,Indonesia,4,0,0,1,0,0,51/72,9,6,0,0,0,3,0
ANANTA KRISNA,78,I KOMANG ANANTA KRISNA PUTRA,BALI UNITED FC,TENGAH,19,Indonesia,1,0,0,0,0,0,3/5,1,0,0,0,0,1,0
KOMANG DEDI,87,I KOMANG DEDI NOVA TRI GUNAWAN,BALI UNITED FC,BELAKANG,22,Indonesia,1,0,0,0,0,0,0/0,0,0,0,0,0,0,0
M. RAHMAT,91,RAHMAT,BALI UNITED FC,DEPAN,37,Indonesia,24,0,6,24,11,3,158/237,9,13,2,0,0,6,4
REYNER,92,REYNER IMMANUELO BARUSU,BALI UNITED FC,TENGAH,20,Indonesia,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0
FITRUL DR,95,FITRUL DWI RUSTAPA,BALI UNITED FC,P. GAWANG,30,Indonesia,5,17,0,0,0,0,86/103,1,1,0,0,0,0,0
EVERTON,99,EVERTON NASCIMENTO DE MENDONCA,BALI UNITED FC,DEPAN,32,Brazil,25,0,5,36,22,1,208/281,9,3,11,2,0,19,4
