Nama Punggung,Nomor Punggung,Nama Lengkap,Klub,Posisi,Usia,Negara,Penampilan,Penyelamatan,Gol,Tembakan,Tembakan Tepat Sasaran,Assist,Umpan Sukses,Tekel,Intersepsi,Sapuan,Kartu Kuning,Kartu Merah,Pelanggaran,Offside
ANGGA.S,1.0,ANGGA SAPUTRO,BORNEO FC SAMARINDA,P. GAWANG,32.0,Indonesia,5.0,14.0,0.0,0.0,0.0,0.0,115/134,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RONALDO,2.0,RONALDO RODRIGUES DE SOUZA,BORNEO FC SAMARINDA,BELAKANG,27.0,Brazil,25.0,1.0,3.0,14.0,6.0,0.0,1189/1295,36.0,81.0,69.0,4.0,1.0,38.0,0.0
G. FURTADO,5.0,GABRIEL VINICIUS DE OLIVEIRA FURTADO BALTHAZAR,BORNEO FC SAMARINDA,BELAKANG,26.0,Brazil,25.0,2.0,2.0,18.0,6.0,0.0,1005/1057,39.0,86.0,76.0,6.0,1.0,25.0,0.0
IKHSAN NUL,6.0,IKHSAN NUL ZIKRAK,BORNEO FC SAMARINDA,TENGAH,23.0,Indonesia,14.0,0.0,0.0,9.0,3.0,1.0,135/164,5.0,13.0,2.0,0.0,0.0,13.0,0.0
M. PATO,7.0,Matheus Antonio De Sousa Santos,BORNEO FC SAMARINDA,DEPAN,30.0,Brazil,17.0,0.0,6.0,27.0,14.0,2.0,128/171,11.0,6.0,0.0,1.0,0.0,11.0,3.0
KEI,8.0,KEI HIROSE,BORNEO FC SAMARINDA,TENGAH,30.0,Japan,31.0,1.0,1.0,15.0,7.0,3.0,977/1094,42.0,38.0,9.0,1.0,1.0,41.0,3.0
GAVIN KWAN,11.0,GAVIN KWAN ADSIT,BORNEO FC SAMARINDA,BELAKANG,29.0,Indonesia,4.0,0.0,0.0,1.0,0.0,0.0,11/15,1.0,0.0,0.0,1.0,0.0,2.0,0.0
HENDRO,12.0,HENDRO SISWANTO,BORNEO FC SAMARINDA,TENGAH,35.0,Indonesia,16.0,0.0,0.0,5.0,1.0,0.0,244/265,5.0,20.0,7.0,2.0,0.0,12.0,0.0
LILIPALY,14.0,STEFANO JANTJE LILIPALY,BORNEO FC SAMARINDA,DEPAN,35.0,Indonesia,24.0,0.0,6.0,35.0,16.0,5.0,425/605,8.0,8.0,0.0,2.0,0.0,13.0,20.0
LEO GUNTARA,15.0,LEO GUNTARA,BORNEO FC SAMARINDA,BELAKANG,31.0,Indonesia,30.0,0.0,0.0,2.0,1.0,0.0,966/1122,25.0,50.0,24.0,6.0,0.0,22.0,1.0
KOMANG. T,16.0,Komang Teguh Trisnanda,BORNEO FC SAMARINDA,TENGAH,23.0,Indonesia,15.0,0.0,0.0,1.0,0.0,0.0,235/250,7.0,17.0,7.0,2.0,0.0,6.0,0.0
ANDRIKA,21.0,ANDRIKA FATHIR RACHMAN,BORNEO FC SAMARINDA,P. GAWANG,19.0,Indonesia,0.0,,0.0,,,,/,,,,0.0,0.0,,
NDUWARUGIRA,22.0,CHRISTOPHE NDUWARUGIRA,BORNEO FC SAMARINDA,BELAKANG,31.0,Burundi,33.0,1.0,2.0,18.0,9.0,1.0,1583/1800,34.0,107.0,77.0,5.0,0.0,32.0,0.0
PERALTA,23.0,MARIANO EZEQUIEL PERALTA BAUER,BORNEO FC SAMARINDA,TENGAH,27.0,Argentina,33.0,0.0,9.0,63.0,33.0,15.0,894/1262,38.0,24.0,20.0,3.0,0.0,35.0,4.0
DIEGO M,24.0,DIEGO ROBBIE MICHIELS,BORNEO FC SAMARINDA,BELAKANG,35.0,Indonesia,11.0,0.0,0.0,0.0,0.0,0.0,133/147,3.0,13.0,24.0,2.0,1.0,9.0,0.0
NADEO WINATA,25.0,NADEO ARGA WINATA,BORNEO FC SAMARINDA,P. GAWANG,28.0,Indonesia,29.0,77.0,0.0,0.0,0.0,0.0,582/711,1.0,2.0,7.0,3.0,2.0,3.0,0.0
TERENS,28.0,TERENS OWANG PRISKA PUHIRI,BORNEO FC SAMARINDA,TENGAH,29.0,Indonesia,20.0,0.0,2.0,12.0,6.0,1.0,241/307,7.0,12.0,1.0,4.0,0.0,9.0,4.0
A HARJITO,18.0,MUHAMMAD ANDY HARJITO,PSM MAKASSAR,DEPAN,24.0,Indonesia,2.0,0.0,0.0,0.0,0.0,0.0,3/3,1.0,0.0,0.0,0.0,0.0,2.0,0.0
KENZO,39.0,KENZO NAMBU,BALI UNITED FC,TENGAH,33.0,Japan,22.0,0.0,1.0,20.0,7.0,0.0,217/254,14.0,14.0,0.0,3.0,0.0,16.0,0.0
ZILDAN,40.0,ZILDAN PUTRA WIDIANTO,BORNEO FC SAMARINDA,BELAKANG,19.0,Indonesia,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAWOR,41.0,RICKY RICARDO CRISTIAN G. T. CAWOR,BORNEO FC SAMARINDA,DEPAN,27.0,Indonesia,23.0,0.0,0.0,6.0,5.0,1.0,180/228,12.0,8.0,4.0,2.0,0.0,13.0,0.0
SANDY,49.0,SANDY PUTRO HANDOYO,BORNEO FC SAMARINDA,BELAKANG,22.0,Indonesia,0.0,,0.0,,,,/,,,,0.0,0.0,,
RIVALDO P,50.0,RIVALDO ENERO PAKPAHAN,BORNEO FC SAMARINDA,TENGAH,22.0,Indonesia,24.0,0.0,0.0,6.0,3.0,0.0,719/802,30.0,53.0,7.0,6.0,0.0,40.0,0.0
ALFHAREZZI,54.0,Muhammad Alfharezzi Buffon,BORNEO FC SAMARINDA,BELAKANG,19.0,Indonesia,9.0,0.0,0.0,4.0,2.0,0.0,130/158,8.0,11.0,2.0,1.0,1.0,6.0,0.0
DANDI SONRIZA,55.0,RAHMAD DANDY SONRIZA,BORNEO FC SAMARINDA,TENGAH,23.0,Indonesia,9.0,0.0,0.0,1.0,0.0,0.0,100/117,5.0,8.0,2.0,1.0,0.0,2.0,1.0
M. FAJAR F,56.0,MUHAMMAD FAJAR FATHURRAHMAN,BORNEO FC SAMARINDA,TENGAH,23.0,Indonesia,33.0,1.0,0.0,15.0,2.0,5.0,1344/1685,54.0,89.0,34.0,5.0,0.0,30.0,3.0
DAFFA FASYA,63.0,DAFFA FASYA SUMAWIJAYA,BORNEO FC SAMARINDA,P. GAWANG,21.0,Indonesia,2.0,5.0,0.0,0.0,0.0,0.0,27/46,0.0,0.0,1.0,0.0,0.0,0.0,0.0
DWIKY ARIS,66.0,MUH. DWIKY HARDIANSYAH,BORNEO FC SAMARINDA,TENGAH,21.0,Indonesia,9.0,0.0,1.0,7.0,4.0,0.0,106/124,2.0,10.0,0.0,1.0,1.0,6.0,1.0
H.A JUSUF,68.0,HABIBI A. JUSUF,BORNEO FC SAMARINDA,DEPAN,27.0,Indonesia,17.0,0.0,5.0,20.0,13.0,0.0,68/89,4.0,2.0,0.0,1.0,1.0,13.0,8.0
ASGAL HABIB,77.0,ASGAL HABIB ALTARIK,BORNEO FC SAMARINDA,TENGAH,21.0,Indonesia,1.0,0.0,0.0,0.0,0.0,0.0,2/3,1.0,1.0,0.0,0.0,0.0,0.0,0.0
YOGI,81.0,YOGI HERMAWAN,BORNEO FC SAMARINDA,P. GAWANG,22.0,Indonesia,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D . KUSWARDANI,88.0,DIKA KUSWARDANI,BORNEO FC SAMARINDA,TENGAH,22.0,Indonesia,7.0,0.0,0.0,1.0,1.0,0.0,84/110,6.0,12.0,0.0,0.0,0.0,1.0,0.0
DIKA,94.0,DIKA ADI NURDIANSYAH,BORNEO FC SAMARINDA,DEPAN,18.0,Indonesia,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BERGUINHO,97.0,ROSEMBERGNE DA SILVA,BORNEO FC SAMARINDA,TENGAH,28.0,Brazil,29.0,0.0,4.0,41.0,18.0,2.0,842/1082,26.0,29.0,17.0,3.0,0.0,26.0,2.0
M. SIHRAN,99.0,M SIHRAN H AMARULLAH,BORNEO FC SAMARINDA,TENGAH,26.0,Indonesia,14.0,0.0,1.0,7.0,4.0,0.0,188/234,9.0,7.0,3.0,2.0,0.0,6.0,0.0
