Nama Punggung,Nomor Punggung,Nama Lengkap,Klub,Posisi,Usia,Negara,Penampilan,Penyelamatan,Gol,Tembakan,Tembakan Tepat Sasaran,Assist,Umpan Sukses,Tekel,Intersepsi,Sapuan,Kartu Kuning,Kartu Merah,Pelanggaran,Offside
FAWAID A,1,FAWAID ANSORY,MADURA UNITED FC,P. GAWANG,26,Indonesia,0,,0,,,,/,,,,0,0,,
MIFTAH SANI,2,MIFTAH ANWAR SANI,SEMEN PADANG FC,BELAKANG,30,Indonesia,5,0,0,2,0,0,123/176,9,14,7,2,0,4,0
P. MONTEIRO,3,PEDRO FILIPE TINOCO MONTEIRO,MADURA UNITED FC,BELAKANG,31,Portugal,33,1,2,12,4,0,1326/1511,29,129,102,7,0,24,1
WEHRMANN,4,JORDY HENDRIK NICOLAUS WEHRMANN,MADURA UNITED FC,TENGAH,26,Netherlands,33,0,1,31,14,1,1003/1220,69,74,22,5,0,27,0
PALIC,5,KERIM PALIC,MADURA UNITED FC,BELAKANG,28,Bosnia And Herzegovina,12,0,0,4,1,1,455/503,30,38,18,1,1,21,0
IRAN JUNIOR,10,IRAN DA CONCEICAO GONCALVES JUNIOR,MADURA UNITED FC,TENGAH,30,Brazil,30,0,4,28,14,2,724/869,28,20,1,2,1,26,1
LULINHA,11,LUIZ MARCELO MORAIS DOS REIS,MADURA UNITED FC,TENGAH,35,Brazil,29,0,13,58,35,3,685/933,22,29,8,8,0,38,5
IRFAN,17,IRFAN,MADURA UNITED FC,DEPAN,24,Indonesia,27,0,5,11,9,3,200/293,14,7,3,3,0,13,7
KEMALUDDIN,18,MUHAMMAD KEMALUDDIN,MADURA UNITED FC,TENGAH,26,Indonesia,5,0,0,3,1,0,134/160,7,12,5,0,1,8,0
HANS,19,HANIS SAGARA PUTRA,MADURA UNITED FC,DEPAN,26,Indonesia,19,0,0,6,3,2,191/241,8,3,2,1,0,13,0
SANJAYA,22,IBRAHIM SANJAYA,MADURA UNITED FC,BELAKANG,28,Indonesia,19,0,0,5,1,0,506/622,18,50,17,1,0,16,0
TAUFANY,24,M Taufany Muslihuddin,MADURA UNITED FC,TENGAH,23,Indonesia,15,1,0,2,1,1,135/169,13,9,2,1,0,10,0
R.AFRISAL,25,M RISKI AFRISAL,MADURA UNITED FC,TENGAH,19,Indonesia,18,0,1,9,6,0,225/292,15,12,1,1,0,9,8
ADHITYA.H,26,ADHITYA HARLAN,MADURA UNITED FC,P. GAWANG,38,Indonesia,8,18,0,0,0,0,124/158,0,0,4,2,0,0,0
VEDHAYANTO,28,KARTIKA VEDHAYANTO PUTRA,MADURA UNITED FC,BELAKANG,23,Indonesia,6,0,0,1,1,0,177/194,7,16,6,0,0,4,0
MISWAR,33,MISWAR SAPUTRA NURDIN,SEMEN PADANG FC,P. GAWANG,29,Indonesia,13,36,0,0,0,0,161/289,0,1,5,2,0,0,0
YUDA EDITYA P,31,YUDA EDITYA PRATAMA,MADURA UNITED FC,DEPAN,21,Indonesia,4,0,0,2,1,0,14/16,0,0,0,0,0,0,0
KOKO A.A,33,KOKO ARI ARAYA,MADURA UNITED FC,BELAKANG,25,Indonesia,24,1,0,1,1,0,832/982,34,49,27,6,0,29,0
HAUDI,35,HAUDI ABDILLAH,MADURA UNITED FC,BELAKANG,32,Indonesia,16,0,0,2,1,0,319/360,15,38,30,3,0,10,0
ILHAMSYAH,36,ILHAM SYAH,MADURA UNITED FC,TENGAH,26,Indonesia,20,1,0,2,2,0,472/553,21,27,6,5,0,21,0
FEBRIAN,41,FEBRIAN TRI YANTO,MADURA UNITED FC,TENGAH,21,Indonesia,3,0,0,1,0,0,18/22,3,0,0,0,0,3,0
FEBY RAMZY,42,FEBY RAMZY WIRAWAN,MADURA UNITED FC,TENGAH,23,Indonesia,11,0,0,2,0,0,119/146,3,9,3,3,0,12,0
NURDIANSYAH,44,NUR DIANSYAH,MADURA UNITED FC,BELAKANG,27,Indonesia,15,0,0,0,0,0,305/344,14,30,36,3,0,9,0
TAUFIK,45,TAUFIK HIDAYAT,MADURA UNITED FC,BELAKANG,32,Indonesia,28,0,1,11,5,0,828/1000,49,67,45,2,0,18,0
NURI AGUS,61,Nuri Agus Wibowo,MADURA UNITED FC,P. GAWANG,24,Indonesia,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0
A. RUSADI,68,AHMAD RUSADI,MADURA UNITED FC,BELAKANG,22,Indonesia,16,0,0,7,1,0,358/413,10,24,36,5,0,4,0
MAKE ALDO,69,MAKE ALDO MAULIDINO,MADURA UNITED FC,DEPAN,27,Indonesia,1,0,0,0,0,0,2/4,0,0,0,0,0,0,0
BRYAN,70,BRAYAN EDINSON ANGULO,MADURA UNITED FC,DEPAN,32,Colombia,14,0,0,12,6,2,368/449,9,5,5,3,0,20,2
SANDI SAMOSIR,77,SANDI ARTA SAMOSIR,MADURA UNITED FC,TENGAH,23,Indonesia,13,0,0,4,1,0,50/66,5,3,0,1,1,4,0
ARSA,91,ARSA RAMADAN AHMAD,MADURA UNITED FC,DEPAN,22,Indonesia,11,0,1,4,3,1,137/161,6,4,0,0,0,4,2
SKRBIC,95,MILJAN SKRBIC,MADURA UNITED FC,TENGAH,30,Serbia,11,0,3,7,3,3,119/160,5,5,4,1,0,7,1
EZZEJJARI,11,YOUSSEF EZZEJJARI LHASNAOUI,PS BARITO PUTERA,DEPAN,32,Spain,28,1,6,34,19,3,177/243,6,7,9,1,0,13,2
