Nama Punggung,Nomor Punggung,Nama Lengkap,Klub,Posisi,Usia,Negara,Penampilan,Penyelamatan,Gol,Tembakan,Tembakan Tepat Sasaran,Assist,Umpan Sukses,Tekel,Intersepsi,Sapuan,Kartu Kuning,Kartu Merah,Pelanggaran,Offside
M. RIDWAN,1,M RIDWAN,MALUT UNITED FC,P. GAWANG,34,Indonesia,1,4,0,0,0,0,16/30,0,1,0,0,0,0,0
NIRWANTO,3,MOHAMMAD BAGUS NIRWANTO,MALUT UNITED FC,BELAKANG,32,Indonesia,2,0,0,0,0,0,16/21,1,0,1,1,1,3,0
M. RIO,4,MUHAMMAD RIO SAPUTRO,MALUT UNITED FC,BELAKANG,30,Indonesia,3,0,0,0,0,0,41/42,0,2,5,0,0,1,0
T.HI. SADDAM,5,SADDAM HI TENANG,MALUT UNITED FC,BELAKANG,31,Indonesia,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0
BAASITH,6,ACHMAD SUBAGJA BAASITH,MALUT UNITED FC,TENGAH,29,Indonesia,4,0,0,2,0,0,31/37,5,1,3,3,0,3,0
ADRIANO,7,ADRIANO DUARTE CASTANHEIRA,MALUT UNITED FC,TENGAH,32,Portugal,33,0,2,37,16,4,638/809,14,21,3,2,0,7,2
CHINO,9,DIEGO MAXIMO MARTINEZ ADORNO,MALUT UNITED FC,DEPAN,30,Paraguay,29,0,10,43,21,3,274/415,13,16,20,3,0,27,8
I. U. ARMAIYN,10,ILHAM UDIN ARMAIYN,MALUT UNITED FC,DEPAN,29,Indonesia,0,0,0,0,0,0,1/1,0,0,0,0,0,0,0
R.LASTORI,11,RIFAL LASTORI,MALUT UNITED FC,DEPAN,28,Indonesia,23,0,2,7,5,2,179/218,9,14,1,0,0,3,3
Y. SAYURI,12,YAKOB SAYURI,MALUT UNITED FC,TENGAH,28,Indonesia,28,2,10,55,25,4,522/694,44,40,8,4,0,27,13
R. TOGUBU,14,RIKI TOGUBU,MALUT UNITED FC,TENGAH,28,Indonesia,1,0,0,1,0,0,0/0,0,0,0,0,0,0,0
ANGULO,16,WBEYMAR ANGULO MOSQUERA,MALUT UNITED FC,TENGAH,33,Colombia,33,0,0,7,0,0,1210/1315,62,84,15,6,0,42,0
WAHYU PRAST,18,WAHYU PRASETYO,MALUT UNITED FC,BELAKANG,27,Indonesia,29,1,1,16,7,0,903/1112,40,69,76,3,0,15,0
M. RAFLY,20,M. RAFLY I. SELANG,MALUT UNITED FC,TENGAH,20,Indonesia,1,0,0,1,1,0,13/19,1,1,0,0,0,0,0
FRETS BUTUAN,21,FRETS LISTANTO BUTUAN,MALUT UNITED FC,DEPAN,29,Indonesia,26,0,1,8,6,0,173/234,7,7,3,1,0,3,1
HARI NUR,22,HARI NUR YULIANTO,MALUT UNITED FC,DEPAN,36,Indonesia,8,0,0,2,1,0,22/33,2,1,0,0,0,1,2
YAN SAYURI,23,YANCE SAYURI,MALUT UNITED FC,TENGAH,28,Indonesia,32,0,7,46,21,5,868/1176,77,84,48,3,0,34,2
LESTALUHU. I. R,25,IRSAN RAHMAN LESTALUHU,MALUT UNITED FC,BELAKANG,26,Indonesia,1,0,0,0,0,0,0/1,0,1,0,0,0,0,0
SAFRUDIN,27,SAFRUDIN TAHAR,MALUT UNITED FC,BELAKANG,32,Indonesia,34,1,0,7,0,2,1011/1168,36,78,60,2,0,19,0
WAGNER,28,WAGNER AUGUSTO GUIMARAES DOS SANTOS,MALUT UNITED FC,P. GAWANG,27,Brazil,29,68,0,0,0,0,552/757,1,3,6,4,0,1,0
J BUSTOS,30,Jonathan Ezequiel Bustos,MALUT UNITED FC,TENGAH,31,Argentina,9,0,0,3,1,1,126/153,3,1,0,1,0,9,0
TOFANI,31,Rifky Tofani,MALUT UNITED FC,P. GAWANG,19,Indonesia,0,,0,,,,/,,,,0,0,,
DAREL,33,Muhammad Darel Valentino Erlangga,MALUT UNITED FC,TENGAH,20,Indonesia,6,0,1,2,1,0,35/51,2,3,0,3,0,11,0
FIRMAN,37,FIRMAN RAMADHAN,MALUT UNITED FC,BELAKANG,22,Indonesia,16,1,1,5,4,1,342/413,25,20,20,0,0,7,0
SONY NORDE,45,SONY NORDE,MALUT UNITED FC,TENGAH,36,Haiti,13,0,0,17,3,2,300/381,11,17,0,3,0,19,0
FREDYAN W.S,46,FREDYAN WAHYU SUGIYANTORO,MALUT UNITED FC,TENGAH,27,Indonesia,11,1,0,0,0,1,197/254,14,20,4,4,0,8,1
JR BRANDAO,49,JOSE BRANDAO GONCALVES JUNIOR,MALUT UNITED FC,DEPAN,30,Brazil,11,0,2,15,6,1,51/75,4,1,2,3,0,5,1
CHECHU,55,JESUS MARIA MENESES SABATER,MALUT UNITED FC,BELAKANG,30,Spain,30,2,2,17,5,0,1264/1384,29,134,80,1,2,25,2
LESTUSEN. M,69,MANAHATI LESTUSEN,MALUT UNITED FC,TENGAH,32,Indonesia,28,1,0,1,0,0,641/702,17,32,8,4,0,28,0
M. FAHRI,71,M FAHRI,MALUT UNITED FC,P. GAWANG,25,Indonesia,13,34,0,0,0,0,214/303,0,3,2,0,0,0,0
ALWI SLAMAT,88,MUHAMMAD ALWI SLAMAT,MALUT UNITED FC,TENGAH,27,Indonesia,22,0,0,3,2,1,512/589,7,28,5,2,0,12,1
RAY REDONDO,96,ALDHILA RAY REDONDO,MALUT UNITED FC,P. GAWANG,29,Indonesia,5,15,0,0,0,0,60/77,0,1,1,0,0,0,0
WADIL,97,AHMAD WADIL ARYADI ABIDIN,MALUT UNITED FC,BELAKANG,22,Indonesia,14,0,1,7,1,0,91/120,9,5,1,1,0,8,0
