Nama Punggung,Nomor Punggung,Nama Lengkap,Klub,Posisi,Usia,Negara,Penampilan,Penyelamatan,Gol,Tembakan,Tembakan Tepat Sasaran,Assist,Umpan Sukses,Tekel,Intersepsi,Sapuan,Kartu Kuning,Kartu Merah,Pelanggaran,Offside
LALU,1,LALU MUHAMMAD RIZKI,PERSEBAYA SURABAYA,P. GAWANG,21,Indonesia,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0
CATUR P.,2,ARIEF CATUR PAMUNGKAS,PERSEBAYA SURABAYA,BELAKANG,26,Indonesia,27,1,0,9,4,2,822/1037,71,101,32,9,0,31,0
ARDI IDRUS,3,ARDI IDRUS,PERSEBAYA SURABAYA,BELAKANG,32,Indonesia,29,0,0,4,3,0,623/836,48,58,36,6,1,37,0
DIMOV,4,Dime Dimov,PERSEBAYA SURABAYA,BELAKANG,31,Bulgaria,17,0,0,1,0,0,483/527,15,52,38,2,0,10,0
G. COSTA,6,Gilson Sequeira Da Costa,PERSEBAYA SURABAYA,TENGAH,29,Portugal,22,0,0,10,2,0,503/561,25,31,8,3,1,20,0
RIVERA,7,FRANCISCO ISRAEL RIVERA DAVALOS,PERSEBAYA SURABAYA,DEPAN,31,Meksiko,29,0,8,45,24,7,774/1163,26,29,0,5,0,34,4
ANDRE,8,ANDRE OKTAVIANSYAH,PERSEBAYA SURABAYA,TENGAH,23,Indonesia,14,0,0,1,0,0,134/162,5,4,0,0,1,5,0
RISKY DWI,9,RIZKY DWI PANGESTU,PERSEBAYA SURABAYA,DEPAN,26,Indonesia,14,0,1,13,6,0,77/108,3,3,2,1,0,14,2
BRUNO MOREIRA,10,BRUNO MOREIRA SOARES,PERSEBAYA SURABAYA,DEPAN,26,Brazil,31,0,10,37,24,3,756/993,48,46,1,6,1,39,7
DAMJANOVIC,15,Slavko Damjanovic,PERSEBAYA SURABAYA,BELAKANG,33,Serbia,29,0,0,7,2,1,826/934,25,68,79,2,1,19,2
FLAVIO G. SILVA,17,FLAVIO ANTONIO DA SILVA,PERSEBAYA SURABAYA,DEPAN,29,Portugal,33,0,9,71,37,1,502/672,17,31,13,5,0,29,7
RANDY MAY,18,RANDY HANSON CHRISTIAN MAY,PERSEBAYA SURABAYA,BELAKANG,25,Indonesia,8,1,0,0,0,0,31/47,3,4,1,0,0,3,0
ERNANDO,21,ERNANDO ARI SUTARYADI,PERSEBAYA SURABAYA,P. GAWANG,23,Indonesia,24,80,0,0,0,0,392/558,1,1,2,1,1,1,0
RADITYA,23,KADEK RADITYA MAHESWARA,PERSEBAYA SURABAYA,BELAKANG,26,Indonesia,28,0,0,6,2,0,666/742,26,63,55,3,0,22,0
ALFREDO TATA,25,MIKAEL ALFREDO TATA,PERSEBAYA SURABAYA,BELAKANG,21,Indonesia,19,0,0,4,2,0,320/403,26,32,17,5,0,20,0
OKTAFIANUS,27,OKTAFIANUS FERNANDO,PERSEBAYA SURABAYA,DEPAN,32,Indonesia,8,0,0,2,1,0,34/48,2,1,0,2,0,7,0
ALFAN,28,Alfan Suaib,PERSEBAYA SURABAYA,BELAKANG,21,Indonesia,9,1,0,6,3,0,73/95,6,5,2,3,0,7,0
WIDI SYARIEF,31,MOCH WIDI SYARIEF HIDAYATULLAH,PERSEBAYA SURABAYA,DEPAN,22,Indonesia,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0
R. LAUHIN,32,RISWAN H LAUHIM,PERSEBAYA SURABAYA,BELAKANG,27,Indonesia,19,0,0,4,1,0,140/178,7,16,20,2,0,4,0
JAVIER,33,DZAKWAN IRSYADULLOH JAVIER,PERSEBAYA SURABAYA,DEPAN,18,Indonesia,0,,0,,,,/,,,,0,0,,
ANDHIKA R.,52,ANDHIKA RAMADHANI,PERSEBAYA SURABAYA,P. GAWANG,26,Indonesia,13,33,0,0,0,0,120/189,1,0,3,2,0,1,0
ADITYA,64,ADITYA ARYA NUGRAHA,PERSEBAYA SURABAYA,P. GAWANG,21,Indonesia,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0
TONI F,68,TONI FIRMANSYAH,PERSEBAYA SURABAYA,DEPAN,20,Indonesia,18,0,0,14,8,2,309/378,39,39,7,7,0,29,0
RASHID,74,MOHAMMED B. A. RASHID,PERSEBAYA SURABAYA,TENGAH,30,Palestine,33,0,6,36,21,0,966/1217,35,76,15,5,0,21,0
M. KASIM BOTAN,77,MUHAMAD KASIM BOTAN,PERSEBAYA SURABAYA,TENGAH,28,Indonesia,26,0,1,7,3,1,222/297,12,14,5,1,0,10,2
MALIK RISALDI,79,MALIK RISALDI,PERSEBAYA SURABAYA,TENGAH,29,Indonesia,24,0,4,35,22,4,369/458,13,22,9,4,0,22,5
TUMBAS,91,DEJAN TUMBAS,PERSEBAYA SURABAYA,DEPAN,26,Serbia,15,1,0,16,7,1,206/286,24,30,4,6,0,16,2
M. HIDAYAT,96,MUHAMMAD HIDAYAT,PERSEBAYA SURABAYA,TENGAH,29,Indonesia,1,0,0,0,0,0,24/25,0,1,0,0,0,0,0
