Nama Punggung,Nomor Punggung,Nama Lengkap,Klub,Posisi,Usia,Negara,Penampilan,Penyelamatan,Gol,Tembakan,Tembakan Tepat Sasaran,Assist,Umpan Sukses,Tekel,Intersepsi,Sapuan,Kartu Kuning,Kartu Merah,Pelanggaran,Offside
MENDOZA,1,KEVIN RAY MENDOZA HANSEN,PERSIB BANDUNG,P. GAWANG,31,Philippines,27,64,0,0,0,0,629/764,0,5,5,1,0,0,0
KUIPERS,2,NICK ANNA MARIA FRANCOIS KUIPERS,PERSIB BANDUNG,BELAKANG,33,Netherlands,30,0,3,11,6,1,1155/1289,30,86,101,7,1,28,1
G. FRANCA,4,GUSTAVO MORENO DE FRANCA,PERSIB BANDUNG,BELAKANG,29,Brazil,30,2,6,26,8,2,1138/1262,30,74,100,9,0,32,2
KAKANG,5,KAKANG RUDIANTO,PERSIB BANDUNG,BELAKANG,22,Indonesia,25,0,0,5,1,1,769/895,22,47,32,4,0,13,1
ROBI DARWIS,6,ROBI DARWIS,PERSIB BANDUNG,TENGAH,22,Indonesia,17,0,0,1,0,1,216/302,18,18,3,2,0,14,1
BECKHAM,7,BECKHAM PUTRA NUGRAHA,PERSIB BANDUNG,TENGAH,24,Indonesia,29,0,6,23,13,4,538/707,23,27,4,5,0,14,1
KASTANEER,8,GERVANE ZJANDRIC ADONNIS KASTANEER,PERSIB BANDUNG,DEPAN,29,Netherlands,14,0,1,17,6,1,75/107,3,2,3,2,0,14,2
D. DRAJAD,9,MUHAMMAD DIMAS DRAJAD,PERSIB BANDUNG,DEPAN,28,Indonesia,14,0,2,12,5,2,155/178,7,5,3,0,0,8,7
TYRONNE,10,TYRONNE GUSTAVO DEL PINO RAMOS,PERSIB BANDUNG,TENGAH,34,Spain,31,0,18,50,35,6,667/894,19,24,11,4,0,26,10
DEDI. K,11,DEDI KUSNANDAR,PERSIB BANDUNG,TENGAH,34,Indonesia,14,0,0,3,0,0,362/400,14,31,5,3,0,11,0
HENHEN HERDIANA,12,HENHEN HERDIANA,PERSIB BANDUNG,BELAKANG,30,Indonesia,21,0,0,2,1,1,348/443,13,33,6,3,0,13,0
FEBRI HARIYADI,13,FEBRI HARIYADI,PERSIB BANDUNG,TENGAH,29,Indonesia,4,0,0,1,0,0,17/29,1,0,1,0,0,0,0
T. PAKU ALAM,14,TEJA PAKU ALAM,PERSIB BANDUNG,P. GAWANG,31,Indonesia,7,31,0,0,0,0,170/198,0,3,4,0,0,0,0
JUFRIYANTO,16,ACHMAD JUFRIYANTO,PERSIB BANDUNG,BELAKANG,38,Indonesia,3,0,0,0,0,0,2/5,0,0,0,0,0,0,0
MATEO KOCIJAN,17,MATEO KOCIJAN,PERSIB BANDUNG,TENGAH,30,Croatia,28,0,0,4,3,1,574/636,25,40,24,6,1,33,0
ADAM ALIS,18,ADAM ALIS SETYANO,PERSIB BANDUNG,TENGAH,32,Indonesia,33,0,2,18,9,3,683/800,30,31,3,3,0,17,0
D. DA SILVA,19,DAVID APARECIDO DA SILVA,PERSIB BANDUNG,DEPAN,36,Brazil,21,0,8,28,12,2,171/223,8,3,4,2,0,15,6
KLOK,23,MARC ANTHONY KLOK,PERSIB BANDUNG,TENGAH,32,Indonesia,28,0,1,31,15,6,1005/1208,28,37,35,5,1,18,2
