Nama Punggung,Nomor Punggung,Nama Lengkap,Klub,Posisi,Usia,Negara,Penampilan,Penyelamatan,Gol,Tembakan,Tembakan Tepat Sasaran,Assist,Umpan Sukses,Tekel,Intersepsi,Sapuan,Kartu Kuning,Kartu Merah,Pelanggaran,Offside
C. EDUARDO,1,CARLOS EDUARDO SOARES MOTA,PERSIJA JAKARTA,P. GAWANG,33,Brazil,18,66,0,0,0,0,299/394,4,2,9,1,1,1,0
RIO FAHMI,2,ILHAM RIO FAHMI,PERSIJA JAKARTA,BELAKANG,24,Indonesia,27,0,0,7,4,2,747/889,44,33,21,5,1,24,2
R. RIDHO,5,RIZKY RIDHO RAMADHANI,PERSIJA JAKARTA,BELAKANG,24,Indonesia,32,0,1,14,4,1,1576/1739,54,113,95,5,0,33,0
RAMON BUENO,6,Ramon Bueno Gozalbo,PERSIJA JAKARTA,TENGAH,30,Spain,28,1,0,7,0,1,803/880,28,65,29,5,0,22,0
RYO,7,RYO MATSUMURA,PERSIJA JAKARTA,TENGAH,31,Japan,34,0,7,41,21,9,864/1144,17,21,0,3,0,24,4
ABIMANYU,8,SYAHRIAN ABIMANYU,PERSIJA JAKARTA,TENGAH,26,Indonesia,21,0,0,8,4,1,258/316,8,16,4,3,0,11,1
SIMIC,9,MARKO SIMIC,PERSIJA JAKARTA,DEPAN,37,Croatia,24,0,5,21,11,1,133/182,3,10,7,3,0,15,6
GAJOS,10,MACIEJ JACEK GAJOS,PERSIJA JAKARTA,TENGAH,34,Poland,32,0,3,37,14,5,957/1206,28,55,33,5,1,40,0
FIRZA,11,FIRZA ANDIKA,PERSIJA JAKARTA,BELAKANG,26,Indonesia,27,0,1,16,3,0,796/962,35,60,21,3,1,20,3
RAKA C.R,15,RAKA CAHYANA RIZKY,PERSIJA JAKARTA,DEPAN,21,Indonesia,10,0,0,1,1,0,94/147,8,8,7,1,0,2,0
KUDELA,17,ONDREJ KUDELA,PERSIJA JAKARTA,BELAKANG,38,CZECH REPUBLIC,24,0,1,4,3,0,1060/1107,15,38,45,3,1,13,0
SJAHBANDI,19,HANIF ABDURRAUF SJAHBANDI,PERSIJA JAKARTA,BELAKANG,28,Indonesia,33,0,2,19,7,0,839/1001,47,60,23,6,0,39,1
HAFIZH,22,MUHAMAD HAFIZH RIZKIANUR,PERSIJA JAKARTA,P. GAWANG,19,Indonesia,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0
HANSAMU,23,HANSAMU YAMA PRANATA,PERSIJA JAKARTA,TENGAH,30,Indonesia,19,2,0,6,0,0,693/751,17,56,25,2,0,8,0
RESKY F W,24,RESKY FANDI WITRIAWAN,PERSIJA JAKARTA,DEPAN,26,Indonesia,10,0,0,1,0,0,165/179,4,9,2,1,0,9,0
ANDRITANY,26,ANDRITANY ARDHIYASA,PERSIJA JAKARTA,P. GAWANG,34,Indonesia,19,48,0,0,0,2,304/401,1,1,2,0,0,0,0
FABIO,32,FABIO AZKAIRAWAN,PERSIJA JAKARTA,TENGAH,17,Indonesia,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0
M. AKBAR A,33,MUHAMMAD AKBAR ARJUNSYAH,PERSIJA JAKARTA,BELAKANG,24,Indonesia,4,0,0,0,0,0,29/34,3,2,2,0,0,0,0
ADITYA,36,ADITYA WARMAN,PERSIJA JAKARTA,TENGAH,20,Indonesia,4,0,0,0,0,0,28/35,1,1,0,2,0,6,0
FERARRI,41,MUHAMMAD FERARRI,PERSIJA JAKARTA,BELAKANG,22,Indonesia,23,2,0,6,5,3,871/985,27,62,47,1,1,30,0
ANDRADE,55,PABLO ANDRADE PLAZA DA SILVA,PERSIJA JAKARTA,BELAKANG,31,Brazil,15,0,1,4,2,0,287/397,10,27,13,1,0,7,1
HANNAN,58,MUHAMMAD RAYHAN HANNAN,PERSIJA JAKARTA,BELAKANG,21,Indonesia,26,1,5,15,8,2,256/310,24,13,0,2,0,17,5
GHOLY,66,MUHAMAD ZAHABY GHOLY,PERSIJA JAKARTA,TENGAH,17,Indonesia,2,0,0,0,0,0,0/4,0,0,1,0,0,0,0
YANDI S.M,99,YANDI SOFYAN MUNAWAR,MALUT UNITED FC,DEPAN,33,Indonesia,13,0,0,9,2,0,37/52,1,0,0,0,0,1,0
GUSTAVO,70,GUSTAVO ALMEIDA DOS SANTOS,PERSIJA JAKARTA,DEPAN,29,Brazil,28,0,18,67,35,0,319/493,5,15,12,6,1,47,8
NADIEF,74,REFAN NADIEF ATALLAH,PERSIJA JAKARTA,TENGAH,20,Indonesia,0,,0,,,,/,,,,0,0,,
D. PAMUNGKAS,77,DONY TRI PAMUNGKAS,PERSIJA JAKARTA,TENGAH,20,Indonesia,14,0,0,4,3,1,231/285,15,18,1,0,0,9,1
WITAN,78,WITAN SULAEMAN,PERSIJA JAKARTA,TENGAH,24,Indonesia,28,0,1,11,7,5,442/542,15,12,1,4,0,10,3
AGI FIRMANSYAH,90,Agi Firmansyah,PERSIJA JAKARTA,TENGAH,20,Indonesia,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0
