Nama Punggung,Nomor Punggung,Nama Lengkap,Klub,Posisi,Usia,Negara,Penampilan,Penyelamatan,Gol,Tembakan,Tembakan Tepat Sasaran,Assist,Umpan Sukses,Tekel,Intersepsi,Sapuan,Kartu Kuning,Kartu Merah,Pelanggaran,Offside
LEO,1,LEONARDO NAVACCHIO,PERSIK KEDIRI,P. GAWANG,33,Portugal,28,95,0,0,0,0,390/571,2,7,8,4,0,0,0
DEDE SAPARI,2,DEDE SAPARI,PERSIK KEDIRI,BELAKANG,21,Indonesia,20,0,0,0,0,0,397/512,39,37,28,2,0,13,0
KIKO,3,FRANCISCO PEREIRA CARNEIRO,PERSIK KEDIRI,BELAKANG,25,Portugal,29,3,0,4,0,0,1073/1248,38,109,71,4,1,29,0
BRENDON,4,BRENDON LUCAS DA SILVA ESTEVAM,PERSIK KEDIRI,BELAKANG,30,Brazil,19,1,1,6,1,0,615/755,23,53,57,4,0,21,0
FANE,5,OUSMANE FANE,PERSIK KEDIRI,TENGAH,32,Guyana,25,0,0,5,1,0,604/696,50,57,19,9,0,35,1
BAYU OTTO,6,KRISNA BAYU OTTO KARTIKA,PERSIK KEDIRI,TENGAH,27,Indonesia,27,0,1,10,5,0,542/613,17,33,4,6,0,17,1
YUSUF,7,YUSUF MEILANA FUAD BURHANI,PERSIK KEDIRI,TENGAH,27,Indonesia,29,0,1,5,3,1,941/1125,59,91,19,3,1,15,1
WALIAN,8,EZRA HARM RUUD WALIAN,PERSIK KEDIRI,DEPAN,28,Indonesia,21,0,2,27,14,4,521/675,13,25,9,1,0,23,2
FERGONZI,9,RAMIRO EZEQUIEL FERGONZI,PERSIK KEDIRI,DEPAN,36,Italy,29,0,9,49,24,1,432/627,12,21,18,2,1,31,5
ZE VALENTE,10,JOSE PEDRO MAGALHAES VALENTE,PERSIK KEDIRI,TENGAH,31,Portugal,28,0,9,51,24,5,1144/1422,27,34,1,5,0,19,1
ADY EKO,11,ADY EKO JAYANTO,PERSIK KEDIRI,TENGAH,31,Indonesia,19,0,0,6,1,1,346/375,15,46,12,1,0,15,2
,,,,,,,,,,,,,,,,,,,,
ZIKRI FERDIANSYAH,15,ZIKRI FERDIANSYAH,PERSIK KEDIRI,BELAKANG,22,Indonesia,1,0,0,1,0,0,26/35,0,3,0,0,0,0,0
H. HEHANUSSA,16,AL HAMRA HEHANUSSA,PERSIK KEDIRI,BELAKANG,26,Indonesia,29,0,1,11,2,2,1103/1216,27,107,91,5,0,17,0
OSMAN,17,MAJED OSMAN SOBHI,PERSIK KEDIRI,TENGAH,31,Lebanon,30,0,4,47,20,3,685/835,13,20,1,2,0,17,8
EKO S.,20,EKO SAPUTRO,PERSIK KEDIRI,P. GAWANG,26,Indonesia,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0
ABIYOSO,21,RIYATNO ABIYOSO,PERSIK KEDIRI,TENGAH,26,Indonesia,30,0,4,38,20,1,366/459,21,15,1,2,0,16,2
M. SUPRIADI,23,MOCH. SUPRIADI,PERSIK KEDIRI,TENGAH,23,Indonesia,6,0,1,5,1,0,39/50,4,6,0,0,0,3,0
HUGO SAMIR,28,HUGO SAMIR,PERSIK KEDIRI,DEPAN,20,Indonesia,20,0,0,7,0,0,124/199,14,10,1,4,0,23,0
DIDIK WAHYU,31,DIDIK WAHYU WIJAYANCE,PERSIK KEDIRI,BELAKANG,31,Indonesia,4,0,0,1,0,0,23/31,0,2,3,0,0,1,0
ROHIT CHAND,32,ROHIT CHAND,PERSIK KEDIRI,TENGAH,33,Nepal,26,0,0,5,4,0,770/840,37,69,22,1,1,19,0
HUSNA,33,HUSNA AL MALIK RIWANI SAPUTRA,PERSIK KEDIRI,P. GAWANG,22,Indonesia,6,14,0,0,0,0,85/113,0,2,2,0,0,0,0
AGIL,37,AGIL MUNAWAR,PERSIK KEDIRI,TENGAH,29,Indonesia,4,0,0,0,0,0,50/63,0,5,3,0,0,2,0
GERIL KAPOH,47,RAFLY GABRIEL HOSEA KAPOH,PERSIK KEDIRI,P. GAWANG,24,Indonesia,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0
NURI FASYA,57,AHMAD NURI FASYA,PERSIK KEDIRI,BELAKANG,26,Indonesia,22,0,0,5,2,1,397/536,13,51,25,4,1,19,1
ZIDANE,61,MOCHAMAD ZIDANE AFREZA,PERSIK KEDIRI,P. GAWANG,19,Indonesia,0,,0,,,,/,,,,0,0,,
RIFQI RAY,77,RIFQI RAY FARANDI,PERSIK KEDIRI,TENGAH,21,Indonesia,19,0,1,17,3,1,239/326,15,10,3,0,0,7,1
MARIO,78,VAVA MARIO YAGALO,PERSIK KEDIRI,BELAKANG,32,Indonesia,17,0,2,5,2,2,368/452,14,33,19,2,0,12,0
DANIEL,88,DANIEL ALFRIDO,PERSIK KEDIRI,DEPAN,17,Indonesia,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0
MIERZA,96,MOCHAMMAD MIERZA FIRJATULLAH,PERSIK KEDIRI,DEPAN,16,Indonesia,1,0,0,0,0,0,0/1,0,0,0,0,0,0,0
M. KHANAFI,97,MOHAMMAD KHANAFI,PERSIK KEDIRI,DEPAN,28,Indonesia,25,0,3,15,9,0,158/227,3,8,4,2,0,12,7
