Nama Punggung,Nomor Punggung,Nama Lengkap,Klub,Posisi,Usia,Negara,Penampilan,Penyelamatan,Gol,Tembakan,Tembakan Tepat Sasaran,Assist,Umpan Sukses,Tekel,Intersepsi,Sapuan,Kartu Kuning,Kartu Merah,Pelanggaran,Offside
M. RIYANDI,1,MUHAMAD RIYANDI,PERSIS SOLO,P. GAWANG,25,Indonesia,26,80,0,1,1,0,369/510,2,5,17,2,0,2,0
ZAENURI,2,MOCH ZAENURI,PERSIS SOLO,BELAKANG,30,Indonesia,9,0,0,1,0,0,224/257,11,17,21,1,0,9,0
KUNDE,3,EDUARDI LECKE KUNDE,PERSIS SOLO,BELAKANG,28,Germany,23,0,0,8,2,0,446/502,17,45,47,3,0,25,1
ABDUL AZIZ,6,ABDUL AZIZ LUFTI AKBAR,PERSIS SOLO,TENGAH,31,Indonesia,10,0,0,3,0,0,93/106,3,1,1,0,0,1,0
JAUHARI,7,IRFAN JAUHARI,PERSIS SOLO,DEPAN,24,Indonesia,21,0,0,8,2,1,225/302,10,15,6,2,0,6,0
KAKA,8,ARKHAN KAKA PUTRA PURWANTO,PERSIS SOLO,DEPAN,18,Indonesia,17,0,1,9,4,1,110/148,6,2,8,1,0,9,1
SANANTA,9,M. RAMADHAN SANANTA,PERSIS SOLO,DEPAN,23,Indonesia,30,0,5,57,26,2,235/361,4,6,6,2,2,17,15
ROSSI,10,KARIM ROSSI,PERSIS SOLO,DEPAN,31,Switzerland,19,0,2,18,12,0,110/169,5,2,4,2,0,11,8
SHO YAMAMOTO,14,SHO YAMAMOTO,PERSIS SOLO,DEPAN,29,Japan,31,0,3,25,12,5,1113/1300,60,67,14,4,1,39,2
GIO,15,GIOVANI JORIM HERZON DACOSTA NUMBERI,PERSIS SOLO,BELAKANG,25,Indonesia,20,0,0,4,1,2,513/666,50,50,30,1,1,17,0
RIZKY DWI,16,RIZKY DWI FEBRIANTO,PERSIS SOLO,BELAKANG,28,Indonesia,24,0,0,17,9,3,604/785,29,57,26,6,1,24,0
BELLEGGIA,20,LAUTARO JOSE BELLEGGIA,PERSIS SOLO,TENGAH,28,Argentina,16,0,4,26,16,1,393/513,13,20,1,6,0,14,0
ROMADONA,21,ROMADONA DWI KUSUMA,PERSIS SOLO,TENGAH,22,Indonesia,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0
TAN,22,SUTANTO TAN,PERSIS SOLO,TENGAH,31,Indonesia,23,0,0,15,6,0,683/788,15,48,28,9,1,19,0
MOUSSA JR,25,MOUSSA SIDIBE,PERSIS SOLO,DEPAN,31,Mali,28,0,8,58,33,6,569/835,21,15,1,6,0,10,7
RIAN MIZIAR,26,RIAN MIZIAR,PERSIS SOLO,BELAKANG,35,Indonesia,8,0,0,1,0,0,167/205,6,14,12,2,0,5,0
BRAIF,28,BRAIF FATARI,PERSIS SOLO,TENGAH,23,Indonesia,6,0,0,3,0,0,53/72,2,2,2,0,0,5,1
GARDHIKA,29,GARDHIKA ARYA PUTRA,PERSIS SOLO,BELAKANG,25,Indonesia,2,0,0,0,0,0,6/8,2,1,0,0,0,1,0
EKY TAUFIK F,30,EKY TAUFIK FEBRIANTO,PERSIS SOLO,BELAKANG,34,Indonesia,24,1,1,6,1,0,544/662,26,51,45,3,0,15,0
GIANLUCA,31,GIANLUCA CLAUDIO PANDEYNUWU,PERSIS SOLO,P. GAWANG,28,Indonesia,7,25,0,0,0,0,155/200,0,2,2,1,0,0,0
TUTUARIMA,34,JORDY SOLEMAN GRADUS TUTUARIMA,PERSIS SOLO,BELAKANG,32,Netherlands,11,0,0,6,2,1,395/490,11,53,13,2,1,14,0
JHON CLEY,35,JHON CLEY JESUS SILVA,PERSIS SOLO,TENGAH,31,Brazil,16,0,2,19,4,0,191/266,5,0,2,1,0,11,9
ALTHAF,36,ALTHAF INDIE ALRIZKY,PERSIS SOLO,DEPAN,22,Indonesia,32,0,0,21,10,3,597/780,31,37,18,2,0,21,4
GEDE ADITYA,47,I GEDE ADITYA JULI ANTARA,PERSIS SOLO,P. GAWANG,21,Indonesia,0,,0,,,,/,,,,0,0,,
PANCAR,51,PANCAR NUR WIDIASTONO,PERSIS SOLO,P. GAWANG,25,Indonesia,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0
R WAHYUDI,63,RIPAL WAHYUDI,PERSIS SOLO,TENGAH,25,Indonesia,21,0,0,2,1,0,275/326,19,23,1,0,0,13,0
C.SANTOS,70,JOSE CLEYLTON DE MORAIS DOS SANTOS,PERSIS SOLO,BELAKANG,32,Brazil,14,0,2,11,4,1,505/566,26,45,43,1,1,20,2
SANDRO,77,FRANSISKUS ALESANDRO NIMO OLEPUE,PERSIS SOLO,DEPAN,23,Indonesia,17,0,2,5,4,0,158/210,13,4,3,1,0,4,2
ZANADIN,78,Zanadin Fariz,PERSIS SOLO,TENGAH,21,Indonesia,23,0,2,9,3,1,442/551,23,30,4,3,0,20,0
RENDY SANJAYA,91,I GUSTI MADE RENDY SANJAYA PUTRA,PERSIS SOLO,DEPAN,21,Indonesia,6,0,0,2,0,0,26/32,3,2,0,0,0,3,0
