Nama Punggung,Nomor Punggung,Nama Lengkap,Klub,Posisi,Usia,Negara,Penampilan,Penyelamatan,Gol,Tembakan,Tembakan Tepat Sasaran,Assist,Umpan Sukses,Tekel,Intersepsi,Sapuan,Kartu Kuning,Kartu Merah,Pelanggaran,Offside
SANDRO. S,3,SANDRO SENE ANIBAL EMBALO,PERSITA,BELAKANG,29,Portugal,15,0,1,4,1,0,483/566,17,45,38,5,0,12,0
RYUJI,4,RYUJI UTOMO PRABOWO,PERSITA,BELAKANG,30,Indonesia,19,0,3,7,5,0,468/509,11,50,53,0,0,7,1
C. FATHONI,5,CHARISMA FATHONI AM,PERSITA,BELAKANG,24,Indonesia,10,0,1,2,2,0,154/165,3,15,9,2,1,9,0
UMANAILO,7,ABRIZAL UMANAILO,PERSITA,DEPAN,29,Indonesia,9,0,0,4,3,0,33/49,1,3,1,1,0,8,3
FAHREZA,8,FAHREZA SUDIN,PERSITA,TENGAH,25,Indonesia,23,0,0,3,2,1,226/316,12,19,4,0,1,13,0
HARDIANTO,9,A. NUR HARDIANTO,PERSITA,DEPAN,30,Indonesia,24,0,3,24,11,1,210/276,3,12,16,2,0,12,1
MARIOS,10,MARIOS OGKMPOE,PERSITA,DEPAN,31,Yunani,28,0,9,37,22,0,289/409,4,16,23,2,0,19,8
Z. TOHA,11,MUHAMMAD TOHA,PERSITA,BELAKANG,28,Indonesia,33,0,1,8,3,5,999/1189,29,62,49,4,0,17,4
COIS,13,COIS ARTOMORO RAYA,PERSITA,DEPAN,22,Indonesia,1,0,0,0,0,0,16/19,1,2,0,0,0,0,0
DIOVANI,14,DIOVANI AHMAD RAFLY,PERSITA,BELAKANG,20,Indonesia,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0
AHMAD FAHD,16,AHMAD FAHD ALCHOIR,PERSITA,TENGAH,22,Indonesia,9,0,0,4,3,0,205/228,12,17,6,2,0,6,0
G. BROWN,18,george peter brown,PERSITA,BELAKANG,26,Indonesia,3,0,0,0,0,0,15/17,2,2,2,0,0,0,0
JAVLON,19,JAVLON GUSEYNOV,PERSITA,BELAKANG,34,Uzbekistan,29,1,2,18,11,0,1103/1330,24,88,101,6,1,18,2
EBER BESSA,20,EBER HENRIQUE FERREIRA DE BESSA,PERSITA,TENGAH,33,Brazil,13,0,5,29,16,3,290/451,13,5,2,6,0,33,0
RENDY OS,21,RENDY OSCARIO,PERSITA,P. GAWANG,27,Indonesia,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0
A. MAJOK,22,AYOM MAJOK AYOM,PERSITA,DEPAN,22,Australia,9,0,0,2,1,0,64/77,7,6,0,1,0,7,5
ZOLA,25,GIAN ZOLA NASRULOH NUGRAHA,PERSITA,TENGAH,27,Indonesia,6,0,0,4,2,0,68/77,4,2,1,0,0,3,0
ANDREAN,27,ANDREAN BENYAMIN RINDORINDO,PERSITA,BELAKANG,21,Indonesia,10,1,0,2,1,0,97/114,2,12,5,0,0,3,0
IGOR,29,IGOR CARREIRA RODRIGUES,PERSITA,P. GAWANG,30,Portugal,28,91,0,0,0,0,529/691,1,3,5,2,0,0,0
ADRIANO,30,Andriano saputra,PERSITA,DEPAN,21,Indonesia,2,0,0,0,0,0,53/65,5,4,2,0,0,2,0
ARIF . S,31,ARIF SETIAWAN,PERSITA,BELAKANG,29,Indonesia,9,0,0,0,0,0,102/130,1,18,6,3,0,4,1
RIFKY DS,32,RIFKY DWI SEPTIAWAN,PERSITA,TENGAH,23,Indonesia,19,0,0,9,3,2,494/596,24,36,3,3,0,21,1
