Nama Punggung,Nomor Punggung,Nama Lengkap,Klub,Posisi,Usia,Negara,Penampilan,Penyelamatan,Gol,Tembakan,Tembakan Tepat Sasaran,Assist,Umpan Sukses,Tekel,Intersepsi,Sapuan,Kartu Kuning,Kartu Merah,Pelanggaran,Offside
VELAZQUEZ,2,JULIAN ALBERTO VELAZQUEZ,PSBS BIAK,BELAKANG,35,Argentina,28,0,3,7,4,0,958/1064,49,138,74,10,1,27,0
Y. HERA,4,Yohanis Hera,PSBS BIAK,TENGAH,29,Indonesia,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0
S.R.KANSAI,5,SUKANDAR RUMIDI KANSAI,PSBS BIAK,BELAKANG,22,Indonesia,1,0,0,0,0,0,40/46,2,4,4,0,0,1,0
J. MACHADO,8,JONATA FELIPE MACHADO,PSBS BIAK,TENGAH,26,Brazil,31,0,0,7,1,0,1179/1304,36,80,43,7,0,25,0
BETO,9,ALBERTO GONCALVES DA COSTA,PSBS BIAK,DEPAN,45,Indonesia,22,0,1,13,5,0,168/202,1,5,2,0,0,6,0
ALEXSANDRO,10,ALEXSANDRO DOS SANTOS PERREIRA,PSBS BIAK,DEPAN,28,Brazil,34,0,13,59,30,3,515/656,18,19,27,2,1,52,3
LUGO,11,WILLIAMS JOSE LUGO LADERA,PSBS BIAK,TENGAH,29,Venezuela,30,0,6,35,14,3,779/999,27,26,2,4,0,26,3
MIGAU,12,ALPONS MIGAU,PSBS BIAK,BELAKANG,27,Indonesia,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0
FR. SOKOY,14,FRANC RIKHART SOKOY,PSBS BIAK,TENGAH,28,Indonesia,12,0,0,0,0,1,144/180,9,13,14,3,0,15,0
FABIANO,15,FABIANO DA ROSA BELTRAME,PSBS BIAK,BELAKANG,43,Indonesia,26,1,1,12,6,0,772/933,44,98,82,13,1,35,1
SALMAN,16,MUHAMMAD SALMAN ALFARID,PSBS BIAK,BELAKANG,23,Indonesia,16,0,0,2,1,2,213/269,12,21,13,0,0,4,0
TAKI M.,18,TAKUYA MATSUNAGA,PSBS BIAK,TENGAH,35,Japan,29,0,1,14,6,0,684/778,24,37,22,4,0,52,0
R. AIBOY,19,RUI ANGELO AIBOY,PSBS BIAK,BELAKANG,21,Indonesia,1,0,0,0,0,0,12/12,2,2,0,0,0,0,0
HERWIN,20,HERWIN TRI SAPUTRA,PSBS BIAK,BELAKANG,34,Indonesia,5,0,0,0,0,0,23/27,0,4,3,0,0,0,0
PUALAM,21,PUALAM BAHARI,PSBS BIAK,P. GAWANG,23,Indonesia,3,11,0,0,0,0,28/35,2,1,0,0,0,0,0
ARJUNA,23,ARJUNA AGUNG,PSBS BIAK,TENGAH,22,Indonesia,8,0,0,0,0,0,96/116,4,7,1,0,0,4,0
F. UOPMABIN,24,D. FEBRIANTO M. UOPMABIN,PSBS BIAK,BELAKANG,23,Indonesia,34,0,0,18,6,1,893/1163,39,65,34,1,0,13,5
MARCKHO.M,26,MARCKHO SANDI MERAUJE,PSBS BIAK,BELAKANG,31,Indonesia,29,0,1,6,3,5,901/1131,36,45,33,5,1,20,3
YANO PUTRA,27,Damianus Adiman Putra,PSBS BIAK,TENGAH,22,Indonesia,15,0,1,8,6,0,212/264,8,16,3,1,0,8,1
ARGANARAZ,28,PABLO ABEL ARGANARAZ PARADI,PSBS BIAK,DEPAN,27,Argentina,32,0,10,65,35,4,409/551,15,24,2,4,0,26,11
JR. PIGAI,31,JHON RERICNAL PIGAI,PSBS BIAK,P. GAWANG,27,Indonesia,30,77,0,0,0,0,426/613,1,3,7,1,0,0,0
M.TAHIR,32,MUHAMMAD TAHIR,PSBS BIAK,TENGAH,31,Indonesia,26,0,1,6,2,4,571/727,30,63,20,2,0,24,0
WISNU,35,ANDIKA WISNU PRADIPTA,PSBS BIAK,P. GAWANG,28,Indonesia,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0
A. NAHUELPAN,37,Ariel Gerardo Nahuelpan Osten,PSBS BIAK,DEPAN,38,Argentina,15,0,2,21,5,2,93/127,6,3,4,2,0,11,2
K. SROYER,39,JEAM KELLY SROYER,PSBS BIAK,DEPAN,23,Indonesia,34,0,2,45,21,3,486/664,39,24,8,2,0,37,11
RIVALDO FERRE,46,TODD RIVALDO ALBERT FERRE,PSBS BIAK,TENGAH,26,Indonesia,26,0,0,8,5,2,273/340,7,8,0,3,0,8,1
Y.KANDAIMU,50,YOHANES KANDAIMU,PSBS BIAK,BELAKANG,30,Indonesia,3,0,0,0,0,0,9/14,1,1,2,0,0,0,0
A. OROPA,86,ARMANDO OBET OROPA,PSBS BIAK,DEPAN,22,Indonesia,16,0,1,14,5,1,118/147,5,8,1,0,0,5,0
NELSON ALOM,90,NELSON ALOM,PSBS BIAK,TENGAH,35,Indonesia,8,0,0,2,0,0,143/169,4,8,1,3,0,5,0
