Nama Punggung,Nomor Punggung,Nama Lengkap,Klub,Posisi,Usia,Negara,Penampilan,Penyelamatan,Gol,Tembakan,Tembakan Tepat Sasaran,Assist,Umpan Sukses,Tekel,Intersepsi,Sapuan,Kartu Kuning,Kartu Merah,Pelanggaran,Offside
HAYKAL,3,MOHAMMAD HAYKAL ALHAFIZ,PSIS SEMARANG,TENGAH,24,Indonesia,27,0,0,6,1,1,478/614,21,47,25,0,0,8,4
RUXI,4,ROGER BONET BADIA,PSIS SEMARANG,BELAKANG,30,Spain,20,2,0,1,0,1,745/834,23,49,50,3,1,18,1
JOÃO FERRARI,5,JOAO VITOR FERRARI SILVA,PSIS SEMARANG,BELAKANG,28,Brazil,34,2,2,12,5,1,1328/1546,53,144,124,3,0,28,1
L. BARRETO,6,LUCAS BARETTO,PSIS SEMARANG,TENGAH,31,Brazil,31,1,2,7,4,1,963/1097,34,74,68,6,0,26,0
GALI FREITAS,7,PAULO DOMINGOS GALI DA COSTA FREITAS,PSIS SEMARANG,DEPAN,21,Timor Leste,29,0,1,47,23,2,569/782,19,20,1,7,0,27,5
EVANDRO,10,EVANDRO ELMER DE CARVALHO BRANDAO,PSIS SEMARANG,DEPAN,34,Portugal,8,0,2,4,2,1,73/89,1,0,4,2,1,3,1
SUDI,11,SUDI ABDALLAH,PSIS SEMARANG,DEPAN,25,Burundi,17,0,5,30,13,1,176/237,3,7,1,0,0,10,4
AULIA RAHMAN,12,MUHAMMAD AULIA RAHMAN ARIF,PSIS SEMARANG,DEPAN,19,Indonesia,8,0,0,2,0,0,25/33,1,1,0,0,0,2,0
RIYAN. A,14,RIYAN ARDIANSYAH,PSIS SEMARANG,BELAKANG,29,Indonesia,30,0,2,18,7,1,854/1118,44,56,23,5,1,34,1
REIVA,16,REIVA APRILIANSYAH,PSIS SEMARANG,TENGAH,19,Indonesia,13,0,0,2,0,0,249/305,10,19,5,1,0,11,0
DEWA,19,ALFEANDRA DEWANGGA SANTOSA,PSIS SEMARANG,BELAKANG,24,Indonesia,26,0,1,26,10,2,819/1014,17,73,63,8,0,26,0
B. DIARRA,21,BOUBAKARY DIARRA,PSIS SEMARANG,TENGAH,32,Guyana,25,0,0,9,2,2,645/752,30,54,6,5,0,25,2
WILDAN,24,MUCHAMAD WILDAN RAMDHANI NUGRAHA,PSIS SEMARANG,DEPAN,27,Indonesia,18,0,1,5,4,0,100/140,2,3,1,1,0,14,1
FERIZAL,25,MOCH SANDY FERIZAL,PSIS SEMARANG,BELAKANG,26,Indonesia,16,0,1,7,3,0,181/243,13,25,11,2,0,7,0
SYAHRUL,26,SYAHRUL TRISNA FADILLAH,PSIS SEMARANG,P. GAWANG,30,Indonesia,15,63,0,0,0,0,289/342,1,4,8,0,1,0,0
DAVID MAULANA,29,SEPTIAN DAVID MAULANA,PSIS SEMARANG,TENGAH,29,Indonesia,31,0,5,34,24,3,496/664,15,23,13,2,0,12,4
ADI SATRYO,30,MUHAMMAD ADI SATRYO,PSIS SEMARANG,P. GAWANG,24,Indonesia,17,43,0,0,0,0,260/372,0,3,6,1,1,1,0
RAHMAT SYAWAL,31,RAHMAT SYAWAL,PSIS SEMARANG,BELAKANG,20,Indonesia,15,0,0,3,2,0,296/348,15,31,19,2,0,11,0
SYIHA,45,AHMAD SYIHA BUDDIN,PSIS SEMARANG,BELAKANG,24,Indonesia,11,0,0,1,0,0,344/372,11,33,14,0,0,2,0
MR. DARMAWAN,52,MUHAMMAD RIZKY DARMAWAN,PSIS SEMARANG,P. GAWANG,31,Indonesia,4,15,0,0,0,0,68/88,2,0,1,1,0,0,0
R.SYUHADA,56,Ridho Syuhada Putra,PSIS SEMARANG,TENGAH,21,Indonesia,32,0,2,18,7,1,363/461,22,23,1,2,0,20,1
A. MADILESA,57,AZYAH NUR FAIZIN MADILESA,PSIS SEMARANG,TENGAH,20,Indonesia,2,0,0,0,0,0,6/6,0,0,0,0,0,0,0
TRI SETIAWAN,68,TRI SETIAWAN,PSIS SEMARANG,TENGAH,21,Indonesia,29,0,2,17,4,1,423/511,29,19,9,1,0,26,3
D. RUMBINO,69,DELFIN RUMBINO,PSIS SEMARANG,TENGAH,30,Indonesia,8,0,0,1,1,0,100/112,5,8,0,1,0,6,0
ZICO,72,ZICO ULDHA FEBRIANATTA,PSIS SEMARANG,TENGAH,23,Indonesia,1,0,0,0,0,0,3/5,0,1,0,0,0,0,0
ANDIKA,88,ANDIKA PATRISA AKBAR,PSIS SEMARANG,BELAKANG,19,Indonesia,1,0,0,0,0,0,1/3,0,1,0,0,0,0,0
FAQIH,96,MUHAMMAD FAQIH MAULANA,PSIS SEMARANG,BELAKANG,21,Indonesia,21,0,0,0,0,0,224/297,19,16,17,4,0,12,1
GUSTAVO,99,GUSTAVO MOURA E SOUZA,PSIS SEMARANG,DEPAN,29,Brazil,16,0,1,15,9,2,128/170,3,0,0,1,0,9,2
