Nama Punggung,Nomor Punggung,Nama Lengkap,Klub,Posisi,Usia,Negara,Penampilan,Penyelamatan,Gol,Tembakan,Tembakan Tepat Sasaran,Assist,Umpan Sukses,Tekel,Intersepsi,Sapuan,Kartu Kuning,Kartu Merah,Pelanggaran,Offside
MUH. ARDIANSYAH,1,Muh. Ardiansyah,PSM MAKASSAR,P. GAWANG,22,Indonesia,4,12,0,0,0,0,30/79,0,1,0,2,0,0,0
SOARES,2,ALOISIO SOARES NETO,PSM MAKASSAR,BELAKANG,28,Brazil,31,0,6,16,11,1,719/889,39,133,76,6,0,23,1
Y. FERNANDES,4,YURAN FERNANDES ROCHA LOPES,PSM MAKASSAR,BELAKANG,31,Portugal,24,0,4,26,10,4,499/619,37,117,68,5,0,25,2
DETHAN,7,VICTOR JONSON BENJAMIN DETHAN,PSM MAKASSAR,TENGAH,21,Indonesia,25,0,3,26,14,3,294/479,14,18,6,0,0,9,1
ANANDA R,8,ANANDA RAEHAN ALIEF,PSM MAKASSAR,TENGAH,22,Indonesia,25,0,0,18,6,1,365/454,30,33,5,3,0,30,0
DAISUKE,10,DAISUKE SAKAI,PSM MAKASSAR,TENGAH,28,Japan,29,0,3,33,11,2,699/958,23,36,12,1,0,11,0
DZAKY,11,MUH. DZAKI ASRAF HUWAIDI,PSM MAKASSAR,TENGAH,22,Indonesia,9,0,0,0,0,0,47/80,4,4,0,1,0,3,0
SYAHRUL,13,SYAHRUL R LASINARI,PSM MAKASSAR,BELAKANG,26,Indonesia,31,1,1,7,4,1,711/1000,48,82,51,4,0,32,2
ZAKY RAZAK,14,SULTHAN ZAKY PRAMANA PUTRA RAZAK,PSM MAKASSAR,BELAKANG,19,Indonesia,2,0,0,0,0,0,13/13,0,0,0,0,0,6,0
RICKY,15,RICKY PRATAMA,PSM MAKASSAR,DEPAN,22,Indonesia,32,0,0,19,8,4,229/352,13,26,5,3,0,16,1
RASYID B,17,RASYID ASSAHID BAKRI,PSM MAKASSAR,TENGAH,34,Indonesia,2,0,1,1,1,0,0/0,0,0,0,0,0,0,0
LATYR,19,LATYR FALL,PSM MAKASSAR,TENGAH,31,Portugal,33,0,2,15,6,2,777/952,27,82,7,4,0,23,1
VICTOR LUIZ,22,Victor Luiz Prestes Filho,PSM MAKASSAR,BELAKANG,28,Brazil,32,0,0,19,10,7,909/1329,78,102,36,6,0,37,2
KAREL IEK,23,KAREL RIDZALD IEK,PSM MAKASSAR,DEPAN,22,Indonesia,11,0,0,0,0,0,55/76,8,8,1,3,0,4,0
M. RIZKY,24,MUH. RIZKY EKA PRATAMA,PSM MAKASSAR,TENGAH,26,Indonesia,33,0,1,23,10,3,512/691,18,54,11,1,0,6,3
DIMAS SUKARNO,27,DIMAS SUKARNO PUTRA,PSM MAKASSAR,BELAKANG,25,Indonesia,2,0,0,0,0,0,1/1,0,1,0,0,0,1,0
ARHAM,28,MUHAMMAD ARHAM DARMAWAN,PSM MAKASSAR,DEPAN,19,Indonesia,6,0,0,1,1,0,7/10,0,0,0,0,0,1,0
FAHRUL ADITIA,29,ACHMAT FAHRUL ADITIA,PSM MAKASSAR,DEPAN,22,Indonesia,9,0,1,4,2,0,38/59,2,2,0,0,0,7,0
M. REZA,30,M. REZA ARYA PRATAMA,PSM MAKASSAR,P. GAWANG,25,Indonesia,17,48,0,0,0,0,202/314,1,3,2,0,0,0,0
RIZAL,37,RIZAL,PSM MAKASSAR,DEPAN,24,Indonesia,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0
M. SILVA,39,MATHEUS VIEIRA DA SILVA,PSM MAKASSAR,DEPAN,28,Brazil,12,0,2,12,5,0,54/76,0,5,0,0,0,2,0
ADIL NUR. B,41,ADIL NUR BANGSAWAN,PSM MAKASSAR,TENGAH,21,Indonesia,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0
AKBAR,45,AKBAR TANJUNG,PSM MAKASSAR,TENGAH,32,Indonesia,31,0,0,4,0,0,501/627,46,69,31,6,0,37,1
POETRO,46,KGPH.RK.POETRO NEGORO,PSM MAKASSAR,P. GAWANG,18,Indonesia,0,,0,,,,/,,,,0,0,,
ARFAN,48,ARFAN,PSM MAKASSAR,TENGAH,29,Indonesia,0,,0,,,,/,,,,0,0,,
SALMAN,68,MUHAMMAD DAFFA SALMAN ZAHRAN SIDIK,PSM MAKASSAR,BELAKANG,23,Indonesia,16,0,0,2,1,0,173/233,14,28,9,1,0,8,0
M. MUFLI,71,MUH. MUFLI HIDAYAT,PSM MAKASSAR,TENGAH,20,Indonesia,12,0,0,2,0,2,80/111,12,5,7,2,0,7,0
SYAMIL,77,SYAMIL BAHIJ IRAWAN,PSM MAKASSAR,P. GAWANG,20,Indonesia,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0
ABDUL RAHMAN,81,ABDUL RAHMAN,PSM MAKASSAR,DEPAN,24,Indonesia,30,0,3,11,6,0,153/209,11,17,6,4,0,14,1
BALOTELLI,87,ALBERTINE JOAO PEREIRA,PSM MAKASSAR,DEPAN,28,Republik Guinea Bissau,14,0,5,30,16,1,131/183,3,7,5,3,1,14,1
HILMAN SYAH,97,HILMAN SYAH,PSM MAKASSAR,P. GAWANG,28,Indonesia,14,26,0,0,0,0,151/282,0,1,2,3,0,0,0
HALJETA,99,NERMIN HALJETA,PSM MAKASSAR,DEPAN,28,Slovenia,29,0,12,43,21,2,372/506,5,12,16,2,0,12,2
