Nama Punggung,Nomor Punggung,Nama Lengkap,Klub,Posisi,Usia,Negara,Penampilan,Penyelamatan,Gol,Tembakan,Tembakan Tepat Sasaran,Assist,Umpan Sukses,Tekel,Intersepsi,Sapuan,Kartu Kuning,Kartu Merah,Pelanggaran,Offside
ALFIANSYAH,2,ALFIANSYAH,PSS SLEMAN,BELAKANG,22,Indonesia,0,0,0,0,0,0,/,0,,,0,0,,0
CLEBERSON,4,CLEBERSON MARTINS DE SOUZA,PSS SLEMAN,BELAKANG,33,Brazil,32,1,3,20,8,1,980/1146,44,106,112,1,0,27,1
DIAS,27,Dia Syayid Alhawari,PERSIJA JAKARTA,BELAKANG,21,Indonesia,9,0,0,2,0,0,213/264,16,16,13,1,0,9,1
GOMES,6,KEVIN GOMES DE OLIVEIRA,PSS SLEMAN,BELAKANG,27,Indonesia,30,0,1,7,4,2,889/1079,28,78,45,7,0,32,0
M. CIRINO,7,MARCELO CIRINO DA SILVA,PSS SLEMAN,DEPAN,33,Brazil,17,0,3,15,7,0,125/161,7,7,7,1,0,7,5
BETINHO F,8,ROBERTO PIMENTA VINAGRE FILHO,PSS SLEMAN,TENGAH,33,Brazil,28,0,1,21,9,3,911/1127,53,79,34,7,0,29,0
CARAKA,9,HOKKY CARAKA BINTANG BRILLIANT,PSS SLEMAN,DEPAN,21,Indonesia,27,0,3,30,19,1,224/305,11,10,5,5,0,35,9
VICO,10,VINICIUS DUARTE,PSS SLEMAN,TENGAH,29,Brazil,16,0,2,32,13,3,509/636,13,12,6,4,0,19,0
G. TOCANTINS,11,Gustavo Henrique Barbosa Freire,PSS SLEMAN,DEPAN,29,Brazil,34,0,16,50,27,5,421/543,14,21,11,1,0,24,4
ALAN,12,ALAN JOSE BERNARDON,PSS SLEMAN,P. GAWANG,31,Brazil,33,141,0,0,0,0,483/682,1,4,6,3,0,0,0
REDI WAMU,14,REZIN DIOP WAMU,PSS SLEMAN,TENGAH,23,Indonesia,2,0,0,0,0,0,8/8,0,0,0,0,0,0,0
ZIDAN,16,ACHMAD ZIDAN AR ROSYID,PSS SLEMAN,TENGAH,19,Indonesia,5,0,0,1,0,0,14/17,0,0,0,0,0,1,0
OFOSU-AYEH,17,PHIL OFOSU AYEH,PSS SLEMAN,BELAKANG,34,Germany,15,0,1,8,4,1,263/348,14,17,6,1,0,11,1
FACHRUDDIN,19,FACHRUDDIN WAHYUDI ARYANTO,PSS SLEMAN,BELAKANG,36,Indonesia,25,0,1,5,2,0,663/736,32,91,71,3,0,18,0
SIMANJUNTAK,20,RIKO SIMANJUNTAK,PSS SLEMAN,TENGAH,33,Indonesia,29,0,0,12,5,5,649/808,26,32,7,4,0,15,0
KIM KURNIAWAN,23,KIM JEFFREY KURNIAWAN,PSS SLEMAN,TENGAH,35,Indonesia,1,0,0,0,0,0,13/19,1,3,1,0,0,1,0
NICOLAO D.C,24,NICOLAO MANUEL DUMITRU CARDOSO,PSS SLEMAN,DEPAN,34,Italy,28,0,6,36,16,2,389/512,13,16,7,5,1,23,14
GILANG OKTA,25,Gilang Oktavana Putra,PSS SLEMAN,BELAKANG,23,Indonesia,2,0,0,0,0,0,19/23,1,0,0,0,0,0,0
FERREL,26,FERREL ARDA SANTOSO,PSS SLEMAN,DEPAN,20,Indonesia,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0
SAFA''AT,31,SAFA’AT ARIF ALAN ROMADHONA,PSS SLEMAN,P. GAWANG,23,Indonesia,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0
EGA RIZKY,32,EGA RIZKY PRAMANA,PSS SLEMAN,P. GAWANG,33,Indonesia,4,4,0,0,0,0,28/32,0,0,0,0,0,1,0
K.HAMISI,33,WAHYUDI SETIAWAN HAMISI,PSS SLEMAN,TENGAH,28,Indonesia,22,0,0,8,1,1,391/456,31,29,15,7,0,30,1
RELOSA,36,RELOSA RIVAN SATRIA HUTAMA,PSS SLEMAN,TENGAH,20,Indonesia,4,0,0,0,0,0,24/27,2,0,1,2,0,3,0
I ANSANAY,38,I NYOMAN NIKSON ANSANAY,PSS SLEMAN,BELAKANG,24,Indonesia,0,,0,,,,/,,,,0,0,,
JOSEPH,44,JOSEPH ALEXANDER KURNIAWAN,PSS SLEMAN,BELAKANG,20,Indonesia,0,,0,,,,/,,,,0,0,,
JAYUS,55,JAYUS HARIONO,PSS SLEMAN,TENGAH,28,Indonesia,18,0,0,1,0,3,365/420,17,25,10,4,0,27,1
FIDELIS DAVIN,57,FIDELIS DAVIN DANISWARA,PSS SLEMAN,P. GAWANG,21,Indonesia,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0
BIMAZAWAWI,69,MUHAMAD BIMAZAWAWI,PSS SLEMAN,BELAKANG,21,Indonesia,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0
CLOUDIO,72,CLOUDIO FAIERA MUTZI,PSS SLEMAN,TENGAH,22,Indonesia,2,0,0,0,0,0,2/3,0,0,0,0,0,0,0
FADEL AHMAD,74,FADEL AHMAD ARRAFI,PSS SLEMAN,BELAKANG,19,Indonesia,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0
DION,76,DOMINIKUS DION OKTAWIAN WIBOWO,PSS SLEMAN,TENGAH,21,Indonesia,30,0,3,14,7,1,769/916,44,42,15,5,0,17,0
PAULO,77,PAULO OKTAVIANUS SITANGGANG,PSS SLEMAN,TENGAH,30,Indonesia,25,0,0,14,4,0,409/463,20,29,7,6,0,19,0
