Nama Punggung,Nomor Punggung,Nama Lengkap,Klub,Posisi,Usia,Negara,Penampilan,Penyelamatan,Gol,Tembakan,Tembakan Tepat Sasaran,Assist,Umpan Sukses,Tekel,Intersepsi,Sapuan,Kartu Kuning,Kartu Merah,Pelanggaran,Offside
NOR HALID,1,NOR HALID,PS BARITO PUTERA,P. GAWANG,28,Indonesia,10,27,0,0,0,0,151/219,0,4,1,2,1,2,0
BAGAS KAFFA,2,AMIRUDDIN BAGAS KAFFA ARRIZQI,PS BARITO PUTERA,BELAKANG,23,Indonesia,23,0,0,5,2,0,406/512,29,32,22,2,0,14,0
YUSWANTO,3,YUSWANTO ADITYA,PS BARITO PUTERA,BELAKANG,25,Indonesia,13,0,1,3,2,0,293/347,14,34,31,4,0,12,0
ANDERSON,4,ANDERSON DO NASCIMENTO CARNEIRO,PS BARITO PUTERA,BELAKANG,32,Brazil,16,0,1,8,2,0,474/530,32,51,36,4,0,14,1
MATIAS MIER,5,HENRY MATIAS MIER CODINA,PS BARITO PUTERA,TENGAH,35,Uruguay,15,0,8,33,16,2,364/473,2,14,4,5,0,16,1
INFANTRIE,6,TEGAR INFANTRIE SUKAMTO,PS BARITO PUTERA,TENGAH,26,Indonesia,17,0,0,6,1,0,302/337,8,22,4,6,0,13,0
L. MADINDA,7,LEVY CLEMENT MADINDA,PS BARITO PUTERA,TENGAH,33,Gabon,30,0,3,10,5,1,1037/1225,16,60,12,1,2,26,2
MORELATTO,8,LUCAS MORELATTO DA CRUZ,PS BARITO PUTERA,TENGAH,31,Brazil,31,0,9,56,31,3,578/750,41,34,5,4,0,41,6
J. MORENO,9,JAIME JOSE MORENO CIORCIARI,PS BARITO PUTERA,DEPAN,30,Italy,16,0,5,25,13,1,191/287,10,10,3,3,0,22,8
BAYU PRADANA,13,BAYU PRADANA ANDRIATMOKO,PS BARITO PUTERA,TENGAH,34,Indonesia,16,0,0,6,2,0,556/626,19,40,14,4,0,21,1
NAZAR,14,NAZAR NURZAIDIN,PS BARITO PUTERA,BELAKANG,30,Indonesia,14,0,0,1,0,1,278/320,10,36,9,4,0,17,0
ALEXANDRO,16,ALEXANDRO FELIX KAMURU,PS BARITO PUTERA,BELAKANG,20,Indonesia,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0
FERDIYANSYAH,17,FERDIYANSYAH,PS BARITO PUTERA,DEPAN,25,Indonesia,6,0,0,2,0,1,53/92,5,2,0,2,0,4,0
NATANAEL.S,18,NATANAEL SIRINGO RINGO,PS BARITO PUTERA,DEPAN,26,Indonesia,19,0,0,14,6,1,164/203,14,12,8,1,0,10,0
MUHAMMAD RD,19,MUHAMMAD RIDHO,PS BARITO PUTERA,P. GAWANG,34,Indonesia,0,,0,,,,/,,,,0,0,,
BAGUS KAHFI,20,AMIRUDDIN BAGUS KAHFI ALFIKRI,PS BARITO PUTERA,DEPAN,23,Indonesia,16,0,0,5,2,0,83/114,9,9,2,2,0,10,3
NOVAN S,22,NOVAN SETYA SASONGKO,PS BARITO PUTERA,BELAKANG,36,Indonesia,23,0,0,1,0,0,405/526,23,39,30,4,0,26,0
REZA,23,MUHAMAD REZA ZUHRO USSURUR,PS BARITO PUTERA,TENGAH,21,Indonesia,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0
DAFFA,24,ADITIYA DAFFA AL HAQI,PS BARITO PUTERA,TENGAH,21,Indonesia,17,0,0,2,0,1,306/419,23,37,27,3,0,16,0
D. LASSANA,25,DOUCOURE LASSANA,PS BARITO PUTERA,DEPAN,22,Indonesia,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0
RIZKY PORA,26,RIZKY RIZALDI PORA,PS BARITO PUTERA,TENGAH,36,Indonesia,30,0,0,10,3,8,382/562,13,17,4,1,0,6,1
MAHENDRA,27,ILHAM ZUSRIL MAHENDRA,PS BARITO PUTERA,BELAKANG,29,Indonesia,5,0,0,0,0,0,26/37,2,3,4,1,0,1,0
BUYUNG ISMU,28,MUHAMAD BUYUNG ISMU LESSY,PS BARITO PUTERA,TENGAH,26,Indonesia,17,0,0,7,1,0,287/374,11,13,14,3,1,8,1
M. IQBAL,29,MUHAMMAD IQBAL GWIJANGGE,PS BARITO PUTERA,BELAKANG,19,Indonesia,12,0,0,2,0,1,262/314,15,27,32,2,0,7,0
MURILO,31,MURILO OTAVIO MENDES,PS BARITO PUTERA,DEPAN,30,Brazil,24,0,3,30,9,3,383/486,23,18,8,4,0,22,2
RENAN ALVES,36,RENAN DA SILVA ALVES,PS BARITO PUTERA,BELAKANG,33,Brazil,14,0,2,14,5,1,303/397,24,62,64,1,0,10,1
W. HENDRAWAN,59,WAWAN HENDRAWAN,PS BARITO PUTERA,P. GAWANG,42,Indonesia,3,3,0,0,0,0,22/45,0,0,0,0,0,0,0
AIMAR,71,MUHAMMAD AIMAR ISKANDAR ALAM,PS BARITO PUTERA,DEPAN,22,Indonesia,8,0,0,1,0,0,20/37,2,2,0,1,0,1,0
JI SUNG,77,CHI SUNG MOON,PS BARITO PUTERA,BELAKANG,25,Korea Republic,16,0,0,0,0,0,304/379,14,21,11,2,0,10,3
