Nama Punggung,Nomor Punggung,Nama Lengkap,Klub,Posisi,Usia,Negara,Penampilan,Penyelamatan,Gol,Tembakan,Tembakan Tepat Sasaran,Assist,Umpan Sukses,Tekel,Intersepsi,Sapuan,Kartu Kuning,Kartu Merah,Pelanggaran,Offside
ARTHUR A.,1,ARTHUR AUGUSTO DA SILVA,SEMEN PADANG FC,P. GAWANG,26,Brazil,17,62,0,0,0,0,387/575,1,3,5,2,0,0,0
M. BAIXINHO,2,MARCO JOAO COSTA BAIXINHO,SEMEN PADANG FC,BELAKANG,36,Portugal,2,0,0,0,0,0,46/52,2,3,5,1,0,1,0
KIM,5,KIM MINGYU,SEMEN PADANG FC,BELAKANG,26,Korea Republic,23,1,1,5,2,0,532/581,18,61,66,4,0,13,0
M. IQBAL,6,MUHAMMAD IQBAL,SEMEN PADANG FC,TENGAH,25,Indonesia,13,0,0,13,5,0,200/242,8,8,0,3,0,11,0
CHABY,7,CARLOS FILIPE DA FONSECA CHABY,SEMEN PADANG FC,TENGAH,31,Portugal,15,0,3,23,12,2,546/694,9,18,1,6,0,10,0
RIAN,8,RICKI ARIANSYAH,SEMEN PADANG FC,TENGAH,28,Indonesia,29,0,0,18,8,2,804/962,34,92,43,6,0,21,0
STEWART,9,CORNELIUS EZEKIEL STEWART,SEMEN PADANG FC,DEPAN,36,Trinidad and Tobago,34,0,6,43,22,5,405/597,20,17,4,2,0,25,5
FRENDI,12,FRENDI SAPUTRA,SEMEN PADANG FC,BELAKANG,33,Indonesia,15,2,0,5,1,0,224/321,16,27,26,4,2,12,0
ALEKVAN DJIN,13,DODI ALEKVAN DJIN,SEMEN PADANG FC,BELAKANG,27,Indonesia,32,0,0,10,4,0,758/913,50,83,58,6,1,29,2
DIMAS RONI,14,DIMAS RONI SAPUTRA,SEMEN PADANG FC,TENGAH,29,Indonesia,8,0,0,1,1,0,107/126,6,11,2,1,0,5,0
JULIANSYAH,15,FIRMAN JULIANSYAH,SEMEN PADANG FC,TENGAH,22,Indonesia,29,0,3,17,6,4,375/495,37,22,8,3,1,24,2
BRUNO GOMES,17,BRUNO GOMES DE OLIVEIRA CONCEICAO,SEMEN PADANG FC,DEPAN,29,Brazil,17,0,8,38,18,6,274/361,6,13,11,0,0,22,8
GALA,18,GALA PAGAMO,SEMEN PADANG FC,TENGAH,19,Indonesia,21,0,3,18,11,1,272/341,6,19,9,3,1,12,3
RIDWAN,19,MUHAMAD RIDWAN,SEMEN PADANG FC,DEPAN,25,Indonesia,8,0,3,3,3,0,12/20,1,0,0,1,0,2,1
MAJEFAT,20,MELCIOR LEIDEKER MAJEFAT,SEMEN PADANG FC,BELAKANG,31,Indonesia,10,0,0,1,0,0,84/108,11,4,3,1,1,4,1
DIKY,21,MOCH. DIKY INDRIYANA,SEMEN PADANG FC,P. GAWANG,28,Indonesia,8,24,0,0,0,0,139/203,0,0,0,0,0,0,0
ZIDANE,25,ZIDANE PRAMUDYA AFANDI,SEMEN PADANG FC,BELAKANG,23,Indonesia,13,0,0,3,1,0,289/361,17,46,12,4,0,16,0
PANYALAY DREY,26,DREY BUYUNG PANYALAY,SEMEN PADANG FC,TENGAH,25,Indonesia,0,,0,,,,/,,,,0,0,,
GILANG,27,GILANG ANUGERAH ESA,SEMEN PADANG FC,BELAKANG,19,Indonesia,1,0,0,0,0,0,3/5,0,0,0,1,0,1,0
IRKHAM MILA,29,IRKHAM ZAHRUL MILA,SEMEN PADANG FC,TENGAH,27,Indonesia,28,0,1,14,6,2,210/297,14,20,4,1,0,9,5
A. WAKASO,30,ALHASSAN WAKASO,SEMEN PADANG FC,TENGAH,33,Portugal,12,0,1,11,3,0,438/514,41,48,18,3,1,20,0
ROSAD,31,ROSAD SETIAWAN,SEMEN PADANG FC,TENGAH,29,Indonesia,30,0,1,7,4,2,776/1023,34,54,18,9,0,35,1
IKRAM,34,IKRAM AL GIFFARI,SEMEN PADANG FC,P. GAWANG,19,Indonesia,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0
MARTIC,44,TIN MARTIC,SEMEN PADANG FC,BELAKANG,29,Croatia,30,1,3,14,9,1,780/944,42,113,87,7,1,32,0
MURSALIN,53,M. MURSALIN WIJAYA. HZ,SEMEN PADANG FC,P. GAWANG,20,Indonesia,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0
BIMA REKSA,55,BIMA REKSA,SEMEN PADANG FC,BELAKANG,26,Indonesia,12,0,0,0,0,0,278/345,14,21,15,1,0,6,0
DEWA,65,DEWA ERLANGGA SAPALAS,SEMEN PADANG FC,DEPAN,19,Indonesia,7,0,0,4,2,0,13/17,1,1,1,0,0,0,0
GENO N.,66,DWI GENO NOFIANSYAH,SEMEN PADANG FC,TENGAH,24,Indonesia,13,0,0,4,0,1,179/225,16,17,5,3,0,10,0
ZULKIFLI,70,ZULKIFLI YAHYA,SEMEN PADANG FC,BELAKANG,20,Indonesia,1,0,0,0,0,0,4/6,1,0,0,0,0,0,0
AMIRUDDIN,71,TEGUH AMIRUDDIN,SEMEN PADANG FC,P. GAWANG,32,Indonesia,9,28,0,0,0,0,146/206,1,0,4,1,0,1,0
JORRY,79,ADITHYA JORY GURUH SETIAWAN,SEMEN PADANG FC,DEPAN,24,Indonesia,0,0,0,0,0,0,/,0,,,0,0,,
