Name,Rating,Posisi,Link
Alex,7.84,Penyerang,https://www.sofascore.com/id/football/player/alex/1104491
Alexis Messidoro,7.49,Gelandang,https://www.sofascore.com/id/football/player/alexis-messidoro/830711
Egy Maulana Vikri,7.37,Gelandang,https://www.sofascore.com/id/football/player/egy-maulana-vikri/941547
Sonny Stevens,7.25,Kiper,https://www.sofascore.com/id/football/player/sonny-stevens/130172
Jajá,7.17,Gelandang,https://www.sofascore.com/id/football/player/jaja/795036
Taisei Marukawa,7.17,Gelandang,https://www.sofascore.com/id/football/player/marukawa-taisei/980924
Risto Mitrevski,7.00,Bek,https://www.sofascore.com/id/football/player/risto-mitrevski/94853
Ângelo Meneses,6.97,Bek,https://www.sofascore.com/id/football/player/angelo-meneses/343989
Ricky Kambuaya,6.96,Gelandang,https://www.sofascore.com/id/football/player/ricky-kambuaya/1457715
Septian Bagaskara,6.84,Penyerang,https://www.sofascore.com/id/football/player/septian-bagaskara/1021948
Altariq Ballah,6.77,Bek,https://www.sofascore.com/id/football/player/altariq-ballah/1137105
Ahmad Nufiandani,6.75,Gelandang,https://www.sofascore.com/id/football/player/ahmad-nufiandani/1139016
Theo Numberi,6.71,Gelandang,https://www.sofascore.com/id/football/player/theo-numberi/1137103
Alfriyanto Nico,6.69,Bek,https://www.sofascore.com/id/football/player/nico-alfriyanto/1115855
Brian Fatari,6.67,Bek,https://www.sofascore.com/id/football/player/brian-fatari/1137397
Ady Setiawan,6.66,Bek,https://www.sofascore.com/id/football/player/ady-setiawan/985187
Arapenta Poerba,6.66,Gelandang,https://www.sofascore.com/id/football/player/poerba-arapenta/1001842
Rangga Muslim Perkasa,6.66,Gelandang,https://www.sofascore.com/id/football/player/rangga-muslim-perkasa/985301
Dani Saputra,6.65,Penyerang,https://www.sofascore.com/id/football/player/dani-saputra/1651878
Feby Eka Putra,6.60,Gelandang,https://www.sofascore.com/id/football/player/feby-eka-putra/929399
Reva Adi Utama,6.58,Bek,https://www.sofascore.com/id/football/player/reva-adi-utama/984409
Ferian Rizki Maulana,6.50,Bek,https://www.sofascore.com/id/football/player/ferian-rizki-maulana/1908136
Asep Berlian,6.00,Gelandang,https://www.sofascore.com/id/football/player/asep-berlian/958616
