Name,Rating,Posisi,Link
Tyronne,7.52,Gelandang,https://www.sofascore.com/id/football/player/tyronne/143368
Ciro Alves,7.35,Penyerang,https://www.sofascore.com/id/football/player/ciro-alves/47705
Teja Paku Alam,7.27,Kiper,https://www.sofascore.com/id/football/player/teja-paku-alam/825056
Beckham Putra Nugraha,7.18,Gelandang,https://www.sofascore.com/id/football/player/beckham-putra-nugraha/986947
Gustavo França,7.10,Bek,https://www.sofascore.com/id/football/player/gustavo-franca/1134068
Marc Klok,7.09,Gelandang,https://www.sofascore.com/id/football/player/marc-klok/334197
Kevin Ray Mendoza,7.01,Kiper,https://www.sofascore.com/id/football/player/kevin-ray-mendoza/174905
David Da Silva,6.97,Penyerang,https://www.sofascore.com/id/football/player/david-da-silva/156614
Dimas Drajad,6.87,Penyerang,https://www.sofascore.com/id/football/player/dimas-drajad/1567998
Nick Kuipers,6.85,Bek,https://www.sofascore.com/id/football/player/nick-kuipers/125417
Gervane Kastaneer,6.84,Penyerang,https://www.sofascore.com/id/football/player/gervane-kastaneer/798178
Mailson Lima,6.80,Penyerang,https://www.sofascore.com/id/football/player/mailson-lima/851064
Edo Febriansyah,6.80,Bek,https://www.sofascore.com/id/football/player/edo-febriansyah/1022207
Adam Alis Setyano,6.73,Gelandang,https://www.sofascore.com/id/football/player/adam-alis-setyano/860916
Febri Hariyadi,6.70,Gelandang,https://www.sofascore.com/id/football/player/febri-hariyadi/858968
Rachmat Irianto,6.69,Gelandang,https://www.sofascore.com/id/football/player/irianto-rachmat/984947
Dedi Kusnandar,6.68,Gelandang,https://www.sofascore.com/id/football/player/dedi-kusnandar/810022
Victor Igbonefo,6.65,Bek,https://www.sofascore.com/id/football/player/victor-igbonefo/822642
Kakang Rudianto,6.62,Bek,https://www.sofascore.com/id/football/player/rudianto-kakang/1174725
Mateo Kocijan,6.61,Gelandang,https://www.sofascore.com/id/football/player/mateo-kocijan/1063394
Ryan Kurnia,6.61,Penyerang,https://www.sofascore.com/id/football/player/ryan-kurnia/985715
Rezaldi Hehanusa,6.60,Bek,https://www.sofascore.com/id/football/player/rezaldi-hehanusa/925672
Ferdiansyah,6.60,Penyerang,https://www.sofascore.com/id/football/player/ferdiansyah/1171236
Henhen Herdiana,6.60,Bek,https://www.sofascore.com/id/football/player/henhen-herdiana/879693
Robi Darwis,6.52,Gelandang,https://www.sofascore.com/id/football/player/darwis-robi/1392037
Adzikry Fadlillah,6.50,Gelandang,https://www.sofascore.com/id/football/player/adzikry-fadlillah/1504038
Zalnando,6.47,Bek,https://www.sofascore.com/id/football/player/zalnando/878355
Ahmad Agung,6.47,Gelandang,https://www.sofascore.com/id/football/player/ahmad-agung/929400
Sheva Sanggasi,5.10,Kiper,https://www.sofascore.com/id/football/player/sheva-sanggasi/1516109
