Nama,Klub,Posisi,Tinggi,Tanggal Lahir,Kaki Dominan,Nilai Pasar,Nomor Punggung,Link
Lucas Frigeri,Arema FC,Kiper,"1,94m",15 Jun 1989 (35),kanan,"Rp1,30Mlyr.",31,https://www.transfermarkt.co.id/lucas-frigeri/profil/spieler/532752
Dicki Agung,Arema FC,Kiper,"1,80m",16 Des 1998 (26),kanan,"Rp434,54Jt.",22,https://www.transfermarkt.co.id/dicki-agung/profil/spieler/951603
Andrian Casvari,Arema FC,Kiper,"1.78m",30 Jun 1999 (25),kiri,"Rp173,82Jt.",95,https://www.transfermarkt.co.id/andrian-casvari/profil/spieler/1156279
Thales,Arema FC,Bek-Tengah,"1,88m",6 Apr 1993 (32),kanan,"Rp5,21Mlyr.",5,https://www.transfermarkt.co.id/thales/profil/spieler/290500
Syaeful Anwar,Arema FC,Bek-Tengah,"1,84m",1 Des 1994 (30),kanan,"Rp869,08Jt.",4,https://www.transfermarkt.co.id/syaeful-anwar/profil/spieler/666719
Brandon Scheunemann,Arema FC,Bek-Tengah,"1,86m",9 Mar 2005 (20),kanan,"Rp869,08Jt.",18,https://www.transfermarkt.co.id/brandon-scheunemann/profil/spieler/1100572
Bayu Aji,Arema FC,Bek-Tengah,"1,78m",31 Jan 2000 (25),kanan,"Rp434,54Jt.",3,https://www.transfermarkt.co.id/bayu-aji/profil/spieler/1102933
Anwar Rifai,Arema FC,Bek-Tengah,"1,80m",23 Jan 2001 (24),kanan,"Rp434,54Jt.",23,https://www.transfermarkt.co.id/anwar-rifai/profil/spieler/1156278
Iksan Lestaluhu,Arema FC,Bek-Kiri,"1,67m",13 Okt 2003 (21),kiri,"Rp434,54Jt.",96,https://www.transfermarkt.co.id/iksan-lestaluhu/profil/spieler/1152423
Johan Alfarizi,Arema FC,Bek-Kiri,"1,73m",25 Mei 1990 (35),kiri,"Rp173,82Jt.",87,https://www.transfermarkt.co.id/johan-alfarizi/profil/spieler/185419
Achmad Maulana,Arema FC,Bek-Kanan,"1,82m",24 Apr 2003 (22),kanan,"Rp2,61Mlyr.",19,https://www.transfermarkt.co.id/achmad-maulana/profil/spieler/1050309
Rifad Marasabessy,Arema FC,Bek-Kanan,"1,68m",7 Jul 1999 (25),kanan,"Rp1,74Mlyr.",12,https://www.transfermarkt.co.id/rifad-marasabessy/profil/spieler/506274
Bayu Setiawan,Arema FC,Bek-Kanan,"1,66m",27 Des 1998 (26),kanan,"Rp1,30Mlyr.",72,https://www.transfermarkt.co.id/bayu-setiawan/profil/spieler/1037451
Pablo Oliveira,Arema FC,Gel. Bertahan,"1,83m",24 Mei 1995 (30),kanan,"Rp2,17Mlyr.",32,https://www.transfermarkt.co.id/pablo-oliveira/profil/spieler/535417
Shulton Fajar,Arema FC,Gel. Bertahan,"1,70m",4 Feb 1994 (31),kanan,"Rp869,08Jt.",67,https://www.transfermarkt.co.id/shulton-fajar/profil/spieler/722688
Daffa Fahish,Arema FC,Gelandang,"1,79m",3 Jul 2004 (20),kanan,"Rp0Jt.",16,https://www.transfermarkt.co.id/daffa-fahish/profil/spieler/1276548
Aswin,Arema FC,Gel. Bertahan,"1,73m",10 Mei 2003 (22),kanan,"Rp0Jt.",17,https://www.transfermarkt.co.id/aswin/profil/spieler/1363890
Julián Guevara,Arema FC,Gel. Tengah,"1,93m",4 Mei 1992 (33),kiri,"Rp3,04Mlyr.",6,https://www.transfermarkt.co.id/julian-guevara/profil/spieler/498048
Arkhan Fikri,Arema FC,Gel. Tengah,"1,65m",28 Des 2004 (20),kanan,"Rp3,04Mlyr.",8,https://www.transfermarkt.co.id/arkhan-fikri/profil/spieler/989230
Samuel Balinsa,Arema FC,Gel. Tengah,"1,79m",8 Mar 1999 (26),kiri,"Rp869,08Jt.",13,https://www.transfermarkt.co.id/samuel-balinsa/profil/spieler/721008
Muhammad Rafli,Arema FC,Gel. Serang,"1,80m",24 Nov 1998 (26),keduanya,"Rp1,30Mlyr.",24,https://www.transfermarkt.co.id/muhammad-rafli/profil/spieler/505897
Tito Hamzah,Arema FC,Sayap Kanan,"1,65m",10 Agt 2002 (22),kanan,"Rp869,08Jt.",7,https://www.transfermarkt.co.id/tito-hamzah/profil/spieler/912245
Flabio Soares,Arema FC,Sayap Kanan,"1,62m",2 Feb 1999 (26),kanan,"Rp869,08Jt.",21,https://www.transfermarkt.co.id/flabio-soares/profil/spieler/1039723
Salim Tuharea,Arema FC,Sayap Kanan,"1,70m",30 Nov 2001 (23),kanan,"Rp869,08Jt.",30,https://www.transfermarkt.co.id/salim-tuharea/profil/spieler/1115707
Dendi Santoso,Arema FC,Sayap Kanan,"1,72m",16 Mei 1990 (35),keduanya,"Rp434,54Jt.",41,https://www.transfermarkt.co.id/dendi-santoso/profil/spieler/186865
Charles Lokolingoy,Arema FC,Depan-Tengah,"1,88m",2 Mar 1997 (28),kanan,"Rp3,91Mlyr.",11,https://www.transfermarkt.co.id/charles-lokolingoy/profil/spieler/467017
Dalberto,Arema FC,Depan-Tengah,"1,82m",15 Sep 1994 (30),kanan,"Rp3,04Mlyr.",94,https://www.transfermarkt.co.id/dalberto/profil/spieler/519891
Dedik Setiawan,Arema FC,Depan-Tengah,"1,77m",27 Jun 1994 (30),kanan,"Rp2,61Mlyr.",27,https://www.transfermarkt.co.id/dedik-setiawan/profil/spieler/505894
