Nama,Klub,Posisi,Tinggi,Tanggal Lahir,Kaki Dominan,Nilai Pasar,Nomor Punggung,Link
Adilson Maringá,Bali United FC,Kiper,"1,94m",22 Agt 1990 (34),kanan,"Rp3,91Mlyr.",1,https://www.transfermarkt.co.id/adilson-maringa/profil/spieler/587179
Fitrul Rustapa,Bali United FC,Kiper,"1,77m",5 Jun 1995 (29),kanan,"Rp2,61Mlyr.",95,https://www.transfermarkt.co.id/fitrul-rustapa/profil/spieler/506497
Wayan Arta,Bali United FC,Kiper,"1,82m",1 Okt 2006 (18),kanan,"Rp173,82Jt.",21,https://www.transfermarkt.co.id/wayan-arta/profil/spieler/1116070
Komang Aryantara,Bali United FC,Kiper,"1,81m",1 Apr 2005 (20),kanan,"Rp173,82Jt.",67,https://www.transfermarkt.co.id/komang-aryantara/profil/spieler/1009177
Elias Dolah,Bali United FC,Bek-Tengah,"1,96m",24 Apr 1993 (32),kanan,"Rp6,08Mlyr.",4,https://www.transfermarkt.co.id/elias-dolah/profil/spieler/255119
Kadek Arel,Bali United FC,Bek-Tengah,"1,81m",4 Apr 2005 (20),kanan,"Rp3,91Mlyr.",44,https://www.transfermarkt.co.id/kadek-arel/profil/spieler/989205
Jaime,Bali United FC,Bek-Tengah,"1,87m",26 Feb 1990 (35),kanan,"Rp2,61Mlyr.",20,https://www.transfermarkt.co.id/jaime/profil/spieler/124784
Bagas Adi,Bali United FC,Bek-Tengah,"1,76m",8 Mar 1997 (28),kiri,"Rp2,17Mlyr.",5,https://www.transfermarkt.co.id/bagas-adi/profil/spieler/505885
Agung Mannan,Bali United FC,Bek-Tengah,"1,75m",6 Agt 1998 (26),kiri,"Rp1,74Mlyr.",2,https://www.transfermarkt.co.id/agung-mannan/profil/spieler/939850
Komang Tri,Bali United FC,Bek-Tengah,"1,81m",24 Jan 2001 (24),kanan,"Rp1,30Mlyr.",26,https://www.transfermarkt.co.id/komang-tri/profil/spieler/817924
Komang Dedi,Bali United FC,Bek-Tengah,"1,74m",23 Nov 2003 (21),kanan,"Rp0Jt.",87,https://www.transfermarkt.co.id/komang-dedi/profil/spieler/1288570
Ricky Fajrin,Bali United FC,Bek-Kiri,"1,77m",6 Sep 1995 (29),kiri,"Rp5,21Mlyr.",24,https://www.transfermarkt.co.id/ricky-fajrin/profil/spieler/506449
Made Andhika,Bali United FC,Bek-Kanan,"1,73m",12 Jul 1996 (28),kanan,"Rp3,04Mlyr.",33,https://www.transfermarkt.co.id/made-andhika/profil/spieler/506451
Novri Setiawan,Bali United FC,Bek-Kanan,"1,73m",11 Nov 1993 (31),keduanya,"Rp2,17Mlyr.",22,https://www.transfermarkt.co.id/novri-setiawan/profil/spieler/506161
Brandon Wilson,Bali United FC,Gel. Bertahan,"1,85m",28 Jan 1997 (28),kanan,"Rp3,91Mlyr.",6,https://www.transfermarkt.co.id/brandon-wilson/profil/spieler/385923
Made Tito,Bali United FC,Gel. Bertahan,"1,74m",31 Jul 2003 (21),kanan,"Rp2,17Mlyr.",55,https://www.transfermarkt.co.id/made-tito/profil/spieler/1021532
Luthfi Kamal,Bali United FC,Gel. Bertahan,"1,70m",20 Jan 1999 (26),kanan,"Rp1,74Mlyr.",71,https://www.transfermarkt.co.id/luthfi-kamal/profil/spieler/585749
Gede Sunu,Bali United FC,Gel. Bertahan,"1,71m",28 Apr 2002 (23),kanan,"Rp434,54Jt.",28,https://www.transfermarkt.co.id/gede-sunu/profil/spieler/1186738
Mitsuru Maruoka,Bali United FC,Gel. Tengah,"1,70m",6 Jan 1996 (29),kanan,"Rp5,21Mlyr.",8,https://www.transfermarkt.co.id/mitsuru-maruoka/profil/spieler/303412
Kadek Agung,Bali United FC,Gel. Tengah,"1,70m",25 Jun 1998 (26),kanan,"Rp2,61Mlyr.",18,https://www.transfermarkt.co.id/kadek-agung/profil/spieler/597136
Sidik Saimima,Bali United FC,Gel. Tengah,"1,65m",4 Jun 1997 (27),kanan,"Rp1,74Mlyr.",7,https://www.transfermarkt.co.id/sidik-saimima/profil/spieler/559357
Maouri Simon,Bali United FC,Gel. Serang,"1,77m",9 Nov 2006 (18),kanan,"Rp0Jt.",42,https://www.transfermarkt.co.id/maouri-simon/profil/spieler/1177318
Yabes Roni,Bali United FC,Sayap Kiri,"1,68m",6 Feb 1995 (30),keduanya,"Rp1,74Mlyr.",11,https://www.transfermarkt.co.id/yabes-roni/profil/spieler/506460
Rahmat,Bali United FC,Sayap Kiri,"1,73m",28 Mei 1988 (36),kanan,"Rp173,82Jt.",91,https://www.transfermarkt.co.id/rahmat/profil/spieler/252685
Privat Mbarga,Bali United FC,Sayap Kanan,"1,68m",7 Jan 1992 (33),kanan,"Rp5,21Mlyr.",10,https://www.transfermarkt.co.id/privat-mbarga/profil/spieler/292088
Irfan Jaya,Bali United FC,Sayap Kanan,"1,62m",1 Mei 1996 (29),kanan,"Rp2,61Mlyr.",41,https://www.transfermarkt.co.id/irfan-jaya/profil/spieler/561250
Rahmat Arjuna,Bali United FC,Sayap Kanan,"1,64m",30 Apr 2004 (21),kanan,"Rp1,30Mlyr.",47,https://www.transfermarkt.co.id/rahmat-arjuna/profil/spieler/1110179
Kadek Lanang,Bali United FC,Sayap Kanan,"1,75m",23 Nov 2002 (22),kanan,"Rp434,54Jt.",76,https://www.transfermarkt.co.id/kadek-lanang/profil/spieler/1288571
Nyoman Adi,Bali United FC,Sayap Kanan,"1,65m",7 Jul 2003 (21),kanan,"Rp0Jt.",72,https://www.transfermarkt.co.id/nyoman-adi/profil/spieler/1156202
Nathan Ari,Bali United FC,Sayap Kanan,"1,70m",3 Agt 2006 (18),kanan,"Rp0Jt.",15,https://www.transfermarkt.co.id/nathan-ari/profil/spieler/1288298
Dillan Rinaldi,Bali United FC,Sayap Kanan,"1,75m",1 Jun 2005 (19),kiri,"Rp0Jt.",23,https://www.transfermarkt.co.id/dillan-rinaldi/profil/spieler/1245483
Boris Kopitovic,Bali United FC,Depan-Tengah,"1,89m",27 Apr 1995 (30),keduanya,"Rp5,21Mlyr.",9,https://www.transfermarkt.co.id/boris-kopitovic/profil/spieler/387109
Everton,Bali United FC,Depan-Tengah,"1,86m",3 Jul 1993 (31),kanan,"Rp3,48Mlyr.",99,https://www.transfermarkt.co.id/everton/profil/spieler/430121
Taufik Hidayat,Bali United FC,Depan-Tengah,"1,79m",16 Des 1999 (25),kanan,"Rp869,08Jt.",17,https://www.transfermarkt.co.id/taufik-hidayat/profil/spieler/731870
