Nama,Klub,Posisi,Tinggi,Tanggal Lahir,Kaki Dominan,Nilai Pasar,Nomor Punggung,Link
Nadeo Argawinata,Borneo FC Samarinda,Kiper,"1,89m",9 Mar 1997 (28),kanan,"Rp5,65Mlyr.",25,https://www.transfermarkt.co.id/nadeo-argawinata/profil/spieler/506141
Daffa Fasya,Borneo FC Samarinda,Kiper,"1,85m",7 Mei 2004 (21),kanan,"Rp1,30Mlyr.",63,https://www.transfermarkt.co.id/daffa-fasya/profil/spieler/1023954
Yogi Hermawan,Borneo FC Samarinda,Kiper,"1,85m",16 Jan 2003 (22),kanan,"Rp434,54Jt.",81,https://www.transfermarkt.co.id/yogi-hermawan/profil/spieler/874885
Ronaldo Rodrigues,Borneo FC Samarinda,Bek-Tengah,"1,84m",12 Jan 1998 (27),kanan,"Rp2,61Mlyr.",2,https://www.transfermarkt.co.id/ronaldo-rodrigues/profil/spieler/323938
Gabriel Furtado,Borneo FC Samarinda,Bek-Tengah,"1,85m",9 Des 1999 (25),kanan,"Rp2,17Mlyr.",5,https://www.transfermarkt.co.id/gabriel-furtado/profil/spieler/520626
Leo Guntara,Borneo FC Samarinda,Bek-Kiri,"1,71m",17 Agt 1994 (30),kiri,"Rp3,91Mlyr.",15,https://www.transfermarkt.co.id/leo-guntara/profil/spieler/662817
Fajar Fathurrahman,Borneo FC Samarinda,Bek-Kanan,"1,70m",29 Mei 2002 (22),kanan,"Rp5,21Mlyr.",56,https://www.transfermarkt.co.id/fajar-fathurrahman/profil/spieler/817895
Gavin Kwan,Borneo FC Samarinda,Bek-Kanan,"1,81m",5 Apr 1996 (29),kanan,"Rp1,74Mlyr.",11,https://www.transfermarkt.co.id/gavin-kwan/profil/spieler/505753
Diego Michiels,Borneo FC Samarinda,Bek-Kanan,"1,80m",8 Agt 1990 (34),kanan,"Rp1,74Mlyr.",24,https://www.transfermarkt.co.id/diego-michiels/profil/spieler/112583
Rizdjar Nurviat,Borneo FC Samarinda,Bek-Kanan,"1,79m",2 Jan 2006 (19),kanan,"Rp869,08Jt.",26,https://www.transfermarkt.co.id/rizdjar-nurviat/profil/spieler/1032156
Alfharezzi Buffon,Borneo FC Samarinda,Bek-Kanan,"1,72m",28 Apr 2006 (19),kanan,"Rp434,54Jt.",54,https://www.transfermarkt.co.id/alfharezzi-buffon/profil/spieler/1109089
Dika Kuswardani,Borneo FC Samarinda,Bek-Kanan,"1,75m",5 Mar 2003 (22),kanan,"Rp0Jt.",88,https://www.transfermarkt.co.id/dika-kuswardani/profil/spieler/889045
Christophe Nduwarugira,Borneo FC Samarinda,Gel. Bertahan,"1,86m",22 Jun 1994 (30),kiri,"Rp4,78Mlyr.",22,https://www.transfermarkt.co.id/christophe-nduwarugira/profil/spieler/340032
Komang Teguh,Borneo FC Samarinda,Gel. Bertahan,"1,76m",28 Apr 2002 (23),kanan,"Rp2,61Mlyr.",16,https://www.transfermarkt.co.id/komang-teguh/profil/spieler/817984
Rivaldo Pakpahan,Borneo FC Samarinda,Gel. Bertahan,"1,72m",20 Jan 2003 (22),kanan,"Rp1,74Mlyr.",50,https://www.transfermarkt.co.id/rivaldo-pakpahan/profil/spieler/1136359
Kei Hirose,Borneo FC Samarinda,Gel. Tengah,"1,72m",20 Nov 1995 (29),keduanya,"Rp6,08Mlyr.",8,https://www.transfermarkt.co.id/kei-hirose/profil/spieler/417972
Lucas Salinas,Borneo FC Samarinda,Gel. Serang,"1,70m",14 Okt 1995 (29),kiri,"Rp5,21Mlyr.",-,https://www.transfermarkt.co.id/lucas-salinas/profil/spieler/725881
Kenzo Nambu,Borneo FC Samarinda,Gel. Serang,"1,73m",22 Agt 1992 (32),kanan,"Rp4,35Mlyr.",33,https://www.transfermarkt.co.id/kenzo-nambu/profil/spieler/380177
Berguinho,Borneo FC Samarinda,Gel. Serang,"1,85m",18 Feb 1997 (28),kiri,"Rp3,91Mlyr.",97,https://www.transfermarkt.co.id/berguinho/profil/spieler/525617
Ikhsanul Zikrak,Borneo FC Samarinda,Gel. Serang,"1,75m",8 Nov 2002 (22),kiri,"Rp869,08Jt.",6,https://www.transfermarkt.co.id/ikhsanul-zikrak/profil/spieler/903324
Dwiky Hardiansyah,Borneo FC Samarinda,Gel. Serang,"1,69m",19 Apr 2004 (21),kanan,"Rp434,54Jt.",66,https://www.transfermarkt.co.id/dwiky-hardiansyah/profil/spieler/1284481
Stefano Lilipaly,Borneo FC Samarinda,Sayap Kiri,"1,75m",10 Jan 1990 (35),kanan,"Rp4,35Mlyr.",14,https://www.transfermarkt.co.id/stefano-lilipaly/profil/spieler/195271
Muhammad Sihran,Borneo FC Samarinda,Sayap Kiri,"1,58m",8 Mar 1999 (26),kiri,"Rp3,04Mlyr.",99,https://www.transfermarkt.co.id/muhammad-sihran/profil/spieler/517090
Ricky Cawor,Borneo FC Samarinda,Sayap Kiri,"1,65m",26 Jan 1998 (27),kanan,"Rp2,61Mlyr.",41,https://www.transfermarkt.co.id/ricky-cawor/profil/spieler/952266
Dandy Sonriza,Borneo FC Samarinda,Sayap Kiri,"1,75m",12 Nov 2002 (22),kiri,"Rp869,08Jt.",55,https://www.transfermarkt.co.id/dandy-sonriza/profil/spieler/1238513
Asgal Habib,Borneo FC Samarinda,Sayap Kiri,"1,65m",8 Jul 2004 (20),kiri,"Rp0Jt.",77,https://www.transfermarkt.co.id/asgal-habib/profil/spieler/1284482
Mariano Peralta,Borneo FC Samarinda,Sayap Kanan,"1,80m",20 Feb 1998 (27),kanan,"Rp6,08Mlyr.",23,https://www.transfermarkt.co.id/mariano-peralta/profil/spieler/748602
Terens Puhiri,Borneo FC Samarinda,Sayap Kanan,"1,57m",13 Okt 1996 (28),kanan,"Rp3,48Mlyr.",28,https://www.transfermarkt.co.id/terens-puhiri/profil/spieler/506154
Matheus Pato,Borneo FC Samarinda,Depan-Tengah,"1,85m",8 Jun 1995 (29),kanan,"Rp3,48Mlyr.",7,https://www.transfermarkt.co.id/matheus-pato/profil/spieler/314706
Andy Harjito,Borneo FC Samarinda,Depan-Tengah,"1,80m",27 Sep 2001 (23),kanan,"Rp869,08Jt.",30,https://www.transfermarkt.co.id/andy-harjito/profil/spieler/1022667
Habibi Jusuf,Borneo FC Samarinda,Depan-Tengah,"1,74m",5 Agt 1998 (26),kanan,"Rp869,08Jt.",68,https://www.transfermarkt.co.id/habibi-jusuf/profil/spieler/904288
