Nama,Klub,Posisi,Tinggi,Tanggal Lahir,Kaki Dominan,Nilai Pasar,Nomor Punggung,Link
Sonny Stevens,Dewa United FC,Kiper,"1,94m",22 Jun 1992 (32),kanan,"Rp6,08Mlyr.",92,https://www.transfermarkt.co.id/sonny-stevens/profil/spieler/160361
Muhammad Natshir,Dewa United FC,Kiper,"1,82m",13 Feb 1993 (32),kanan,"Rp1,74Mlyr.",1,https://www.transfermarkt.co.id/muhammad-natshir/profil/spieler/354932
Yofandani Pranata,Dewa United FC,Kiper,"1,82m",9 Apr 2001 (24),kanan,"Rp434,54Jt.",60,https://www.transfermarkt.co.id/yofandani-pranata/profil/spieler/746989
Dafa Setiawarman,Dewa United FC,Kiper,"1,83m",12 Feb 2008 (17),kanan,"Rp0Jt.",31,https://www.transfermarkt.co.id/dafa-setiawarman/profil/spieler/1275352
Ângelo Meneses,Dewa United FC,Bek-Tengah,"1,89m",3 Jul 1993 (31),kanan,"Rp4,78Mlyr.",24,https://www.transfermarkt.co.id/angelo-meneses/profil/spieler/284741
Risto Mitrevski,Dewa United FC,Bek-Tengah,"1,87m",5 Okt 1991 (33),keduanya,"Rp3,04Mlyr.",5,https://www.transfermarkt.co.id/risto-mitrevski/profil/spieler/136556
Brian Fatari,Dewa United FC,Bek-Tengah,"1,86m",20 Des 1999 (25),kanan,"Rp869,08Jt.",14,https://www.transfermarkt.co.id/brian-fatari/profil/spieler/928131
Reva Adi,Dewa United FC,Bek-Kiri,"1,72m",1 Sep 1996 (28),kiri,"Rp3,48Mlyr.",3,https://www.transfermarkt.co.id/reva-adi/profil/spieler/505763
Alta Ballah,Dewa United FC,Bek-Kiri,"1,75m",30 Des 2000 (24),kiri,"Rp3,48Mlyr.",37,https://www.transfermarkt.co.id/alta-ballah/profil/spieler/875237
Ady Setiawan,Dewa United FC,Bek-Kanan,"1,67m",10 Sep 1994 (30),kanan,"Rp2,17Mlyr.",23,https://www.transfermarkt.co.id/ady-setiawan/profil/spieler/574466
Ferian Rizki,Dewa United FC,Bek-Kanan,"1,72m",18 Jan 2003 (22),kanan,"Rp1,30Mlyr.",12,https://www.transfermarkt.co.id/ferian-rizki/profil/spieler/1296454
Theo Numberi,Dewa United FC,Gel. Bertahan,"1,64m",1 Sep 2001 (23),kanan,"Rp1,30Mlyr.",6,https://www.transfermarkt.co.id/theo-numberi/profil/spieler/742321
Asep Berlian,Dewa United FC,Gel. Bertahan,"1,78m",11 Jul 1990 (34),kanan,"Rp434,54Jt.",4,https://www.transfermarkt.co.id/asep-berlian/profil/spieler/506275
Jajá,Dewa United FC,Gel. Tengah,"1,78m",18 Mar 1995 (30),kiri,"Rp6,95Mlyr.",8,https://www.transfermarkt.co.id/jaja/profil/spieler/364883
Alexis Messidoro,Dewa United FC,Gel. Tengah,"1,71m",13 Mei 1997 (28),kanan,"Rp6,95Mlyr.",9,https://www.transfermarkt.co.id/alexis-messidoro/profil/spieler/417634
Ricky Kambuaya,Dewa United FC,Gel. Tengah,"1,74m",5 Mei 1996 (29),kanan,"Rp4,78Mlyr.",19,https://www.transfermarkt.co.id/ricky-kambuaya/profil/spieler/648128
Kafiatur Rizky,Dewa United FC,Gel. Tengah,"1,72m",17 Jul 2006 (18),kiri,"Rp434,54Jt.",16,https://www.transfermarkt.co.id/kafiatur-rizky/profil/spieler/1032767
Dani Saputra,Dewa United FC,Gel. Tengah,"1,70m",1 Sep 2006 (18),kanan,"Rp0Jt.",13,https://www.transfermarkt.co.id/dani-saputra/profil/spieler/1221262
Rangga Muslim,Dewa United FC,Gel. Serang,"1,66m",13 Mei 1994 (31),keduanya,"Rp1,74Mlyr.",15,https://www.transfermarkt.co.id/rangga-muslim/profil/spieler/644075
Arapenta Poerba,Dewa United FC,Gel. Serang,"1,75m",1 Nov 1998 (26),kanan,"Rp1,74Mlyr.",18,https://www.transfermarkt.co.id/arapenta-poerba/profil/spieler/653694
Taisei Marukawa,Dewa United FC,Sayap Kiri,"1,69m",30 Jan 1997 (28),kanan,"Rp5,21Mlyr.",11,https://www.transfermarkt.co.id/taisei-marukawa/profil/spieler/649447
Feby Eka,Dewa United FC,Sayap Kiri,"1,83m",12 Feb 1999 (26),keduanya,"Rp1,74Mlyr.",7,https://www.transfermarkt.co.id/feby-eka/profil/spieler/558957
Egy Maulana Vikri,Dewa United FC,Sayap Kanan,"1,70m",7 Jul 2000 (24),kiri,"Rp4,78Mlyr.",10,https://www.transfermarkt.co.id/egy-maulana-vikri/profil/spieler/548371
Ahmad Nufiandani,Dewa United FC,Sayap Kanan,"1,78m",20 Nov 1994 (30),kanan,"Rp2,17Mlyr.",17,https://www.transfermarkt.co.id/ahmad-nufiandani/profil/spieler/506128
Alfriyanto Nico,Dewa United FC,Sayap Kanan,"1,72m",3 Apr 2003 (22),kanan,"Rp1,74Mlyr.",56,https://www.transfermarkt.co.id/alfriyanto-nico/profil/spieler/824650
Alex,Dewa United FC,Depan-Tengah,"1,87m",8 Jul 1993 (31),kanan,"Rp4,78Mlyr.",39,https://www.transfermarkt.co.id/alex/profil/spieler/225024
Septian Bagaskara,Dewa United FC,Depan-Tengah,"1,83m",26 Sep 1997 (27),keduanya,"Rp3,04Mlyr.",20,https://www.transfermarkt.co.id/septian-bagaskara/profil/spieler/721914
