Nama,Klub,Posisi,Tinggi,Tanggal Lahir,Kaki Dominan,Nilai Pasar,Nomor Punggung,Link
Miswar Saputra,Madura United FC,Kiper,"1,83m",19 Apr 1996 (29),kanan,"Rp1,30Mlyr.",30,https://www.transfermarkt.co.id/miswar-saputra/profil/spieler/561249
Fawaid Ansory,Madura United FC,Kiper,"1,74m",13 Sep 1999 (25),kanan,"Rp434,54Jt.",1,https://www.transfermarkt.co.id/fawaid-ansory/profil/spieler/746983
Nuri Agus,Madura United FC,Kiper,"1,86m",6 Agt 2001 (23),kanan,"Rp434,54Jt.",61,https://www.transfermarkt.co.id/nuri-agus/profil/spieler/892891
Adhitya Harlan,Madura United FC,Kiper,"1,77m",17 Jun 1987 (37),kanan,"Rp173,82Jt.",26,https://www.transfermarkt.co.id/adhitya-harlan/profil/spieler/505745
Pedro Monteiro,Madura United FC,Bek-Tengah,"1,92m",30 Jan 1994 (31),kanan,"Rp3,04Mlyr.",3,https://www.transfermarkt.co.id/pedro-monteiro/profil/spieler/339559
Haudi Abdillah,Madura United FC,Bek-Tengah,"1,80m",20 Apr 1993 (32),kanan,"Rp1,74Mlyr.",35,https://www.transfermarkt.co.id/haudi-abdillah/profil/spieler/559289
Ahmad Rusadi,Madura United FC,Bek-Tengah,"1,80m",4 Apr 2003 (22),kanan,"Rp1,30Mlyr.",68,https://www.transfermarkt.co.id/ahmad-rusadi/profil/spieler/817985
Nurdiansyah,Madura United FC,Bek-Tengah,"1,76m",18 Des 1998 (26),kiri,"Rp869,08Jt.",44,https://www.transfermarkt.co.id/nurdiansyah/profil/spieler/692139
Taufik Hidayat,Madura United FC,Bek-Kiri,"1,67m",20 Mar 1993 (32),kanan,"Rp1,74Mlyr.",45,https://www.transfermarkt.co.id/taufik-hidayat/profil/spieler/558959
Koko Ari,Madura United FC,Bek-Kanan,"1,78m",9 Jan 2000 (25),kanan,"Rp3,48Mlyr.",33,https://www.transfermarkt.co.id/koko-ari/profil/spieler/729102
Ibrahim Sanjaya,Madura United FC,Bek-Kanan,"1,78m",26 Agt 1997 (27),kanan,"Rp1,74Mlyr.",22,https://www.transfermarkt.co.id/ibrahim-sanjaya/profil/spieler/554275
Kartika Vedhayanto,Madura United FC,Bek-Kanan,"1,70m",25 Jan 2002 (23),kanan,"Rp869,08Jt.",28,https://www.transfermarkt.co.id/kartika-vedhayanto/profil/spieler/746955
Kerim Palic,Madura United FC,Gel. Bertahan,"1,88m",24 Jan 1997 (28),kanan,"Rp2,61Mlyr.",5,https://www.transfermarkt.co.id/kerim-palic/profil/spieler/399917
Ilhamsyah,Madura United FC,Gel. Bertahan,"1,69m",2 Jul 1999 (25),kanan,"Rp1,74Mlyr.",36,https://www.transfermarkt.co.id/ilhamsyah/profil/spieler/721770
Kemaluddin,Madura United FC,Gel. Bertahan,"1,67m",28 Apr 1999 (26),keduanya,"Rp869,08Jt.",18,https://www.transfermarkt.co.id/kemaluddin/profil/spieler/734645
Feby Ramzy,Madura United FC,Gel. Bertahan,"1,67m",4 Feb 2002 (23),kanan,"Rp869,08Jt.",42,https://www.transfermarkt.co.id/feby-ramzy/profil/spieler/973640
Jordy Wehrmann,Madura United FC,Gel. Tengah,"1,80m",25 Mar 1999 (26),kanan,"Rp4,78Mlyr.",4,https://www.transfermarkt.co.id/jordy-wehrmann/profil/spieler/339339
Iran Júnior,Madura United FC,Gel. Serang,"1,76m",10 Okt 1995 (29),kiri,"Rp2,17Mlyr.",10,https://www.transfermarkt.co.id/iran-junior/profil/spieler/801212
Taufany Muslihuddin,Madura United FC,Gel. Serang,"1,70m",24 Mar 2002 (23),kanan,"Rp869,08Jt.",24,https://www.transfermarkt.co.id/taufany-muslihuddin/profil/spieler/902654
Brayan Angulo,Madura United FC,Gel. Serang,"1,70m",19 Jul 1993 (31),kanan,"Rp0Jt.",70,https://www.transfermarkt.co.id/brayan-angulo/profil/spieler/312835
Lulinha,Madura United FC,Sayap Kiri,"1,70m",10 Apr 1990 (35),kanan,"Rp3,04Mlyr.",11,https://www.transfermarkt.co.id/lulinha/profil/spieler/52836
Riski Afrisal,Madura United FC,Sayap Kiri,"1,69m",25 Apr 2006 (19),kanan,"Rp869,08Jt.",25,https://www.transfermarkt.co.id/riski-afrisal/profil/spieler/1032769
Andi Irfan,Madura United FC,Sayap Kanan,"1,61m",25 Mei 2001 (24),kanan,"Rp2,61Mlyr.",17,https://www.transfermarkt.co.id/andi-irfan/profil/spieler/817932
Febrian Triyanto,Madura United FC,Sayap Kanan,"1,70m",11 Feb 2004 (21),kanan,"Rp434,54Jt.",41,https://www.transfermarkt.co.id/febrian-triyanto/profil/spieler/1278469
Youssef Ezzejjari,Madura United FC,Depan-Tengah,"1,85m",10 Mei 1993 (32),kanan,"Rp4,78Mlyr.",99,https://www.transfermarkt.co.id/youssef-ezzejjari/profil/spieler/818984
Miljan Skrbic,Madura United FC,Depan-Tengah,"1,92m",18 Sep 1995 (29),kanan,"Rp2,17Mlyr.",95,https://www.transfermarkt.co.id/miljan-skrbic/profil/spieler/260468
Hanis Saghara,Madura United FC,Depan-Tengah,"1,73m",8 Sep 1999 (25),kanan,"Rp1,74Mlyr.",19,https://www.transfermarkt.co.id/hanis-saghara/profil/spieler/558956
Sandi Samosir,Madura United FC,Depan-Tengah,"1,80m",8 Jan 2002 (23),kiri,"Rp869,08Jt.",77,https://www.transfermarkt.co.id/sandi-samosir/profil/spieler/817933
Arsa Ahmad,Madura United FC,Depan-Tengah,"1,80m",31 Okt 2003 (21),kanan,"Rp869,08Jt.",91,https://www.transfermarkt.co.id/arsa-ahmad/profil/spieler/989225
Yuda Editya Pratama,Madura United FC,Depan-Tengah,"1,81m",31 Mei 2004 (20),kanan,"Rp434,54Jt.",31,https://www.transfermarkt.co.id/yuda-editya-pratama/profil/spieler/972297
Make Aldo Maulidino,Madura United FC,Depan-Tengah,"1,68m",22 Jul 1998 (26),kanan,"Rp434,54Jt.",69,https://www.transfermarkt.co.id/make-aldo-maulidino/profil/spieler/866577
