Nama,Klub,Posisi,Tinggi,Tanggal Lahir,Kaki Dominan,Nilai Pasar,Nomor Punggung,Link
Dida,Malut United FC,Kiper,"1,88m",28 Apr 1998 (27),kanan,"Rp3,04Mlyr.",28,https://www.transfermarkt.co.id/dida/profil/spieler/1054542
Fahri,Malut United FC,Kiper,"1,85m",18 Agt 2000 (24),kanan,"Rp1,74Mlyr.",71,https://www.transfermarkt.co.id/fahri/profil/spieler/892885
Ray Redondo,Malut United FC,Kiper,"1,82m",19 Mar 1996 (29),kanan,"Rp1,74Mlyr.",96,https://www.transfermarkt.co.id/ray-redondo/profil/spieler/918664
Muhammad Ridwan,Malut United FC,Kiper,"1,79m",26 Mar 1991 (34),kanan,"Rp1,30Mlyr.",1,https://www.transfermarkt.co.id/muhammad-ridwan/profil/spieler/505785
Rifky Tofani,Malut United FC,Kiper,"1,78m",22 Feb 2006 (19),kanan,"Rp173,82Jt.",31,https://www.transfermarkt.co.id/rifky-tofani/profil/spieler/1177313
Wahyu Prasetyo,Malut United FC,Bek-Tengah,"1,80m",21 Mar 1998 (27),kanan,"Rp4,35Mlyr.",18,https://www.transfermarkt.co.id/wahyu-prasetyo/profil/spieler/719822
Chechu Meneses,Malut United FC,Bek-Tengah,"1,88m",4 Jan 1995 (30),kiri,"Rp3,48Mlyr.",55,https://www.transfermarkt.co.id/chechu-meneses/profil/spieler/521063
Safrudin Tahar,Malut United FC,Bek-Tengah,"1,72m",13 Des 1993 (31),kanan,"Rp3,04Mlyr.",27,https://www.transfermarkt.co.id/safrudin-tahar/profil/spieler/559286
Rio Saputro,Malut United FC,Bek-Tengah,"1,84m",7 Des 1995 (29),kiri,"Rp1,30Mlyr.",4,https://www.transfermarkt.co.id/rio-saputro/profil/spieler/559283
Yance Sayuri,Malut United FC,Bek-Kiri,"1,65m",22 Sep 1997 (27),kiri,"Rp4,78Mlyr.",23,https://www.transfermarkt.co.id/yance-sayuri/profil/spieler/875177
Saddam Tenang,Malut United FC,Bek-Kiri,"1,69m",2 Feb 1994 (31),kiri,"Rp869,08Jt.",5,https://www.transfermarkt.co.id/saddam-tenang/profil/spieler/719104
Irsan Lestaluhu,Malut United FC,Bek-Kiri,"1,70m",4 Agt 1999 (25),kiri,"Rp869,08Jt.",25,https://www.transfermarkt.co.id/irsan-lestaluhu/profil/spieler/560052
Firman Ramadhan,Malut United FC,Bek-Kiri,"1,72m",7 Nov 2003 (21),kiri,"Rp0Jt.",37,https://www.transfermarkt.co.id/firman-ramadhan/profil/spieler/990603
Fredyan Wahyu,Malut United FC,Bek-Kanan,"1,66m",11 Apr 1998 (27),kanan,"Rp2,61Mlyr.",46,https://www.transfermarkt.co.id/fredyan-wahyu/profil/spieler/561223
Bagus Nirwanto,Malut United FC,Bek-Kanan,"1,65m",23 Mar 1993 (32),kanan,"Rp1,74Mlyr.",3,https://www.transfermarkt.co.id/bagus-nirwanto/profil/spieler/644063
Manahati Lestusen,Malut United FC,Gel. Bertahan,"1,68m",17 Des 1993 (31),kanan,"Rp3,04Mlyr.",69,https://www.transfermarkt.co.id/manahati-lestusen/profil/spieler/264765
Wbeymar Angulo,Malut United FC,Gel. Bertahan,"1,81m",6 Mar 1992 (33),kanan,"Rp2,61Mlyr.",16,https://www.transfermarkt.co.id/wbeymar-angulo/profil/spieler/186158
Alwi Slamat,Malut United FC,Gel. Bertahan,"1,68m",16 Des 1998 (26),kiri,"Rp2,61Mlyr.",88,https://www.transfermarkt.co.id/alwi-slamat/profil/spieler/506126
Ahmad Baasith,Malut United FC,Gel. Bertahan,"1,78m",15 Jun 1996 (28),kanan,"Rp1,74Mlyr.",6,https://www.transfermarkt.co.id/ahmad-baasith/profil/spieler/506021
Riki Togubu,Malut United FC,Gel. Bertahan,"1,70m",1 Agt 1997 (27),kanan,"Rp869,08Jt.",14,https://www.transfermarkt.co.id/riki-togubu/profil/spieler/1146101
Darel Valentino,Malut United FC,Gel. Tengah,"1,78m",6 Mei 2005 (20),kiri,"Rp434,54Jt.",33,https://www.transfermarkt.co.id/darel-valentino/profil/spieler/1261871
Jonathan Bustos,Malut United FC,Gel. Serang,"1,74m",29 Jun 1994 (30),kiri,"Rp6,08Mlyr.",30,https://www.transfermarkt.co.id/jonathan-bustos/profil/spieler/587776
Sony Nordé,Malut United FC,Gel. Serang,"1,70m",27 Jul 1989 (35),kanan,"Rp2,17Mlyr.",45,https://www.transfermarkt.co.id/sony-norde/profil/spieler/86634
Ahmad Wadil,Malut United FC,Gel. Serang,"1,77m",9 Jul 2003 (21),kiri,"Rp0Jt.",97,https://www.transfermarkt.co.id/ahmad-wadil/profil/spieler/1329000
Adriano Castanheira,Malut United FC,Sayap Kiri,"1,78m",7 Apr 1993 (32),kiri,"Rp3,04Mlyr.",7,https://www.transfermarkt.co.id/adriano-castanheira/profil/spieler/243779
Frets Butuan,Malut United FC,Sayap Kiri,"1,67m",4 Jun 1996 (28),kanan,"Rp2,61Mlyr.",21,https://www.transfermarkt.co.id/frets-butuan/profil/spieler/561225
Rifal Lastori,Malut United FC,Sayap Kiri,"1,60m",9 Jun 1997 (27),keduanya,"Rp1,74Mlyr.",11,https://www.transfermarkt.co.id/rifal-lastori/profil/spieler/506155
Ilham Armaiyn,Malut United FC,Sayap Kiri,"1,65m",10 Mei 1996 (29),kiri,"Rp1,30Mlyr.",10,https://www.transfermarkt.co.id/ilham-armaiyn/profil/spieler/506338
Hari Nur,Malut United FC,Sayap Kiri,"1,78m",31 Jul 1989 (35),keduanya,"Rp869,08Jt.",22,https://www.transfermarkt.co.id/hari-nur/profil/spieler/559315
Rafly Selang,Malut United FC,Sayap Kiri,"1,67m",8 Apr 2005 (20),keduanya,"Rp434,54Jt.",20,https://www.transfermarkt.co.id/rafly-selang/profil/spieler/1179498
Yakob Sayuri,Malut United FC,Sayap Kanan,"1,71m",22 Sep 1997 (27),kanan,"Rp5,21Mlyr.",12,https://www.transfermarkt.co.id/yakob-sayuri/profil/spieler/663274
Junior Brandão,Malut United FC,Depan-Tengah,"1,87m",7 Jan 1995 (30),kanan,"Rp4,35Mlyr.",49,https://www.transfermarkt.co.id/junior-brandao/profil/spieler/592351
Diego Martínez,Malut United FC,Depan-Tengah,"1,84m",17 Okt 1995 (29),keduanya,"Rp3,48Mlyr.",9,https://www.transfermarkt.co.id/diego-martinez/profil/spieler/661464
Aaron Yekti,Malut United FC,Depan-Tengah,"1,79m",17 Jun 2005 (19),kanan,"Rp173,82Jt.",24,https://www.transfermarkt.co.id/aaron-yekti/profil/spieler/1182517
