Nama,Klub,Posisi,Tinggi,Tanggal Lahir,Kaki Dominan,Nilai Pasar,Nomor Punggung,Link
Kevin Ray Mendoza,PERSIB Bandung,Kiper,"1,87m",29 Sep 1994 (30),kanan,"Rp4,78Mlyr.",1,https://www.transfermarkt.co.id/kevin-ray-mendoza/profil/spieler/182367
Teja Paku Alam,PERSIB Bandung,Kiper,"1,77m",14 Mar 1994 (31),kanan,"Rp3,48Mlyr.",14,https://www.transfermarkt.co.id/teja-paku-alam/profil/spieler/474524
Sheva Sanggasi,PERSIB Bandung,Kiper,"1,82m",1 Mei 2004 (21),kanan,"Rp434,54Jt.",99,https://www.transfermarkt.co.id/sheva-sanggasi/profil/spieler/1156314
Fitrah Maulana,PERSIB Bandung,Kiper,"1,82m",24 Mei 2006 (19),kanan,"Rp0Jt.",50,https://www.transfermarkt.co.id/fitrah-maulana/profil/spieler/1221253
Nick Kuipers,PERSIB Bandung,Bek-Tengah,"1,93m",8 Okt 1992 (32),kanan,"Rp5,65Mlyr.",2,https://www.transfermarkt.co.id/nick-kuipers/profil/spieler/159032
Gustavo França,PERSIB Bandung,Bek-Tengah,"1,88m",20 Jul 1996 (28),kanan,"Rp3,04Mlyr.",4,https://www.transfermarkt.co.id/gustavo-franca/profil/spieler/919745
Kakang Rudianto,PERSIB Bandung,Bek-Tengah,"1,85m",2 Feb 2003 (22),kanan,"Rp2,61Mlyr.",5,https://www.transfermarkt.co.id/kakang-rudianto/profil/spieler/817899
Achmad Jufriyanto,PERSIB Bandung,Bek-Tengah,"1,82m",7 Feb 1987 (38),kanan,"Rp173,82Jt.",16,https://www.transfermarkt.co.id/achmad-jufriyanto/profil/spieler/64556
Victor Igbonefo,PERSIB Bandung,Bek-Tengah,"1,83m",10 Okt 1985 (39),kanan,"Rp173,82Jt.",32,https://www.transfermarkt.co.id/victor-igbonefo/profil/spieler/148073
Edo Febriansyah,PERSIB Bandung,Bek-Kiri,"1,73m",25 Jul 1997 (27),kiri,"Rp4,78Mlyr.",97,https://www.transfermarkt.co.id/edo-febriansyah/profil/spieler/721908
Rezaldi Hehanussa,PERSIB Bandung,Bek-Kiri,"1,78m",7 Nov 1995 (29),kiri,"Rp3,04Mlyr.",56,https://www.transfermarkt.co.id/rezaldi-hehanussa/profil/spieler/506162
Zalnando,PERSIB Bandung,Bek-Kiri,"1,76m",25 Des 1996 (28),kiri,"Rp1,30Mlyr.",27,https://www.transfermarkt.co.id/zalnando/profil/spieler/506570
Henhen Herdiana,PERSIB Bandung,Bek-Kanan,"1,69m",10 Sep 1995 (29),kanan,"Rp2,61Mlyr.",12,https://www.transfermarkt.co.id/henhen-herdiana/profil/spieler/506017
Zulkifli Lukmansyah,PERSIB Bandung,Bek-Kanan,"1,66m",8 Sep 2006 (18),kanan,"Rp0Jt.",73,https://www.transfermarkt.co.id/zulkifli-lukmansyah/profil/spieler/1032393
Rachmat Irianto,PERSIB Bandung,Gel. Bertahan,"1,75m",3 Sep 1999 (25),kanan,"Rp4,78Mlyr.",53,https://www.transfermarkt.co.id/rachmat-irianto/profil/spieler/559358
Mateo Kocijan,PERSIB Bandung,Gel. Bertahan,"1,89m",27 Mar 1995 (30),kanan,"Rp3,04Mlyr.",17,https://www.transfermarkt.co.id/mateo-kocijan/profil/spieler/319126
Dedi Kusnandar,PERSIB Bandung,Gel. Bertahan,"1,75m",23 Jul 1991 (33),kanan,"Rp2,61Mlyr.",11,https://www.transfermarkt.co.id/dedi-kusnandar/profil/spieler/354939
Robi Darwis,PERSIB Bandung,Gel. Bertahan,"1,70m",2 Agt 2003 (21),kanan,"Rp2,17Mlyr.",6,https://www.transfermarkt.co.id/robi-darwis/profil/spieler/989215
Ahmad Agung,PERSIB Bandung,Gel. Bertahan,"1,80m",9 Mar 1996 (29),kanan,"Rp1,30Mlyr.",88,https://www.transfermarkt.co.id/ahmad-agung/profil/spieler/558958
Marc Klok,PERSIB Bandung,Gel. Tengah,"1,77m",20 Apr 1993 (32),kanan,"Rp6,95Mlyr.",23,https://www.transfermarkt.co.id/marc-klok/profil/spieler/272708
Adam Alis,PERSIB Bandung,Gel. Tengah,"1,72m",19 Des 1993 (31),kanan,"Rp4,35Mlyr.",18,https://www.transfermarkt.co.id/adam-alis/profil/spieler/505890
Tyronne,PERSIB Bandung,Gel. Serang,"1,80m",27 Jan 1991 (34),kiri,"Rp2,17Mlyr.",10,https://www.transfermarkt.co.id/tyronne/profil/spieler/172127
Adzikry Fadlillah,PERSIB Bandung,Gel. Serang,"1,65m",26 Feb 2003 (22),kanan,"Rp434,54Jt.",71,https://www.transfermarkt.co.id/adzikry-fadlillah/profil/spieler/982628
Mailson Lima,PERSIB Bandung,Sayap Kiri,"1,78m",29 Mei 1994 (30),kanan,"Rp3,91Mlyr.",94,https://www.transfermarkt.co.id/mailson-lima/profil/spieler/283151
Beckham Putra,PERSIB Bandung,Sayap Kanan,"1,73m",29 Okt 2001 (23),kanan,"Rp4,78Mlyr.",7,https://www.transfermarkt.co.id/beckham-putra/profil/spieler/662777
Ciro Alves,PERSIB Bandung,Sayap Kanan,"1,75m",18 Apr 1989 (36),kanan,"Rp4,35Mlyr.",77,https://www.transfermarkt.co.id/ciro-alves/profil/spieler/81458
Ryan Kurnia,PERSIB Bandung,Sayap Kanan,"1,80m",28 Jun 1996 (28),kanan,"Rp3,04Mlyr.",96,https://www.transfermarkt.co.id/ryan-kurnia/profil/spieler/663675
Febri Hariyadi,PERSIB Bandung,Sayap Kanan,"1,68m",19 Feb 1996 (29),keduanya,"Rp2,17Mlyr.",13,https://www.transfermarkt.co.id/febri-hariyadi/profil/spieler/506019
Ferdiansyah,PERSIB Bandung,Sayap Kanan,"1,72m",15 Jul 2003 (21),kanan,"Rp869,08Jt.",37,https://www.transfermarkt.co.id/ferdiansyah/profil/spieler/933097
Dimas Drajad,PERSIB Bandung,Depan-Tengah,"1,78m",30 Mar 1997 (28),kanan,"Rp3,91Mlyr.",9,https://www.transfermarkt.co.id/dimas-drajad/profil/spieler/575532
Gervane Kastaneer,PERSIB Bandung,Depan-Tengah,"1,89m",9 Jun 1996 (28),kanan,"Rp3,48Mlyr.",8,https://www.transfermarkt.co.id/gervane-kastaneer/profil/spieler/240752
David da Silva,PERSIB Bandung,Depan-Tengah,"1,85m",12 Nov 1989 (35),kanan,"Rp3,04Mlyr.",19,https://www.transfermarkt.co.id/david-da-silva/profil/spieler/190933
