Nama,Klub,Posisi,Tinggi,Tanggal Lahir,Kaki Dominan,Nilai Pasar,Nomor Punggung,Link
Muhamad Riyandi,PERSIS Solo,Kiper,"1,86m",3 Jan 2000 (25),kanan,"Rp3,48Mlyr.",1,https://www.transfermarkt.co.id/muhamad-riyandi/profil/spieler/501148
Gianluca Pandeynuwu,PERSIS Solo,Kiper,"1,85m",9 Nov 1997 (27),kanan,"Rp2,61Mlyr.",31,https://www.transfermarkt.co.id/gianluca-pandeynuwu/profil/spieler/601654
Pancar,PERSIS Solo,Kiper,"1,72m",5 Apr 2000 (25),kanan,"Rp1,74Mlyr.",51,https://www.transfermarkt.co.id/pancar/profil/spieler/939538
Gede Aditya,PERSIS Solo,Kiper,"1,82m",4 Jul 2004 (20),kanan,"Rp173,82Jt.",47,https://www.transfermarkt.co.id/gede-aditya/profil/spieler/990616
Cleylton,PERSIS Solo,Bek-Tengah,"1,90m",19 Mar 1993 (32),kanan,"Rp3,48Mlyr.",70,https://www.transfermarkt.co.id/cleylton/profil/spieler/523606
Mochammad Zaenuri,PERSIS Solo,Bek-Tengah,"1,82m",10 Jun 1995 (29),kanan,"Rp2,17Mlyr.",2,https://www.transfermarkt.co.id/mochammad-zaenuri/profil/spieler/506344
Eduardo Kunde,PERSIS Solo,Bek-Tengah,"1,87m",17 Sep 1997 (27),kanan,"Rp1,74Mlyr.",3,https://www.transfermarkt.co.id/eduardo-kunde/profil/spieler/606281
Ricardo Lima,PERSIS Solo,Bek-Tengah,"1,89m",20 Feb 1994 (31),kiri,"Rp1,74Mlyr.",44,https://www.transfermarkt.co.id/ricardo-lima/profil/spieler/458602
Rian Miziar,PERSIS Solo,Bek-Tengah,"1,78m",13 Okt 1990 (34),kanan,"Rp869,08Jt.",26,https://www.transfermarkt.co.id/rian-miziar/profil/spieler/644067
Jordy Tutuarima,PERSIS Solo,Bek-Kiri,"1,71m",28 Apr 1993 (32),kiri,"Rp4,35Mlyr.",34,https://www.transfermarkt.co.id/jordy-tutuarima/profil/spieler/187299
Giovani Numberi,PERSIS Solo,Bek-Kiri,"1,62m",22 Apr 2000 (25),kanan,"Rp1,74Mlyr.",15,https://www.transfermarkt.co.id/giovani-numberi/profil/spieler/1032148
Rizky Dwi,PERSIS Solo,Bek-Kanan,"1,78m",22 Feb 1997 (28),kanan,"Rp3,04Mlyr.",16,https://www.transfermarkt.co.id/rizky-dwi/profil/spieler/506277
Eky Taufik,PERSIS Solo,Bek-Kanan,"1,76m",15 Feb 1991 (34),kanan,"Rp1,30Mlyr.",30,https://www.transfermarkt.co.id/eky-taufik/profil/spieler/506298
Gardhika Arya,PERSIS Solo,Bek-Kanan,"1,77m",8 Agt 2000 (24),kanan,"Rp869,08Jt.",29,https://www.transfermarkt.co.id/gardhika-arya/profil/spieler/985730
Sutanto Tan,PERSIS Solo,Gel. Bertahan,"1,79m",4 Mei 1994 (31),kanan,"Rp3,48Mlyr.",22,https://www.transfermarkt.co.id/sutanto-tan/profil/spieler/506165
Ripal Wahyudi,PERSIS Solo,Gel. Bertahan,"1,68m",10 Okt 2000 (24),kanan,"Rp2,17Mlyr.",63,https://www.transfermarkt.co.id/ripal-wahyudi/profil/spieler/1017341
Sho Yamamoto,PERSIS Solo,Gel. Tengah,"1,74m",12 Nov 1996 (28),kanan,"Rp4,35Mlyr.",14,https://www.transfermarkt.co.id/sho-yamamoto/profil/spieler/451889
Lautaro Belleggia,PERSIS Solo,Gel. Tengah,"1,76m",21 Mar 1997 (28),kanan,"Rp3,48Mlyr.",20,https://www.transfermarkt.co.id/lautaro-belleggia/profil/spieler/503328
Zanadin Fariz,PERSIS Solo,Gel. Tengah,"1,65m",31 Mei 2004 (20),kanan,"Rp1,30Mlyr.",78,https://www.transfermarkt.co.id/zanadin-fariz/profil/spieler/990601
Abdul Aziz,PERSIS Solo,Gel. Tengah,"1,72m",14 Feb 1994 (31),kanan,"Rp869,08Jt.",6,https://www.transfermarkt.co.id/abdul-aziz/profil/spieler/506145
Jhon Cley,PERSIS Solo,Gel. Serang,"1,83m",9 Mar 1994 (31),kanan,"Rp3,04Mlyr.",35,https://www.transfermarkt.co.id/jhon-cley/profil/spieler/236772
Braif Fatari,PERSIS Solo,Gel. Serang,"1,80m",9 Apr 2002 (23),kanan,"Rp1,30Mlyr.",28,https://www.transfermarkt.co.id/braif-fatari/profil/spieler/733278
Irfan Jauhari,PERSIS Solo,Sayap Kiri,"1,73m",31 Jan 2001 (24),kanan,"Rp3,04Mlyr.",7,https://www.transfermarkt.co.id/irfan-jauhari/profil/spieler/746977
Romadona,PERSIS Solo,Sayap Kiri,"1,79m",5 Mar 2003 (22),kanan,"Rp869,08Jt.",21,https://www.transfermarkt.co.id/romadona/profil/spieler/1041743
Fransiskus Alesandro,PERSIS Solo,Sayap Kiri,"1,79m",12 Jul 2002 (22),kanan,"Rp869,08Jt.",77,https://www.transfermarkt.co.id/fransiskus-alesandro/profil/spieler/1037458
Rendy Sanjaya,PERSIS Solo,Sayap Kiri,"1,69m",11 Apr 2004 (21),kanan,"Rp869,08Jt.",91,https://www.transfermarkt.co.id/rendy-sanjaya/profil/spieler/990599
Moussa Sidibé,PERSIS Solo,Sayap Kanan,"1,70m",21 Nov 1994 (30),kiri,"Rp5,21Mlyr.",25,https://www.transfermarkt.co.id/moussa-sidibe/profil/spieler/676922
Althaf Alrizky,PERSIS Solo,Sayap Kanan,"1,64m",6 Jan 2003 (22),kanan,"Rp2,17Mlyr.",36,https://www.transfermarkt.co.id/althaf-alrizky/profil/spieler/990600
Ramadhan Sananta,PERSIS Solo,Depan-Tengah,"1,82m",27 Nov 2002 (22),kanan,"Rp4,35Mlyr.",9,https://www.transfermarkt.co.id/ramadhan-sananta/profil/spieler/971960
Arkhan Kaka,PERSIS Solo,Depan-Tengah,"1,88m",2 Sep 2007 (17),kanan,"Rp1,30Mlyr.",8,https://www.transfermarkt.co.id/arkhan-kaka/profil/spieler/991806
