Nama,Klub,Posisi,Tinggi,Tanggal Lahir,Kaki Dominan,Nilai Pasar,Nomor Punggung,Link
Satria Tama,PS Barito Putera,Kiper,"1,83m",23 Jan 1997 (28),kanan,"Rp2,17Mlyr.",86,https://www.transfermarkt.co.id/satria-tama/profil/spieler/506498
Muhammad Ridho,PS Barito Putera,Kiper,"1,78m",21 Jan 1991 (34),kanan,"Rp1,30Mlyr.",19,https://www.transfermarkt.co.id/muhammad-ridho/profil/spieler/506140
Norhalid,PS Barito Putera,Kiper,"1,75m",14 Jun 1997 (27),kanan,"Rp869,08Jt.",1,https://www.transfermarkt.co.id/norhalid/profil/spieler/904314
Danda Rama,PS Barito Putera,Kiper,"1,81m",23 Feb 2007 (18),kanan,"Rp0Jt.",-,https://www.transfermarkt.co.id/danda-rama/profil/spieler/1152868
Wawan Hendrawan,PS Barito Putera,Kiper,"1,78m",8 Jan 1983 (42),kanan,"Rp0Jt.",59,https://www.transfermarkt.co.id/wawan-hendrawan/profil/spieler/506445
Gale Trisna,PS Barito Putera,Kiper,"1,70m",24 Mei 2004 (21),kanan,"Rp0Jt.",95,https://www.transfermarkt.co.id/gale-trisna/profil/spieler/1115706
Renan Alves,PS Barito Putera,Bek-Tengah,"1,91m",17 Des 1992 (32),kanan,"Rp3,48Mlyr.",36,https://www.transfermarkt.co.id/renan-alves/profil/spieler/388605
Anderson,PS Barito Putera,Bek-Tengah,"1,87m",4 Mar 1993 (32),kanan,"Rp3,04Mlyr.",4,https://www.transfermarkt.co.id/anderson/profil/spieler/691380
Muhamad Firly,PS Barito Putera,Bek-Tengah,"1,85m",16 Jul 1999 (25),kanan,"Rp1,74Mlyr.",85,https://www.transfermarkt.co.id/muhamad-firly/profil/spieler/746984
Yuswanto Aditya,PS Barito Putera,Bek-Tengah,"1,79m",10 Mei 2000 (25),kanan,"Rp869,08Jt.",3,https://www.transfermarkt.co.id/yuswanto-aditya/profil/spieler/735559
Iqbal Gwijangge,PS Barito Putera,Bek-Tengah,"1,77m",29 Agt 2006 (18),kanan,"Rp869,08Jt.",29,https://www.transfermarkt.co.id/iqbal-gwijangge/profil/spieler/1032764
Buyung Ismu,PS Barito Putera,Bek-Kiri,"1,70m",8 Mei 1999 (26),keduanya,"Rp1,74Mlyr.",28,https://www.transfermarkt.co.id/buyung-ismu/profil/spieler/929287
Chi-sung Moon,PS Barito Putera,Bek-Kiri,"1,70m",15 Mar 2000 (25),kiri,"Rp1,30Mlyr.",77,https://www.transfermarkt.co.id/chi-sung-moon/profil/spieler/979124
Alexandro Kamuru,PS Barito Putera,Bek-Kiri,"1,70m",19 Agt 2005 (19),kiri,"Rp434,54Jt.",16,https://www.transfermarkt.co.id/alexandro-kamuru/profil/spieler/874897
Novan Sasongko,PS Barito Putera,Bek-Kiri,"1,70m",26 Nov 1989 (35),kanan,"Rp434,54Jt.",22,https://www.transfermarkt.co.id/novan-sasongko/profil/spieler/252687
Bagas Kaffa,PS Barito Putera,Bek-Kanan,"1,74m",16 Jan 2002 (23),kanan,"Rp3,48Mlyr.",2,https://www.transfermarkt.co.id/bagas-kaffa/profil/spieler/735557
Nazar Nurzaidin,PS Barito Putera,Bek-Kanan,"1,72m",24 Mei 1995 (30),kanan,"Rp1,30Mlyr.",14,https://www.transfermarkt.co.id/nazar-nurzaidin/profil/spieler/505644
Ilham Mahendra,PS Barito Putera,Bek-Kanan,"1,74m",20 Sep 1996 (28),kanan,"Rp1,30Mlyr.",27,https://www.transfermarkt.co.id/ilham-mahendra/profil/spieler/720571
Tegar Infantrie,PS Barito Putera,Gel. Bertahan,"1,75m",8 Mei 1999 (26),kanan,"Rp1,30Mlyr.",6,https://www.transfermarkt.co.id/tegar-infantrie/profil/spieler/559308
Ferdiansyah,PS Barito Putera,Gel. Bertahan,"1,67m",24 Apr 2000 (25),kanan,"Rp869,08Jt.",17,https://www.transfermarkt.co.id/ferdiansyah/profil/spieler/680805
Aditiya Daffa,PS Barito Putera,Gel. Bertahan,"1,70m",11 Jan 2004 (21),kanan,"Rp869,08Jt.",24,https://www.transfermarkt.co.id/aditiya-daffa/profil/spieler/874904
Bayu Pradana,PS Barito Putera,Gel. Bertahan,"1,80m",19 Apr 1991 (34),kanan,"Rp0Jt.",13,https://www.transfermarkt.co.id/bayu-pradana/profil/spieler/473379
Morelatto,PS Barito Putera,Gel. Serang,"1,80m",25 Mei 1994 (31),kiri,"Rp5,21Mlyr.",8,https://www.transfermarkt.co.id/morelatto/profil/spieler/368638
Levy Madinda,PS Barito Putera,Gel. Serang,"1,82m",11 Jun 1992 (32),kanan,"Rp2,61Mlyr.",7,https://www.transfermarkt.co.id/levy-madinda/profil/spieler/21297
Reza Zuhro,PS Barito Putera,Gel. Serang,"1,74m",2 Jan 2004 (21),kanan,"Rp173,82Jt.",23,https://www.transfermarkt.co.id/reza-zuhro/profil/spieler/1075121
Murilo,PS Barito Putera,Sayap Kiri,"1,80m",8 Mar 1995 (30),kanan,"Rp4,78Mlyr.",31,https://www.transfermarkt.co.id/murilo/profil/spieler/293941
Matías Mier,PS Barito Putera,Sayap Kiri,"1,82m",2 Agt 1990 (34),kiri,"Rp3,04Mlyr.",5,https://www.transfermarkt.co.id/matias-mier/profil/spieler/76716
Rizky Pora,PS Barito Putera,Sayap Kiri,"1,71m",22 Nov 1989 (35),kiri,"Rp1,30Mlyr.",26,https://www.transfermarkt.co.id/rizky-pora/profil/spieler/473378
Bagus Kahfi,PS Barito Putera,Sayap Kanan,"1,69m",16 Jan 2002 (23),kanan,"Rp3,04Mlyr.",20,https://www.transfermarkt.co.id/bagus-kahfi/profil/spieler/723604
Natanael Siringoringo,PS Barito Putera,Sayap Kanan,"1,68m",18 Sep 1999 (25),kanan,"Rp1,74Mlyr.",18,https://www.transfermarkt.co.id/natanael-siringoringo/profil/spieler/724296
Abdul Aziz,PS Barito Putera,Sayap Kanan,"1,73m",17 Sep 2000 (24),kanan,"Rp434,54Jt.",66,https://www.transfermarkt.co.id/abdul-aziz/profil/spieler/1200703
Aimar Iskandar,PS Barito Putera,Sayap Kanan,"1,60m",4 Des 2003 (21),kanan,"Rp434,54Jt.",71,https://www.transfermarkt.co.id/aimar-iskandar/profil/spieler/1283482
Rahmat Beri,PS Barito Putera,Sayap Kanan,"1,73m",2 Feb 2004 (21),kanan,"Rp434,54Jt.",99,https://www.transfermarkt.co.id/rahmat-beri/profil/spieler/971961
Jaime Moreno,PS Barito Putera,Depan-Tengah,"1,83m",30 Mar 1995 (30),kanan,"Rp8,69Mlyr.",9,https://www.transfermarkt.co.id/jaime-moreno/profil/spieler/309923
Eksel Runtukahu,PS Barito Putera,Depan-Tengah,"1,75m",2 Sep 1998 (26),kanan,"Rp2,61Mlyr.",98,https://www.transfermarkt.co.id/eksel-runtukahu/profil/spieler/719487
Lassana Doucoure,PS Barito Putera,Depan-Tengah,"1,82m",30 Jul 2003 (21),kanan,"Rp0Jt.",25,https://www.transfermarkt.co.id/lassana-doucoure/profil/spieler/1294380
