Nama,Klub,Posisi,Tinggi,Tanggal Lahir,Kaki Dominan,Nilai Pasar,Nomor Punggung,Link
John Pigai,PSBS Biak,Kiper,"1,73m",27 Jun 1999 (25),kiri,"Rp1,74Mlyr.",31,https://www.transfermarkt.co.id/john-pigai/profil/spieler/1031710
Andika Wisnu,PSBS Biak,Kiper,"1,70m",18 Mar 1997 (28),kanan,"Rp434,54Jt.",35,https://www.transfermarkt.co.id/andika-wisnu/profil/spieler/952538
Pualam Bahari,PSBS Biak,Kiper,"1,83m",11 Mei 2002 (23),kanan,"Rp0Jt.",21,https://www.transfermarkt.co.id/pualam-bahari/profil/spieler/817897
Sukandar Kansai,PSBS Biak,Bek,"1,73m",11 Jun 2003 (21),kanan,"Rp0Jt.",5,https://www.transfermarkt.co.id/sukandar-kansai/profil/spieler/1352665
Sebastián Álvarez,PSBS Biak,Bek-Tengah,"1,90m",29 Agt 2001 (23),kanan,"Rp10,43Mlyr.",-,https://www.transfermarkt.co.id/sebastian-alvarez/profil/spieler/844297
Julián Velázquez,PSBS Biak,Bek-Tengah,"1,84m",23 Okt 1990 (34),kanan,"Rp3,04Mlyr.",2,https://www.transfermarkt.co.id/julian-velazquez/profil/spieler/124260
Yohanes Kandaimu,PSBS Biak,Bek-Tengah,"1,89m",12 Agt 1995 (29),kanan,"Rp869,08Jt.",50,https://www.transfermarkt.co.id/yohanes-kandaimu/profil/spieler/904297
Herwin Saputra,PSBS Biak,Bek-Tengah,"1,80m",10 Jan 1991 (34),kiri,"Rp434,54Jt.",20,https://www.transfermarkt.co.id/herwin-saputra/profil/spieler/506505
Fabiano Beltrame,PSBS Biak,Bek-Tengah,"1,84m",29 Agt 1982 (42),kanan,"Rp173,82Jt.",15,https://www.transfermarkt.co.id/fabiano-beltrame/profil/spieler/505647
Yohanis Hera,PSBS Biak,Bek-Tengah,"1,73m",16 Des 1996 (28),kanan,"Rp0Jt.",4,https://www.transfermarkt.co.id/yohanis-hera/profil/spieler/1180833
Frank Sokoy,PSBS Biak,Bek-Kiri,"1,70m",16 Jul 1997 (27),kiri,"Rp1,74Mlyr.",14,https://www.transfermarkt.co.id/frank-sokoy/profil/spieler/869207
Salman Alfarid,PSBS Biak,Bek-Kiri,"1,74m",16 Apr 2002 (23),kiri,"Rp869,08Jt.",16,https://www.transfermarkt.co.id/salman-alfarid/profil/spieler/818610
Marckho Merauje,PSBS Biak,Bek-Kanan,"1,78m",4 Des 1994 (30),kanan,"Rp3,04Mlyr.",26,https://www.transfermarkt.co.id/marckho-merauje/profil/spieler/506572
Arjuna Agung,PSBS Biak,Bek-Kanan,"1,75m",24 Jun 2003 (21),kanan,"Rp0Jt.",23,https://www.transfermarkt.co.id/arjuna-agung/profil/spieler/989219
Jonata Machado,PSBS Biak,Gel. Bertahan,"1,83m",6 Jul 1999 (25),kanan,"Rp6,08Mlyr.",8,https://www.transfermarkt.co.id/jonata-machado/profil/spieler/669933
Muhammad Tahir,PSBS Biak,Gel. Bertahan,"1,70m",4 Jan 1994 (31),kanan,"Rp2,17Mlyr.",32,https://www.transfermarkt.co.id/muhammad-tahir/profil/spieler/505913
Alfons Migau,PSBS Biak,Gel. Bertahan,"1,70m",2 Des 1998 (26),kanan,"Rp434,54Jt.",12,https://www.transfermarkt.co.id/alfons-migau/profil/spieler/958351
Nelson Alom,PSBS Biak,Gel. Bertahan,"1,75m",27 Okt 1991 (33),kanan,"Rp434,54Jt.",90,https://www.transfermarkt.co.id/nelson-alom/profil/spieler/505908
Takuya Matsunaga,PSBS Biak,Gel. Tengah,"1,74m",10 Jun 1990 (34),kanan,"Rp1,74Mlyr.",18,https://www.transfermarkt.co.id/takuya-matsunaga/profil/spieler/452779
Yano Putra,PSBS Biak,Gel. Tengah,"1,68m",26 Sep 2003 (21),kanan,"Rp434,54Jt.",27,https://www.transfermarkt.co.id/yano-putra/profil/spieler/1282899
Williams Lugo,PSBS Biak,Gel. Serang,"1,76m",16 Des 1996 (28),kiri,"Rp4,78Mlyr.",11,https://www.transfermarkt.co.id/williams-lugo/profil/spieler/637617
Febrianto Uopmabin,PSBS Biak,Gel. Serang,-,24 Feb 2002 (23),kiri,"Rp2,17Mlyr.",24,https://www.transfermarkt.co.id/febrianto-uopmabin/profil/spieler/1183024
Todd Ferre,PSBS Biak,Gel. Serang,"1,58m",15 Mar 1999 (26),kanan,"Rp1,74Mlyr.",46,https://www.transfermarkt.co.id/todd-ferre/profil/spieler/579078
Armando Oropa,PSBS Biak,Sayap Kiri,"1,78m",31 Agt 2003 (21),kiri,"Rp1,30Mlyr.",86,https://www.transfermarkt.co.id/armando-oropa/profil/spieler/1055519
Jeam Kelly Sroyer,PSBS Biak,Sayap Kanan,"1,69m",11 Des 2002 (22),kanan,"Rp2,61Mlyr.",39,https://www.transfermarkt.co.id/jeam-kelly-sroyer/profil/spieler/941721
