Nama,Klub,Posisi,Tinggi,Tanggal Lahir,Kaki Dominan,Nilai Pasar,Nomor Punggung,Link
Adi Satryo,PSIS Semarang,Kiper,"1,79m",7 Jul 2001 (23),kanan,"Rp3,91Mlyr.",30,https://www.transfermarkt.co.id/adi-satryo/profil/spieler/817926
Syahrul Trisna,PSIS Semarang,Kiper,"1,80m",26 Nov 1995 (29),kanan,"Rp3,04Mlyr.",26,https://www.transfermarkt.co.id/syahrul-trisna/profil/spieler/575535
Rizky Darmawan,PSIS Semarang,Kiper,"1,80m",5 Feb 1994 (31),kiri,"Rp1,30Mlyr.",52,https://www.transfermarkt.co.id/rizky-darmawan/profil/spieler/506157
João Ferrari,PSIS Semarang,Bek-Tengah,"1,90m",25 Jun 1997 (27),kanan,"Rp1,74Mlyr.",5,https://www.transfermarkt.co.id/joao-ferrari/profil/spieler/965150
Syiha Buddin,PSIS Semarang,Bek-Tengah,"1,75m",5 Apr 2001 (24),kanan,"Rp869,08Jt.",45,https://www.transfermarkt.co.id/syiha-buddin/profil/spieler/904559
Rahmat Syawal,PSIS Semarang,Bek-Tengah,"1,90m",5 Nov 2005 (19),kiri,"Rp0Jt.",31,https://www.transfermarkt.co.id/rahmat-syawal/profil/spieler/1228224
Faqih Maulana,PSIS Semarang,Bek-Kiri,"1,75m",11 Sep 2004 (20),kiri,"Rp2,61Mlyr.",96,https://www.transfermarkt.co.id/faqih-maulana/profil/spieler/990612
Haykal Alhafiz,PSIS Semarang,Bek-Kiri,"1,72m",24 Mar 2001 (24),kiri,"Rp1,74Mlyr.",3,https://www.transfermarkt.co.id/haykal-alhafiz/profil/spieler/1007607
Sandy Ferizal,PSIS Semarang,Bek-Kanan,"1,78m",17 Mei 1999 (26),kanan,"Rp869,08Jt.",25,https://www.transfermarkt.co.id/sandy-ferizal/profil/spieler/574467
Alfeandra Dewangga,PSIS Semarang,Gel. Bertahan,"1,79m",28 Jun 2001 (23),kiri,"Rp5,21Mlyr.",19,https://www.transfermarkt.co.id/alfeandra-dewangga/profil/spieler/737170
Boubakary Diarra,PSIS Semarang,Gel. Bertahan,"1,87m",30 Agt 1993 (31),kanan,"Rp5,21Mlyr.",21,https://www.transfermarkt.co.id/boubakary-diarra/profil/spieler/163556
Lucas Barreto,PSIS Semarang,Gel. Bertahan,"1,87m",18 Nov 1994 (30),kanan,"Rp1,74Mlyr.",6,https://www.transfermarkt.co.id/lucas-barreto/profil/spieler/627500
Tri Setiawan,PSIS Semarang,Gel. Bertahan,"1,78m",20 Mei 2004 (21),kanan,"Rp1,74Mlyr.",68,https://www.transfermarkt.co.id/tri-setiawan/profil/spieler/1056104
Ridho Syuhada,PSIS Semarang,Gel. Bertahan,"1,67m",18 Jun 2004 (20),kanan,"Rp869,08Jt.",56,https://www.transfermarkt.co.id/ridho-syuhada/profil/spieler/1023525
Delvin Rumbino,PSIS Semarang,Gel. Tengah,"1,75m",3 Jun 1995 (29),kanan,"Rp1,30Mlyr.",69,https://www.transfermarkt.co.id/delvin-rumbino/profil/spieler/576405
Azyah Madilesa,PSIS Semarang,Gel. Tengah,"1,69m",25 Nov 2005 (19),kanan,"Rp0Jt.",57,https://www.transfermarkt.co.id/azyah-madilesa/profil/spieler/1150645
Fariq Aqmal,PSIS Semarang,Gel. Tengah,"1,65m",1 Mei 2004 (21),kanan,"Rp0Jt.",47,https://www.transfermarkt.co.id/fariq-aqmal/profil/spieler/1240734
Zico Febrianatta,PSIS Semarang,Gel. Tengah,"1,73m",18 Feb 2002 (23),kanan,"Rp0Jt.",72,https://www.transfermarkt.co.id/zico-febrianatta/profil/spieler/1298031
Septian David,PSIS Semarang,Gel. Serang,"1,74m",2 Sep 1996 (28),keduanya,"Rp3,91Mlyr.",29,https://www.transfermarkt.co.id/septian-david/profil/spieler/506488
Paulo Gali,PSIS Semarang,Sayap Kiri,"1,65m",30 Des 2004 (20),kiri,"Rp3,91Mlyr.",7,https://www.transfermarkt.co.id/paulo-gali/profil/spieler/678002
Riyan Ardiansyah,PSIS Semarang,Sayap Kanan,"1,74m",14 Mei 1996 (29),kanan,"Rp2,17Mlyr.",14,https://www.transfermarkt.co.id/riyan-ardiansyah/profil/spieler/684999
Abdallah Sudi,PSIS Semarang,Depan-Tengah,"1,80m",5 Jan 2000 (25),kanan,"Rp2,17Mlyr.",11,https://www.transfermarkt.co.id/abdallah-sudi/profil/spieler/854526
Wildan Ramdhani,PSIS Semarang,Depan-Tengah,"1,70m",24 Des 1998 (26),kanan,"Rp1,74Mlyr.",24,https://www.transfermarkt.co.id/wildan-ramdhani/profil/spieler/594819
Aulia Rahman,PSIS Semarang,Depan-Tengah,"1,80m",20 Agt 2006 (18),kanan,"Rp434,54Jt.",12,https://www.transfermarkt.co.id/aulia-rahman/profil/spieler/1177312
Debby Liana,PSIS Semarang,Depan-Tengah,"1,70m",21 Des 2005 (19),kanan,"Rp0Jt.",18,https://www.transfermarkt.co.id/debby-liana/profil/spieler/1202147
Gustavo Souza,PSIS Semarang,Depan-Tengah,"1,85m",12 Jun 1996 (28),kiri,"Rp0Jt.",99,https://www.transfermarkt.co.id/gustavo-souza/profil/spieler/554463
Reiva Apriliansyah,PSIS Semarang,Depan-Tengah,"1,76m",10 Apr 2006 (19),kanan,"Rp0Jt.",16,https://www.transfermarkt.co.id/reiva-apriliansyah/profil/spieler/1345673
