Nama,Klub,Posisi,Tinggi,Tanggal Lahir,Kaki Dominan,Nilai Pasar,Nomor Punggung,Link
Hilmansyah,PSM Makassar,Kiper,"1,83m",25 Mei 1997 (28),kanan,"Rp3,48Mlyr.",97,https://www.transfermarkt.co.id/hilmansyah/profil/spieler/558962
Reza Arya,PSM Makassar,Kiper,"1,88m",18 Mei 2000 (25),kanan,"Rp2,61Mlyr.",30,https://www.transfermarkt.co.id/reza-arya/profil/spieler/742322
Ardiansyah,PSM Makassar,Kiper,"1,87m",28 Mar 2003 (22),kanan,"Rp869,08Jt.",1,https://www.transfermarkt.co.id/ardiansyah/profil/spieler/927770
Syamil Bahij,PSM Makassar,Kiper,"1,80m",26 Mei 2005 (20),kanan,"Rp173,82Jt.",77,https://www.transfermarkt.co.id/syamil-bahij/profil/spieler/1153772
Yuran Fernandes,PSM Makassar,Bek-Tengah,"1,98m",19 Okt 1994 (30),kiri,"Rp6,95Mlyr.",4,https://www.transfermarkt.co.id/yuran-fernandes/profil/spieler/655080
Aloísio Neto,PSM Makassar,Bek-Tengah,"1,88m",16 Agt 1997 (27),kiri,"Rp3,04Mlyr.",2,https://www.transfermarkt.co.id/aloisio-neto/profil/spieler/554040
Syahrul Lasinari,PSM Makassar,Bek-Tengah,"1,78m",24 Des 1999 (25),kanan,"Rp3,04Mlyr.",13,https://www.transfermarkt.co.id/syahrul-lasinari/profil/spieler/904281
Daffa Salman,PSM Makassar,Bek-Tengah,"1,80m",30 Apr 2002 (23),kanan,"Rp1,74Mlyr.",68,https://www.transfermarkt.co.id/daffa-salman/profil/spieler/1022831
Sulthan Zaky,PSM Makassar,Bek-Tengah,"1,84m",23 Mar 2006 (19),kanan,"Rp869,08Jt.",14,https://www.transfermarkt.co.id/sulthan-zaky/profil/spieler/1010076
Dimas Sukarno,PSM Makassar,Bek-Tengah,"1,75m",20 Jul 2000 (24),keduanya,"Rp869,08Jt.",27,https://www.transfermarkt.co.id/dimas-sukarno/profil/spieler/1007606
Victor Luiz,PSM Makassar,Bek-Kiri,"1,77m",5 Des 1997 (27),kiri,"Rp3,91Mlyr.",22,https://www.transfermarkt.co.id/victor-luiz/profil/spieler/445102
Mufli Hidayat,PSM Makassar,Bek-Kanan,"1,72m",7 Agt 2005 (19),kanan,"Rp434,54Jt.",71,https://www.transfermarkt.co.id/mufli-hidayat/profil/spieler/1009333
Akbar Tanjung,PSM Makassar,Gel. Bertahan,"1,86m",16 Mei 1993 (32),kanan,"Rp3,91Mlyr.",45,https://www.transfermarkt.co.id/akbar-tanjung/profil/spieler/674025
Muhammad Arfan,PSM Makassar,Gel. Bertahan,"1,70m",22 Jan 1998 (27),kanan,"Rp3,91Mlyr.",48,https://www.transfermarkt.co.id/muhammad-arfan/profil/spieler/505765
Ananda Raehan,PSM Makassar,Gel. Bertahan,"1,75m",17 Des 2003 (21),kanan,"Rp3,04Mlyr.",8,https://www.transfermarkt.co.id/ananda-raehan/profil/spieler/1023195
Adil Nur,PSM Makassar,Gel. Bertahan,"1,70m",10 Mei 2004 (21),kiri,"Rp869,08Jt.",41,https://www.transfermarkt.co.id/adil-nur/profil/spieler/1098849
Latyr Fall,PSM Makassar,Gel. Tengah,"1,82m",19 Jun 1994 (30),kanan,"Rp4,78Mlyr.",19,https://www.transfermarkt.co.id/latyr-fall/profil/spieler/292740
Rasyid Bakri,PSM Makassar,Gel. Tengah,"1,64m",17 Jan 1991 (34),kanan,"Rp1,30Mlyr.",17,https://www.transfermarkt.co.id/rasyid-bakri/profil/spieler/252711
Arham Darmawan,PSM Makassar,Sayap Kiri,"1,75m",20 Jun 2006 (18),kanan,"Rp0Jt.",28,https://www.transfermarkt.co.id/arham-darmawan/profil/spieler/1263366
Daisuke Sakai,PSM Makassar,Sayap Kanan,"1,67m",18 Jan 1997 (28),kanan,"Rp4,35Mlyr.",10,https://www.transfermarkt.co.id/daisuke-sakai/profil/spieler/275568
Rizky Eka Pratama,PSM Makassar,Sayap Kanan,"1,71m",24 Des 1999 (25),kanan,"Rp3,48Mlyr.",24,https://www.transfermarkt.co.id/rizky-eka-pratama/profil/spieler/697701
Dzaky Asraf,PSM Makassar,Sayap Kanan,"1,70m",6 Feb 2003 (22),kanan,"Rp3,04Mlyr.",11,https://www.transfermarkt.co.id/dzaky-asraf/profil/spieler/1010072
Victor Dethan,PSM Makassar,Sayap Kanan,"1,74m",11 Jul 2004 (20),kanan,"Rp2,61Mlyr.",7,https://www.transfermarkt.co.id/victor-dethan/profil/spieler/1010073
Abdul Rahman,PSM Makassar,Sayap Kanan,"1,73m",1 Agt 2002 (22),kanan,"Rp2,61Mlyr.",81,https://www.transfermarkt.co.id/abdul-rahman/profil/spieler/1147215
Karel Ridzald,PSM Makassar,Sayap Kanan,"1,65m",11 Sep 2003 (21),kanan,"Rp0Jt.",23,https://www.transfermarkt.co.id/karel-ridzald/profil/spieler/1353193
Rizal,PSM Makassar,Sayap Kanan,"1,65m",2 Jul 2001 (23),kanan,"Rp0Jt.",37,https://www.transfermarkt.co.id/rizal/profil/spieler/1277844
