Nama,Klub,Posisi,Tinggi,Tanggal Lahir,Kaki Dominan,Nilai Pasar,Nomor Punggung,Link
Alan,PSS Sleman,Kiper,"2,01m",22 Jun 1994 (30),kanan,"Rp2,61Mlyr.",12,https://www.transfermarkt.co.id/alan/profil/spieler/330066
Ega Rizky,PSS Sleman,Kiper,"1,76m",23 Agt 1992 (32),kanan,"Rp2,17Mlyr.",32,https://www.transfermarkt.co.id/ega-rizky/profil/spieler/644062
Safaat Romadhona,PSS Sleman,Kiper,"1,78m",18 Nov 2002 (22),kanan,"Rp434,54Jt.",31,https://www.transfermarkt.co.id/safaat-romadhona/profil/spieler/1141924
Fidelis Davin,PSS Sleman,Kiper,"1,80m",24 Apr 2004 (21),kanan,"Rp0Jt.",57,https://www.transfermarkt.co.id/fidelis-davin/profil/spieler/1292373
Cleberson,PSS Sleman,Bek-Tengah,"1,85m",17 Agt 1992 (32),kanan,"Rp4,78Mlyr.",4,https://www.transfermarkt.co.id/cleberson/profil/spieler/209163
Fachruddin Aryanto,PSS Sleman,Bek-Tengah,"1,85m",19 Feb 1989 (36),kanan,"Rp2,17Mlyr.",19,https://www.transfermarkt.co.id/fachruddin-aryanto/profil/spieler/252643
Ifan Nanda,PSS Sleman,Bek-Tengah,"1,81m",29 Mar 2001 (24),kanan,"Rp869,08Jt.",78,https://www.transfermarkt.co.id/ifan-nanda/profil/spieler/867724
Dia Syayid,PSS Sleman,Bek-Tengah,"1,82m",12 Des 2004 (20),kanan,"Rp434,54Jt.",5,https://www.transfermarkt.co.id/dia-syayid/profil/spieler/1050307
Nur Aziz,PSS Sleman,Bek-Tengah,"1,74m",11 Mar 2005 (20),kanan,"Rp0Jt.",41,https://www.transfermarkt.co.id/nur-aziz/profil/spieler/1292368
Joseph Kurniawan,PSS Sleman,Bek-Tengah,"1,78m",9 Jul 2005 (19),kanan,"Rp0Jt.",44,https://www.transfermarkt.co.id/joseph-kurniawan/profil/spieler/1292370
Abduh Lestaluhu,PSS Sleman,Bek-Kiri,"1,70m",16 Okt 1993 (31),kiri,"Rp3,04Mlyr.",96,https://www.transfermarkt.co.id/abduh-lestaluhu/profil/spieler/506138
