Nama,Klub,Posisi,Tinggi,Tanggal Lahir,Kaki Dominan,Nilai Pasar,Nomor Punggung,Link
Ernando Ari,Persebaya Surabaya,Kiper,"1,79m",27 Feb 2002 (23),kanan,"Rp4,78Mlyr.",21,https://www.transfermarkt.co.id/ernando-ari/profil/spieler/734647
Andhika Ramadhani,Persebaya Surabaya,Kiper,"1,84m",5 Jan 1999 (26),kanan,"Rp3,48Mlyr.",52,https://www.transfermarkt.co.id/andhika-ramadhani/profil/spieler/873410
Aditya Arya,Persebaya Surabaya,Kiper,"1,83m",1 Jan 2004 (21),kanan,"Rp434,54Jt.",64,https://www.transfermarkt.co.id/aditya-arya/profil/spieler/1019228
Lalu Rizki,Persebaya Surabaya,Kiper,"1,73m",5 Feb 2004 (21),kanan,"Rp173,82Jt.",1,https://www.transfermarkt.co.id/lalu-rizki/profil/spieler/1140824
Dime Dimov,Persebaya Surabaya,Bek-Tengah,"1,84m",25 Jul 1994 (30),kanan,"Rp7,82Mlyr.",4,https://www.transfermarkt.co.id/dime-dimov/profil/spieler/277380
Slavko Damjanovic,Persebaya Surabaya,Bek-Tengah,"1,89m",2 Nov 1992 (32),kiri,"Rp3,91Mlyr.",15,https://www.transfermarkt.co.id/slavko-damjanovic/profil/spieler/260557
Kadek Raditya,Persebaya Surabaya,Bek-Tengah,"1,78m",13 Jun 1999 (25),kanan,"Rp3,04Mlyr.",23,https://www.transfermarkt.co.id/kadek-raditya/profil/spieler/630442
Riswan Lauhin,Persebaya Surabaya,Bek-Tengah,"1,75m",8 Agt 1998 (26),keduanya,"Rp1,74Mlyr.",32,https://www.transfermarkt.co.id/riswan-lauhin/profil/spieler/1023782
Randy May,Persebaya Surabaya,Bek-Tengah,"1,80m",21 Sep 2000 (24),kanan,"Rp434,54Jt.",18,https://www.transfermarkt.co.id/randy-may/profil/spieler/1023211
Roy Ivansyah,Persebaya Surabaya,Bek-Tengah,"1,87m",18 Mar 2001 (24),kanan,"Rp173,82Jt.",-,https://www.transfermarkt.co.id/roy-ivansyah/profil/spieler/1201301
Mikael Tata,Persebaya Surabaya,Bek-Kiri,"1,74m",10 Mei 2004 (21),kiri,"Rp2,61Mlyr.",25,https://www.transfermarkt.co.id/mikael-tata/profil/spieler/989216
Rifqi Arya,Persebaya Surabaya,Bek-Kiri,"1,73m",30 Mei 2000 (24),kiri,"Rp173,82Jt.",-,https://www.transfermarkt.co.id/rifqi-arya/profil/spieler/1150254
Ardi Idrus,Persebaya Surabaya,Bek-Kanan,"1,65m",22 Jan 1993 (32),keduanya,"Rp3,04Mlyr.",3,https://www.transfermarkt.co.id/ardi-idrus/profil/spieler/578393
Arief Catur,Persebaya Surabaya,Bek-Kanan,"1,74m",25 Jul 1999 (25),kanan,"Rp1,74Mlyr.",2,https://www.transfermarkt.co.id/arief-catur/profil/spieler/1008739
Alfan Suaib,Persebaya Surabaya,Bek-Kanan,"1,73m",24 Mar 2004 (21),kanan,"Rp869,08Jt.",28,https://www.transfermarkt.co.id/alfan-suaib/profil/spieler/1201381
Mohammed Rashid,Persebaya Surabaya,Gel. Bertahan,"1,82m",3 Jul 1995 (29),kanan,"Rp6,08Mlyr.",74,https://www.transfermarkt.co.id/mohammed-rashid/profil/spieler/561182
Gilson Costa,Persebaya Surabaya,Gel. Bertahan,"1,85m",24 Sep 1996 (28),kanan,"Rp2,61Mlyr.",6,https://www.transfermarkt.co.id/gilson-costa/profil/spieler/290337
Andre Oktaviansyah,Persebaya Surabaya,Gel. Bertahan,"1,60m",23 Okt 2002 (22),kanan,"Rp2,17Mlyr.",8,https://www.transfermarkt.co.id/andre-oktaviansyah/profil/spieler/818005
Muhammad Hidayat,Persebaya Surabaya,Gel. Bertahan,"1,77m",26 Apr 1996 (29),kanan,"Rp1,74Mlyr.",-,https://www.transfermarkt.co.id/muhammad-hidayat/profil/spieler/575426
Fernando Pamungkas,Persebaya Surabaya,Gel. Tengah,"1,62m",5 Jul 2003 (21),kanan,"Rp173,82Jt.",-,https://www.transfermarkt.co.id/fernando-pamungkas/profil/spieler/901015
Francisco Rivera,Persebaya Surabaya,Gel. Serang,"1,70m",23 Sep 1994 (30),kiri,"Rp7,82Mlyr.",7,https://www.transfermarkt.co.id/francisco-rivera/profil/spieler/336109
Toni Firmansyah,Persebaya Surabaya,Gel. Serang,"1,67m",14 Jan 2005 (20),kanan,"Rp869,08Jt.",68,https://www.transfermarkt.co.id/toni-firmansyah/profil/spieler/1130958
Bruno,Persebaya Surabaya,Sayap Kiri,"1,78m",8 Apr 1999 (26),keduanya,"Rp6,08Mlyr.",10,https://www.transfermarkt.co.id/bruno/profil/spieler/662578
Widi Syarief,Persebaya Surabaya,Sayap Kiri,"1,81m",31 Jul 2003 (21),kiri,"Rp434,54Jt.",31,https://www.transfermarkt.co.id/widi-syarief/profil/spieler/982609
Dzakwan Javier,Persebaya Surabaya,Sayap Kiri,"1,67m",24 Feb 2007 (18),kiri,"Rp0Jt.",33,https://www.transfermarkt.co.id/dzakwan-javier/profil/spieler/1366450
Malik Risaldi,Persebaya Surabaya,Sayap Kanan,"1,79m",23 Okt 1996 (28),kanan,"Rp4,35Mlyr.",79,https://www.transfermarkt.co.id/malik-risaldi/profil/spieler/663259
Kasim Botan,Persebaya Surabaya,Sayap Kanan,"1,70m",14 Apr 1997 (28),kanan,"Rp2,17Mlyr.",77,https://www.transfermarkt.co.id/kasim-botan/profil/spieler/723807
Oktafianus Fernando,Persebaya Surabaya,Sayap Kanan,"1,68m",4 Okt 1993 (31),kanan,"Rp869,08Jt.",27,https://www.transfermarkt.co.id/oktafianus-fernando/profil/spieler/561246
Julian Mancini,Persebaya Surabaya,Sayap Kanan,"1,75m",17 Jul 1997 (27),kanan,"Rp173,82Jt.",-,https://www.transfermarkt.co.id/julian-mancini/profil/spieler/909150
Flávio Silva,Persebaya Surabaya,Depan-Tengah,"1,84m",3 Apr 1996 (29),kanan,"Rp4,78Mlyr.",17,https://www.transfermarkt.co.id/flavio-silva/profil/spieler/356450
Dejan Tumbas,Persebaya Surabaya,Depan-Tengah,"1,87m",5 Agt 1999 (25),kanan,"Rp3,48Mlyr.",91,https://www.transfermarkt.co.id/dejan-tumbas/profil/spieler/690322
Rizky Dwi,Persebaya Surabaya,Depan-Tengah,"1,84m",9 Apr 1999 (26),kanan,"Rp869,08Jt.",9,https://www.transfermarkt.co.id/rizky-dwi/profil/spieler/1019698
