Nama,Klub,Posisi,Tinggi,Tanggal Lahir,Kaki Dominan,Nilai Pasar,Nomor Punggung,Link
Andritany,Persija Jakarta,Kiper,"1,78m",26 Des 1991 (33),kanan,"Rp3,48Mlyr.",26,https://www.transfermarkt.co.id/andritany/profil/spieler/323470
Carlos Eduardo,Persija Jakarta,Kiper,"1,92m",24 Feb 1992 (33),kanan,"Rp1,30Mlyr.",1,https://www.transfermarkt.co.id/carlos-eduardo/profil/spieler/520082
Hafizh Rizkianur,Persija Jakarta,Kiper,"1,77m",8 Agt 2006 (18),kanan,"Rp0Jt.",22,https://www.transfermarkt.co.id/hafizh-rizkianur/profil/spieler/1298676
Rizky Ridho,Persija Jakarta,Bek-Tengah,"1,83m",21 Nov 2001 (23),kanan,"Rp8,69Mlyr.",5,https://www.transfermarkt.co.id/rizky-ridho/profil/spieler/734648
Muhammad Ferarri,Persija Jakarta,Bek-Tengah,"1,81m",21 Jun 2003 (21),kanan,"Rp3,91Mlyr.",41,https://www.transfermarkt.co.id/muhammad-ferarri/profil/spieler/824649
Ondrej Kudela,Persija Jakarta,Bek-Tengah,"1,82m",26 Mar 1987 (38),kanan,"Rp3,48Mlyr.",17,https://www.transfermarkt.co.id/ondrej-kudela/profil/spieler/35699
Hansamu Yama,Persija Jakarta,Bek-Tengah,"1,81m",16 Jan 1995 (30),kanan,"Rp2,61Mlyr.",23,https://www.transfermarkt.co.id/hansamu-yama/profil/spieler/473376
Akbar Arjunsyah,Persija Jakarta,Bek-Tengah,"1,75m",21 Jul 2001 (23),kanan,"Rp869,08Jt.",33,https://www.transfermarkt.co.id/akbar-arjunsyah/profil/spieler/985723
Firza Andika,Persija Jakarta,Bek-Kiri,"1,69m",11 Mei 1999 (26),kiri,"Rp4,35Mlyr.",11,https://www.transfermarkt.co.id/firza-andika/profil/spieler/576737
Pablo Andrade,Persija Jakarta,Bek-Kiri,"1,79m",15 Feb 1994 (31),kiri,"Rp2,61Mlyr.",55,https://www.transfermarkt.co.id/pablo-andrade/profil/spieler/296885
Rio Fahmi,Persija Jakarta,Bek-Kanan,"1,70m",6 Okt 2001 (23),kanan,"Rp4,78Mlyr.",2,https://www.transfermarkt.co.id/rio-fahmi/profil/spieler/929298
Raka Cahyana,Persija Jakarta,Bek-Kanan,"1,68m",24 Feb 2004 (21),kanan,"Rp1,30Mlyr.",15,https://www.transfermarkt.co.id/raka-cahyana/profil/spieler/875193
Hanif Sjahbandi,Persija Jakarta,Gel. Bertahan,"1,81m",7 Apr 1997 (28),kanan,"Rp3,91Mlyr.",19,https://www.transfermarkt.co.id/hanif-sjahbandi/profil/spieler/505892
Resky Fandi,Persija Jakarta,Gel. Bertahan,"1,73m",6 Sep 1999 (25),kanan,"Rp3,04Mlyr.",24,https://www.transfermarkt.co.id/resky-fandi/profil/spieler/630446
Aditya Warman,Persija Jakarta,Gel. Bertahan,"1,77m",2 Feb 2005 (20),kanan,"Rp0Jt.",36,https://www.transfermarkt.co.id/aditya-warman/profil/spieler/1285135
Syahrian Abimanyu,Persija Jakarta,Gel. Tengah,"1,71m",25 Apr 1999 (26),kiri,"Rp3,48Mlyr.",8,https://www.transfermarkt.co.id/syahrian-abimanyu/profil/spieler/560982
Ramón Bueno,Persija Jakarta,Gel. Tengah,"1,84m",7 Feb 1995 (30),kanan,"Rp3,04Mlyr.",6,https://www.transfermarkt.co.id/ramon-bueno/profil/spieler/199323
Refan Nadief,Persija Jakarta,Gel. Tengah,"1,65m",1 Jun 2005 (19),kanan,"Rp869,08Jt.",74,https://www.transfermarkt.co.id/refan-nadief/profil/spieler/1299158
Ryo Matsumura,Persija Jakarta,Gel. Serang,"1,66m",15 Jun 1994 (30),kanan,"Rp6,08Mlyr.",7,https://www.transfermarkt.co.id/ryo-matsumura/profil/spieler/226697
Maciej Gajos,Persija Jakarta,Gel. Serang,"1,74m",19 Mar 1991 (34),kanan,"Rp3,48Mlyr.",-,https://www.transfermarkt.co.id/maciej-gajos/profil/spieler/236891
Rayhan Hannan,Persija Jakarta,Gel. Serang,"1,72m",2 Apr 2004 (21),kanan,"Rp2,17Mlyr.",58,https://www.transfermarkt.co.id/rayhan-hannan/profil/spieler/1024630
Witan,Persija Jakarta,Sayap Kiri,"1,70m",8 Okt 2001 (23),kiri,"Rp4,78Mlyr.",78,https://www.transfermarkt.co.id/witan/profil/spieler/630444
Dony Tri Pamungkas,Persija Jakarta,Sayap Kiri,"1,76m",11 Jan 2005 (20),kiri,"Rp2,61Mlyr.",77,https://www.transfermarkt.co.id/dony-tri-pamungkas/profil/spieler/939539
Zahaby Gholy,Persija Jakarta,Sayap Kanan,"1,71m",5 Des 2008 (16),keduanya,"Rp0Jt.",66,https://www.transfermarkt.co.id/zahaby-gholy/profil/spieler/1275388
Agi Firmansyah,Persija Jakarta,Sayap Kanan,"1,68m",22 Jul 2005 (19),kanan,"Rp0Jt.",90,https://www.transfermarkt.co.id/agi-firmansyah/profil/spieler/1050310
Gustavo,Persija Jakarta,Depan-Tengah,"1,85m",25 Jul 1996 (28),kanan,"Rp5,21Mlyr.",70,https://www.transfermarkt.co.id/gustavo/profil/spieler/686044
Yandi Sofyan,Persija Jakarta,Depan-Tengah,"1,76m",25 Mei 1992 (33),kanan,"Rp1,74Mlyr.",69,https://www.transfermarkt.co.id/yandi-sofyan/profil/spieler/189519
Marko Simic,Persija Jakarta,Depan-Tengah,"1,87m",23 Jan 1988 (37),keduanya,"Rp869,08Jt.",9,https://www.transfermarkt.co.id/marko-simic/profil/spieler/46650
