Nama,Klub,Posisi,Tinggi,Tanggal Lahir,Kaki Dominan,Nilai Pasar,Nomor Punggung,Link
Husna Al Malik,Persik Kediri,Kiper,"1,78m",13 Jun 2003 (21),kanan,"Rp2,17Mlyr.",33,https://www.transfermarkt.co.id/husna-al-malik/profil/spieler/904279
Léo Navacchio,Persik Kediri,Kiper,"1,92m",28 Des 1992 (32),kanan,"Rp1,74Mlyr.",1,https://www.transfermarkt.co.id/leo-navacchio/profil/spieler/192507
Eko Saputro,Persik Kediri,Kiper,"1,82m",27 Mar 1999 (26),kanan,"Rp869,08Jt.",20,https://www.transfermarkt.co.id/eko-saputro/profil/spieler/1008654
Geril Kapoh,Persik Kediri,Kiper,"1,83m",31 Des 2001 (23),kanan,"Rp434,54Jt.",47,https://www.transfermarkt.co.id/geril-kapoh/profil/spieler/902052
Brendon Lucas,Persik Kediri,Bek-Tengah,"1,88m",20 Mei 1995 (30),kanan,"Rp3,91Mlyr.",4,https://www.transfermarkt.co.id/brendon-lucas/profil/spieler/432254
Hamra Hehanussa,Persik Kediri,Bek-Tengah,"1,78m",1 Jul 1999 (25),kiri,"Rp3,48Mlyr.",16,https://www.transfermarkt.co.id/hamra-hehanussa/profil/spieler/676802
Kiko,Persik Kediri,Bek-Tengah,"1,82m",25 Mar 2000 (25),keduanya,"Rp3,04Mlyr.",3,https://www.transfermarkt.co.id/kiko/profil/spieler/591054
Didik Wahyu,Persik Kediri,Bek-Tengah,"1,73m",13 Feb 1994 (31),kanan,"Rp1,74Mlyr.",31,https://www.transfermarkt.co.id/didik-wahyu/profil/spieler/575534
Mario Yagalo,Persik Kediri,Bek-Tengah,"1,84m",21 Apr 1993 (32),kiri,"Rp1,74Mlyr.",78,https://www.transfermarkt.co.id/mario-yagalo/profil/spieler/506160
Zikri Ferdiansyah,Persik Kediri,Bek-Tengah,"1,71m",20 Des 2003 (21),kanan,"Rp869,08Jt.",15,https://www.transfermarkt.co.id/zikri-ferdiansyah/profil/spieler/1055631
Yusuf Meilana,Persik Kediri,Bek-Kiri,"1,76m",4 Mei 1998 (27),keduanya,"Rp3,48Mlyr.",7,https://www.transfermarkt.co.id/yusuf-meilana/profil/spieler/721910
Dede Sapari,Persik Kediri,Bek-Kiri,"1,76m",8 Apr 2004 (21),kanan,"Rp1,30Mlyr.",2,https://www.transfermarkt.co.id/dede-sapari/profil/spieler/1181884
Agil Munawar,Persik Kediri,Bek-Kanan,"1,69m",10 Jun 1996 (28),kanan,"Rp2,17Mlyr.",37,https://www.transfermarkt.co.id/agil-munawar/profil/spieler/506132
Nuri Fasya,Persik Kediri,Bek-Kanan,"1,71m",23 Jan 1999 (26),kanan,"Rp1,30Mlyr.",57,https://www.transfermarkt.co.id/nuri-fasya/profil/spieler/663679
Rohit Chand,Persik Kediri,Gel. Bertahan,"1,78m",1 Mar 1992 (33),kiri,"Rp4,35Mlyr.",32,https://www.transfermarkt.co.id/rohit-chand/profil/spieler/191021
Ousmane Fané,Persik Kediri,Gel. Bertahan,"1,93m",13 Des 1993 (31),kanan,"Rp1,74Mlyr.",5,https://www.transfermarkt.co.id/ousmane-fane/profil/spieler/415332
Bayu Otto,Persik Kediri,Gel. Tengah,"1,63m",15 Okt 1999 (25),kanan,"Rp3,48Mlyr.",6,https://www.transfermarkt.co.id/bayu-otto/profil/spieler/721919
Adi Eko,Persik Kediri,Gel. Tengah,"1,73m",18 Jan 1994 (31),kanan,"Rp1,30Mlyr.",11,https://www.transfermarkt.co.id/adi-eko/profil/spieler/721907
Rifqi Ray,Persik Kediri,Gel. Tengah,"1,82m",22 Jun 2004 (20),kiri,"Rp869,08Jt.",77,https://www.transfermarkt.co.id/rifqi-ray/profil/spieler/1124857
Zé Valente,Persik Kediri,Gel. Serang,"1,80m",14 Mei 1994 (31),kiri,"Rp5,65Mlyr.",10,https://www.transfermarkt.co.id/ze-valente/profil/spieler/292452
Majed Osman,Persik Kediri,Sayap Kiri,"1,83m",9 Jun 1994 (30),kanan,"Rp6,08Mlyr.",17,https://www.transfermarkt.co.id/majed-osman/profil/spieler/600639
Ezra Walian,Persik Kediri,Sayap Kiri,"1,85m",22 Okt 1997 (27),kanan,"Rp4,78Mlyr.",8,https://www.transfermarkt.co.id/ezra-walian/profil/spieler/228484
Riyatno Abiyoso,Persik Kediri,Sayap Kiri,"1,65m",18 Jan 1999 (26),kiri,"Rp2,17Mlyr.",21,https://www.transfermarkt.co.id/riyatno-abiyoso/profil/spieler/663261
Faris Aditama,Persik Kediri,Sayap Kiri,"1,75m",19 Feb 1988 (37),kanan,"Rp173,82Jt.",13,https://www.transfermarkt.co.id/faris-aditama/profil/spieler/721909
Supriadi,Persik Kediri,Sayap Kanan,"1,64m",23 Mei 2002 (23),kanan,"Rp2,17Mlyr.",23,https://www.transfermarkt.co.id/supriadi/profil/spieler/699897
Hugo Samir,Persik Kediri,Sayap Kanan,"1,77m",25 Jan 2005 (20),kanan,"Rp869,08Jt.",28,https://www.transfermarkt.co.id/hugo-samir/profil/spieler/990597
Ramiro Fergonzi,Persik Kediri,Depan-Tengah,"1,78m",14 Mei 1989 (36),kanan,"Rp1,74Mlyr.",9,https://www.transfermarkt.co.id/ramiro-fergonzi/profil/spieler/132508
Mohammad Khanafi,Persik Kediri,Depan-Tengah,"1,71m",30 Nov 1997 (27),kanan,"Rp1,74Mlyr.",97,https://www.transfermarkt.co.id/mohammad-khanafi/profil/spieler/1104412
