Nama,Klub,Posisi,Tinggi,Tanggal Lahir,Kaki Dominan,Nilai Pasar,Nomor Punggung,Link
Igor Rodrigues,Persita Tangerang,Kiper,"1,91m",5 Mei 1995 (30),kiri,"Rp4,78Mlyr.",29,https://www.transfermarkt.co.id/igor-rodrigues/profil/spieler/419624
Rendy Oscario,Persita Tangerang,Kiper,"1,78m",7 Okt 1998 (26),kiri,"Rp1,74Mlyr.",21,https://www.transfermarkt.co.id/rendy-oscario/profil/spieler/505786
Kartika Ajie,Persita Tangerang,Kiper,"1,82m",20 Jun 1996 (28),kanan,"Rp1,74Mlyr.",96,https://www.transfermarkt.co.id/kartika-ajie/profil/spieler/506546
Muhamad Darmawan,Persita Tangerang,Kiper,"1,82m",16 Mar 2002 (23),kanan,"Rp434,54Jt.",78,https://www.transfermarkt.co.id/muhamad-darmawan/profil/spieler/971160
Rizwan Haikal,Persita Tangerang,Kiper,"1,86m",16 Apr 2004 (21),kanan,"Rp0Jt.",87,https://www.transfermarkt.co.id/rizwan-haikal/profil/spieler/1293246
Tamirlan Kozubaev,Persita Tangerang,Bek-Tengah,"1,86m",1 Jul 1994 (30),kiri,"Rp8,69Mlyr.",50,https://www.transfermarkt.co.id/tamirlan-kozubaev/profil/spieler/257141
Javlon Guseynov,Persita Tangerang,Bek-Tengah,"1,85m",24 Jun 1991 (33),keduanya,"Rp3,91Mlyr.",19,https://www.transfermarkt.co.id/javlon-guseynov/profil/spieler/522870
Sandro Embaló,Persita Tangerang,Bek-Tengah,"1,90m",1 Mei 1996 (29),kiri,"Rp3,48Mlyr.",3,https://www.transfermarkt.co.id/sandro-embalo/profil/spieler/363803
Ryuji Utomo,Persita Tangerang,Bek-Tengah,"1,83m",1 Jul 1995 (29),kanan,"Rp2,17Mlyr.",4,https://www.transfermarkt.co.id/ryuji-utomo/profil/spieler/506159
Charisma Fathoni,Persita Tangerang,Bek-Tengah,"1,77m",25 Feb 2001 (24),kanan,"Rp869,08Jt.",5,https://www.transfermarkt.co.id/charisma-fathoni/profil/spieler/1022833
Mario Jardel,Persita Tangerang,Bek-Kiri,"1,65m",7 Nov 2000 (24),kanan,"Rp2,17Mlyr.",66,https://www.transfermarkt.co.id/mario-jardel/profil/spieler/742320
Arif Setiawan,Persita Tangerang,Bek-Kiri,"1,73m",4 Sep 1998 (26),kiri,"Rp1,30Mlyr.",31,https://www.transfermarkt.co.id/arif-setiawan/profil/spieler/692828
Muhammad Toha,Persita Tangerang,Bek-Kanan,"1,70m",30 Jun 1997 (27),kanan,"Rp3,91Mlyr.",11,https://www.transfermarkt.co.id/muhammad-toha/profil/spieler/355887
George Brown,Persita Tangerang,Bek-Kanan,"1,79m",4 Jun 1999 (25),kanan,"Rp869,08Jt.",18,https://www.transfermarkt.co.id/george-brown/profil/spieler/1082953
Sin-young Bae,Persita Tangerang,Gel. Bertahan,"1,80m",11 Jun 1992 (32),kanan,"Rp3,48Mlyr.",33,https://www.transfermarkt.co.id/sin-young-bae/profil/spieler/389153
Fahreza Sudin,Persita Tangerang,Gel. Bertahan,"1,68m",12 Agt 2000 (24),kanan,"Rp2,17Mlyr.",8,https://www.transfermarkt.co.id/fahreza-sudin/profil/spieler/1022832
Rifky Dwi Septiawan,Persita Tangerang,Gel. Bertahan,"1,72m",3 Feb 2002 (23),kiri,"Rp2,17Mlyr.",32,https://www.transfermarkt.co.id/rifky-dwi-septiawan/profil/spieler/875238
Badrian Ilham,Persita Tangerang,Gel. Bertahan,"1,68m",11 Jun 2002 (22),kanan,"Rp1,30Mlyr.",77,https://www.transfermarkt.co.id/badrian-ilham/profil/spieler/1150388
Andrean Rindorindo,Persita Tangerang,Gel. Bertahan,"1,78m",2 Mei 2004 (21),kanan,"Rp869,08Jt.",27,https://www.transfermarkt.co.id/andrean-rindorindo/profil/spieler/1120724
Ahmad Fahd,Persita Tangerang,Gel. Bertahan,"1,70m",16 Des 2003 (21),kiri,"Rp434,54Jt.",16,https://www.transfermarkt.co.id/ahmad-fahd/profil/spieler/1115705
Adeyemmy Makinde,Persita Tangerang,Gel. Bertahan,"1,90m",21 Mei 2004 (21),kanan,"Rp0Jt.",24,https://www.transfermarkt.co.id/adeyemmy-makinde/profil/spieler/1156319
Rizky Pellu,Persita Tangerang,Gel. Tengah,"1,77m",26 Jun 1992 (32),kanan,"Rp1,30Mlyr.",61,https://www.transfermarkt.co.id/rizky-pellu/profil/spieler/323534
Éber Bessa,Persita Tangerang,Gel. Serang,"1,66m",21 Mar 1992 (33),kanan,"Rp2,61Mlyr.",20,https://www.transfermarkt.co.id/eber-bessa/profil/spieler/183945
Gian Zola,Persita Tangerang,Gel. Serang,"1,65m",5 Agt 1998 (26),kiri,"Rp2,17Mlyr.",25,https://www.transfermarkt.co.id/gian-zola/profil/spieler/506018
Jack Brown,Persita Tangerang,Gel. Serang,"1,75m",2 Nov 2001 (23),kanan,"Rp869,08Jt.",90,https://www.transfermarkt.co.id/jack-brown/profil/spieler/683218
Mohammad Afganiladin,Persita Tangerang,Gel. Serang,"1,78m",22 Okt 2001 (23),kanan,"Rp434,54Jt.",47,https://www.transfermarkt.co.id/mohammad-afganiladin/profil/spieler/1022836
Sahrul Reza,Persita Tangerang,Gel. Serang,"1,70m",19 Apr 2002 (23),kanan,"Rp173,82Jt.",17,https://www.transfermarkt.co.id/sahrul-reza/profil/spieler/1053693
Esal Sahrul,Persita Tangerang,Sayap Kiri,"1,75m",14 Mar 2002 (23),kiri,"Rp2,17Mlyr.",99,https://www.transfermarkt.co.id/esal-sahrul/profil/spieler/1115704
Irsyad Maulana,Persita Tangerang,Sayap Kiri,"1,77m",27 Sep 1993 (31),kanan,"Rp1,74Mlyr.",88,https://www.transfermarkt.co.id/irsyad-maulana/profil/spieler/505796
Yardan Yafi,Persita Tangerang,Sayap Kiri,"1,64m",15 Jan 2004 (21),kanan,"Rp869,08Jt.",46,https://www.transfermarkt.co.id/yardan-yafi/profil/spieler/1130203
Ikhwan Tanamal,Persita Tangerang,Sayap Kiri,"1,65m",28 Des 2003 (21),kiri,"Rp434,54Jt.",40,https://www.transfermarkt.co.id/ikhwan-tanamal/profil/spieler/1156320
Cois Artomoro,Persita Tangerang,Sayap Kiri,"1,67m",2 Apr 2003 (22),keduanya,"Rp0Jt.",13,https://www.transfermarkt.co.id/cois-artomoro/profil/spieler/1293247
Ambrizal Umanailo,Persita Tangerang,Sayap Kanan,"1,66m",12 Jun 1996 (28),kanan,"Rp1,74Mlyr.",7,https://www.transfermarkt.co.id/ambrizal-umanailo/profil/spieler/506166
Surya Budi Prasetya,Persita Tangerang,Sayap Kanan,"1,68m",28 Jan 2002 (23),kanan,"Rp434,54Jt.",28,https://www.transfermarkt.co.id/surya-budi-prasetya/profil/spieler/1150387
