Nama,Klub,Posisi,Tinggi,Tanggal Lahir,Kaki Dominan,Nilai Pasar,Nomor Punggung,Link
Arthur Augusto,Semen Padang FC,Kiper,"1,92m",29 Agt 1999 (25),kanan,"Rp4,35Mlyr.",1,https://www.transfermarkt.co.id/arthur-augusto/profil/spieler/829850
Mochammad Diky,Semen Padang FC,Kiper,"1,81m",4 Jun 1997 (27),kanan,"Rp1,74Mlyr.",21,https://www.transfermarkt.co.id/mochammad-diky/profil/spieler/513009
Ikram Al Giffari,Semen Padang FC,Kiper,"1,82m",6 Jan 2006 (19),kanan,"Rp869,08Jt.",34,https://www.transfermarkt.co.id/ikram-al-giffari/profil/spieler/1031926
Teguh Amiruddin,Semen Padang FC,Kiper,"1,83m",13 Agt 1993 (31),kanan,"Rp869,08Jt.",71,https://www.transfermarkt.co.id/teguh-amiruddin/profil/spieler/506117
Mursalin Wijaya,Semen Padang FC,Kiper,"1,75m",17 Jul 2005 (19),kanan,"Rp0Jt.",53,https://www.transfermarkt.co.id/mursalin-wijaya/profil/spieler/1353374
Tin Martic,Semen Padang FC,Bek-Tengah,"1,86m",27 Mar 1996 (29),kanan,"Rp3,04Mlyr.",44,https://www.transfermarkt.co.id/tin-martic/profil/spieler/364285
Min-kyu Kim,Semen Padang FC,Bek-Tengah,"1,87m",25 Nov 1999 (25),kanan,"Rp1,74Mlyr.",5,https://www.transfermarkt.co.id/min-kyu-kim/profil/spieler/715731
Marco Baixinho,Semen Padang FC,Bek-Tengah,"1,87m",11 Jul 1989 (35),kanan,"Rp869,08Jt.",2,https://www.transfermarkt.co.id/marco-baixinho/profil/spieler/131015
Frendi Saputra,Semen Padang FC,Bek-Kiri,"1,73m",27 Jan 1992 (33),kanan,"Rp2,61Mlyr.",12,https://www.transfermarkt.co.id/frendi-saputra/profil/spieler/559294
Bima Reksa,Semen Padang FC,Bek-Kiri,"1,70m",21 Jun 1999 (25),keduanya,"Rp1,30Mlyr.",55,https://www.transfermarkt.co.id/bima-reksa/profil/spieler/916111
Alexvan Djin,Semen Padang FC,Bek-Kanan,"1,80m",31 Des 1998 (26),kanan,"Rp3,04Mlyr.",13,https://www.transfermarkt.co.id/alexvan-djin/profil/spieler/721901
Melcior Majefat,Semen Padang FC,Bek-Kanan,"1,72m",20 Apr 1994 (31),kanan,"Rp869,08Jt.",20,https://www.transfermarkt.co.id/melcior-majefat/profil/spieler/506565
Gilang Esa,Semen Padang FC,Bek-Kanan,"1,70m",5 Nov 2006 (18),kanan,"Rp0Jt.",27,https://www.transfermarkt.co.id/gilang-esa/profil/spieler/1209109
Rosad Setiawan,Semen Padang FC,Gel. Bertahan,"1,72m",9 Agt 1996 (28),kanan,"Rp2,61Mlyr.",31,https://www.transfermarkt.co.id/rosad-setiawan/profil/spieler/662816
Ricki Ariansyah,Semen Padang FC,Gel. Bertahan,"1,67m",10 Jun 1997 (27),kiri,"Rp2,17Mlyr.",8,https://www.transfermarkt.co.id/ricki-ariansyah/profil/spieler/720584
Dimas Saputra,Semen Padang FC,Gel. Bertahan,"1,70m",15 Sep 1996 (28),kanan,"Rp1,30Mlyr.",14,https://www.transfermarkt.co.id/dimas-saputra/profil/spieler/1179507
Alhassan Wakaso,Semen Padang FC,Gel. Bertahan,"1,80m",7 Jan 1992 (33),kanan,"Rp1,30Mlyr.",30,https://www.transfermarkt.co.id/alhassan-wakaso/profil/spieler/168536
Dwi Geno Nofiansyah,Semen Padang FC,Gel. Bertahan,"1,70m",19 Jan 2001 (24),kanan,"Rp434,54Jt.",66,https://www.transfermarkt.co.id/dwi-geno-nofiansyah/profil/spieler/908796
Zidane Afandi,Semen Padang FC,Gel. Bertahan,"1,70m",25 Feb 2002 (23),kanan,"Rp0Jt.",25,https://www.transfermarkt.co.id/zidane-afandi/profil/spieler/1146900
Filipe Chaby,Semen Padang FC,Gel. Serang,"1,74m",22 Jan 1994 (31),kiri,"Rp1,30Mlyr.",7,https://www.transfermarkt.co.id/filipe-chaby/profil/spieler/197604
Firman Juliansyah,Semen Padang FC,Sayap Kiri,"1,63m",7 Jul 2003 (21),kanan,"Rp1,74Mlyr.",15,https://www.transfermarkt.co.id/firman-juliansyah/profil/spieler/908800
Drey Panyalay,Semen Padang FC,Sayap Kiri,"1,80m",23 Feb 2000 (25),kiri,"Rp434,54Jt.",26,https://www.transfermarkt.co.id/drey-panyalay/profil/spieler/936175
Zulkifli Yahya,Semen Padang FC,Sayap Kiri,"1,60m",1 Jan 2005 (20),kiri,"Rp0Jt.",70,https://www.transfermarkt.co.id/zulkifli-yahya/profil/spieler/1351792
Muhammad Iqbal,Semen Padang FC,Sayap Kanan,"1,69m",27 Okt 2000 (24),kanan,"Rp1,30Mlyr.",6,https://www.transfermarkt.co.id/muhammad-iqbal/profil/spieler/892868
Gala Pagamo,Semen Padang FC,Sayap Kanan,"1,78m",11 Agt 2006 (18),kanan,"Rp1,30Mlyr.",18,https://www.transfermarkt.co.id/gala-pagamo/profil/spieler/1152867
Irkham Mila,Semen Padang FC,Sayap Kanan,"1,68m",2 Mei 1998 (27),kanan,"Rp1,30Mlyr.",29,https://www.transfermarkt.co.id/irkham-mila/profil/spieler/644074
Cornelius Stewart,Semen Padang FC,Sayap Kanan,"1,75m",7 Okt 1989 (35),kanan,"Rp869,08Jt.",9,https://www.transfermarkt.co.id/cornelius-stewart/profil/spieler/76529
Dewa Sapalas,Semen Padang FC,Sayap Kanan,"1,75m",1 Mei 2006 (19),kanan,"Rp0Jt.",65,https://www.transfermarkt.co.id/dewa-sapalas/profil/spieler/1353375
Kenneth Ngwoke,Semen Padang FC,Depan-Tengah,"1,83m",29 Mar 1993 (32),kanan,"Rp3,04Mlyr.",32,https://www.transfermarkt.co.id/kenneth-ngwoke/profil/spieler/367697
Bruno Gomes,Semen Padang FC,Depan-Tengah,"1,82m",19 Jul 1996 (28),kanan,"Rp1,30Mlyr.",17,https://www.transfermarkt.co.id/bruno-gomes/profil/spieler/294576
Muhammad Ridwan,Semen Padang FC,Depan-Tengah,"1,84m",13 Jun 2000 (24),kanan,"Rp869,08Jt.",19,https://www.transfermarkt.co.id/muhammad-ridwan/profil/spieler/746949
Jorry Guruh,Semen Padang FC,Depan-Tengah,"1,75m",18 Mar 2001 (24),kanan,"Rp0Jt.",79,https://www.transfermarkt.co.id/jorry-guruh/profil/spieler/746995
